#  Sat May 18 14:56:38 2019 -- reformated by PCGen PrettyLST v6.08.00
#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Feb  3 13:47:16 2016 -- reformated by PCGen PrettyLST v6.06.00
# COMMENT: Some non-defined weapons commented out; may be wrong names, may not exist
# COMMENT: Some may require a bestiary to be loaded

# COMMENT: TEMPBONUS doesn't seem to apply to equipment; at least, they don't seem to be showing up
# COMMENT:     in the temporary bonus tab

# COMMENT: It is not intuitive for the user to click on "Create Monster" in the Summary tab to
# COMMENT:     add <class>'s Kit items to the character

###Block: Adding types to some armors and weapons, so they can be identified
# COMMENT: There should be an easier way
# Equipment Name		Type
Leather.MOD			TYPE:LeatherArmor
Stalking Armor (Water)		PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in water terrain
Tireless Tracking Hide		PROFICIENCY:ARMOR|Hide									TYPE:Armor.Medium.ArmorProfMedium.Suit.Nonmetal.Specific.Enhancement						COST:15	WT:25		ACCHECK:-2								EQMOD:Special Ability ~ Enhancement Cost|10000.Special Ability ~ +1 ~ Armor										MAXDEX:4		SIZE:M	SOURCEPAGE:p.212	SPELLFAILURE:20		BONUS:COMBAT|AC|4|TYPE=Armor									SPROP:can hustle for 8 hours without growing fatigued, replenished after a full night's rest


###Block: Specific Weapons
# Equipment Name				Required Weapon Proficiency	Type																															Cost		Weight	Crit Mult	Crit Range	Damage	Modifier																											Wield Category	Size		Source Page		Weapon prop. bonus			Special Property
Duelist's Comate				PROFICIENCY:WEAPON|Rapier	TYPE:Weapon.Resizable.Melee.OneHanded.Martial.Finesseable.Piercing.Sword.BladeLight.MeleePiercing.Specific.Weapon Group Blades Light.InspiredOK.Weapon Group Melee OneHanded Piercing	COST:20	WT:2		CRITMULT:x2	CRITRANGE:3	DAMAGE:1d6	EQMOD:Special Ability ~ Countering ~ Melee.Special Ability ~ Dueling ~ Melee.Special Ability ~ Enhancement Cost|3000.Special Ability ~ +2 ~ Weapon.Material ~ Steel	WIELD:OneHanded	SIZE:M	SOURCEPAGE:p.216	BONUS:WEAPON|DAMAGEMULT:2|-0.5	SPROP:3/day surprise attack with pommel (1d6+2 bludgeoning, 20/x2 crit)
Headsman's Blade				PROFICIENCY:WEAPON|Greatsword	TYPE:Weapon.Resizable.Melee.TwoHanded.Martial.Slashing.Sword.BladeHeavy.Specific.Weapon Group Blades Heavy														COST:50	WT:8		CRITMULT:x2	CRITRANGE:2	DAMAGE:2d6	EQMOD:Special Ability ~ Keen ~ Weapon.Special Ability ~ Enhancement Cost|5500.Special Ability ~ +1 ~ Weapon.Material ~ Steel								WIELD:TwoHanded	SIZE:M	SOURCEPAGE:p.216							SPROP:1/day assassinate (as slayer advanced talent)	SPROP:full-round action to study, DC 15 to avoid death|!PRECLASS:1,Slayer=1	SPROP:+2 to enhancement bonus vs. studied darget, +2 to assassination attempt DC, target decapitated instead of merely slain|PRECLASS:1,Slayer=1
Rapier of Battlefield Movement	PROFICIENCY:WEAPON|Rapier	TYPE:Weapon.Resizable.Melee.OneHanded.Martial.Finesseable.Piercing.Sword.BladeLight.MeleePiercing.Specific.Weapon Group Blades Light.InspiredOK.Weapon Group Melee OneHanded Piercing	COST:20	WT:2		CRITMULT:x2	CRITRANGE:3	DAMAGE:1d6	EQMOD:Special Ability ~ Enhancement Cost|22000.Special Ability ~ +2 ~ Weapon.Material ~ Steel													WIELD:OneHanded	SIZE:M	SOURCEPAGE:p.216	BONUS:WEAPON|DAMAGEMULT:2|-0.5	SPROP:+5 to Acrobatics checks made to move through an enemy's threatened area or through its space; after hitting with a melee attack with this weapon, spend 1 panache point to move 10 feet without provoking attacks of opportunity
Swashbuckler's Rapier			PROFICIENCY:WEAPON|Rapier	TYPE:Weapon.Resizable.Melee.OneHanded.Martial.Finesseable.Piercing.Sword.BladeLight.MeleePiercing.Specific.Weapon Group Blades Light.InspiredOK.Weapon Group Melee OneHanded Piercing	COST:20	WT:2		CRITMULT:x2	CRITRANGE:3	DAMAGE:1d6	EQMOD:Special Ability ~ Enhancement Cost|5000.Special Ability ~ +1 ~ Weapon.Material ~ Steel													WIELD:OneHanded	SIZE:M	SOURCEPAGE:p.216	BONUS:WEAPON|DAMAGEMULT:2|-0.5	SPROP:Spend 1 panache point, as a swift action, to give this weapon the bane property for 1 round against any subtype of humanoid


###Block: Rings
# Equipment Name					Type			Cost		Source Page		Bonus to skill											Special Property
Ring of Ancestral Blood Magic			TYPE:Magic.Ring	COST:4000	SOURCEPAGE:p.216														SPROP:3/day when bloodraging, can cast a bonus spell without spending a spell slot but expending rounds of bloodrage equal to the spell level
# COMMENT: Can language choice be "baked in"?
Ring of Eloquence					TYPE:Magic.Ring	COST:3500	SOURCEPAGE:p.216	BONUS:SKILL|Bluff,Diplomacy,Intimidate,Perform (Oratory)|2|TYPE=Competence	SPROP:gain ability to speak four specific languages even if in alternate form; +2 on Bluff, Diplomacy, Intimidate, and Perform (Oratory); if deafened, verbal component spell failure is only 10%
# SELECT:4	CHOOSE:LANG|ALL
Ring of Lingering Blood Magic			TYPE:Magic.Ring	COST:2000	SOURCEPAGE:p.217														SPROP:1/round, as free action, can expend 1 round of bloodrage to extend the duration of a beneficial spell, with duration of 1 round/level or greater, by 2 rounds
Ring of Natural Attunement (Drake)		TYPE:Magic.Ring	COST:12880	SOURCEPAGE:p.217														SPROP:add to summon nature's ally list: forest drake (4th), shadow drake (4th), flame drake (5th), frost drake (6th), desert drake (9th); 1/day summon shadow drake
Ring of Natural Attunement (Kami)		TYPE:Magic.Ring	COST:7800	SOURCEPAGE:p.217														SPROP:add to summon nature's ally list: shikigami (3rd), kodama (5th), zuishin (7th), toshigami (9th); 1/day summon shikigami
Ring of Natural Attunement (Leshy)		TYPE:Magic.Ring	COST:2800	SOURCEPAGE:p.217														SPROP:add to summon nature's ally list: leaf leshy (1st), gourd leshy (2nd), fungus leshy (3rd), seaweed leshy (5th) 1/day summon leaf leshy
Ring of Powerful Blood Magic			TYPE:Magic.Ring	COST:3000	SOURCEPAGE:p.218														SPROP:3/day increase spell save DC by 1 when bloodraging
Ring of Resilience				TYPE:Magic.Ring	COST:15000	SOURCEPAGE:p.218														SPROP:when regaining grit or panache, user can attempt a new saving throw against ongoning condition; can be used only once for each ongoing condition.
Ring of Summoning Affinity (Aeon)		TYPE:Magic.Ring	COST:7800	SOURCEPAGE:p.218														SPROP:add to summon monster list: paracletus (3rd), theletos (6th), akhana (9th); 1/day summon paracletus
Ring of Summoning Affinity (Agathion)	TYPE:Magic.Ring	COST:7700	SOURCEPAGE:p.218														SPROP:add to summon monster list: silvanshee (3rd), vulpinal (5th), avoral (7th), leonal (8th); 1/day summon silvanshee
Ring of Summoning Affinity (Angel)		TYPE:Magic.Ring	COST:7200	SOURCEPAGE:p.218														SPROP:add to summon monster list: cassian (3rd), movanic deva (7th), monadic deva (8th); 1/day summon cassian
Ring of Summoning Affinity (Archon)		TYPE:Magic.Ring	COST:7000	SOURCEPAGE:p.218														SPROP:add to summon monster list: harbinger (3rd), legion archon (6th), shield archon (7th); 1/day summon harbinger
Ring of Summoning Affinity (Asura)		TYPE:Magic.Ring	COST:7600	SOURCEPAGE:p.218														SPROP:add to summon monster list: tripurasura (3rd), adhukait (6th), upasunda (7th), aghasura (8th); 1/day summon tripurasura
Ring of Summoning Affinity (Daemon)		TYPE:Magic.Ring	COST:10600	SOURCEPAGE:p.219														SPROP:add to summon monster list: cacodaemon (3rd), ceustodaeman (5th), hydrodaemon (6th), leukodaemon (7th), piscodaemon (7th), derghodaemon (8th), meladaemon (8th), thanadaemon (9th); 1/day summon cacodaemon
Ring of Summoning Affinity (Div)		TYPE:Magic.Ring	COST:9100	SOURCEPAGE:p.219														SPROP:add to summon monster list: doru (3rd), aghash (4th), pairaka (6th), ghawwas (7th), shira (8th), sepid (9th); 1/day summon doru
Ring of Summoning Affinity (Inevitable)	TYPE:Magic.Ring	COST:8100	SOURCEPAGE:p.219														SPROP:add to summon monster list: arbiter (3rd), zelekhut (7th), kolyarut (8th), marut (9th); 1/day summon arbiter
Ring of Summoning Affinity (Kyton)		TYPE:Magic.Ring	COST:7300	SOURCEPAGE:p.219														SPROP:add to summon monster list: augur (3rd), sacristan (7th), interlocutor (9th); 1/day summon augur
Ring of Summoning Affinity (Protean)	TYPE:Magic.Ring	COST:7200	SOURCEPAGE:p.219														SPROP:add to summon monster list: voidworm (3rd), naunet (6th), imentesh (9th); 1/day summon voidworm
Ring of Summoning Affinity (Psychopomp)	TYPE:Magic.Ring	COST:7600	SOURCEPAGE:p.219														SPROP:add to summon monster list: nosoi (3rd), catrina (4th), vanth (6th), morrigna (9th); 1/day summon nosoi
Ring of Summoning Affinity (Qlippoth)	TYPE:Magic.Ring	COST:8600	SOURCEPAGE:p.220														SPROP:add to summon monster list: cythnigot (3rd), shoggti (6th), nygogoth (7th), chernobue (8th), augnagar (9th); 1/day summon cythnigot
Ring of Vengeful Blood Magic			TYPE:Magic.Ring	COST:5400	SOURCEPAGE:p.220														SPROP:3/day when bloodraging, cast 3rd or lower-level spell as attack of opportunity


###Block: Rods
# Equipment Name			Type			Cost		Weight	Source Page		Special Property
Rod of Abrupt Hexes		TYPE:Magic.Rod	COST:75500	WT:5		SOURCEPAGE:p.220	SPROP:3/day use hex (not advanced or grand) as swift action
Rod of Grasping Hexes		TYPE:Magic.Rod	COST:11000	WT:5		SOURCEPAGE:p.220	SPROP:3/day double range of hex (not advanced or grand) with range measured in feet
Rod of Interminable Hexes	TYPE:Magic.Rod	COST:11000	WT:5		SOURCEPAGE:p.220	SPROP:3/day double duration of hex (not advanced or grand) with duration longer than 1 round
Rod of Potent Hexes		TYPE:Magic.Rod	COST:54000	WT:5		SOURCEPAGE:p.220	SPROP:3/day double damage dealt or healed by hex (not advanced or grand)
Rod of Voracious Hexes		TYPE:Magic.Rod	COST:32500	WT:5		SOURCEPAGE:p.221	SPROP:3/day target second target within 30' with a hex (not advanced or grand)


###Block: Staves
# Equipment Name		Required Weapon Proficiency	Type																									Cost		Weight	Base Item for EQMOD	Crit Mult	Crit Range	Damage	Modifier												Wield Category	Range		Size		Source Page		Special Property
Ember Staff			PROFICIENCY:WEAPON|Club		TYPE:Magic.Staff.Weapon.Resizable.Melee.OneHanded.Ranged.Thrown.Simple.Bludgeoning.Club.Hammer.Specific.Weapon Group Hammers.Weapon Group Thrown	COST:13100	WT:3		BASEITEM:Staff		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6	EQMOD:Special Ability ~ Staff Charges|CHARGES[10]	EQMOD:Material ~ Wood	WIELD:OneHanded	RANGE:10	SIZE:M	SOURCEPAGE:p.221
Gravedigger's Spade						TYPE:Magic.Staff																							COST:12150	WT:4		BASEITEM:Staff								EQMOD:Special Ability ~ Staff Charges|CHARGES[10]												SOURCEPAGE:p.221	SPROP:can be used as a masterwork shovel
Monstrification Staff						TYPE:Magic.Staff																							COST:12000	WT:4		BASEITEM:Staff								EQMOD:Special Ability ~ Staff Charges|CHARGES[10]												SOURCEPAGE:p.221
Spark Staff								TYPE:Magic.Staff																							COST:12650	WT:2		BASEITEM:Staff								EQMOD:Special Ability ~ Staff Charges|CHARGES[10]												SOURCEPAGE:p.221	SPROP:1/day regain 1 charge when wielder takes 10 points of electricity damage


###Block: Wondrous Items
# Equipment Name						Output Name							Type						Cost		Weight	Slot Needed	Define					Modifier			Source Page		Ability																																														Save bonus					Bonus to skill								Modify VAR					Special Property																																																																													Temporary Bonus
Amulet of the Blooded (Aberrant)											TYPE:Magic.Wondrous.Amulet		COST:15000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Aberrant	SPROP:25% chance to negate critical hit or sneak attack, increase melee touch attack reach by 5 ft|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Aberrant
Amulet of the Blooded (Abyssal)											TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Abyssal	SPROP:gain electricity resistance 5, +2 save vs. poison, grow claws as free action|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Abyssal
Amulet of the Blooded (Accursed)											TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Accursed	SPROP:+2 save vs. charm, cold, fear, fire, and sleep; 3/day gaze to stagger 4 rounds (60 ft. range, Will DC 18); old target unstaggered if used on new target|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Accursed
Amulet of the Blooded (Celestial)											TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Celestial	SPROP:gain acid resistance 5, cold resistance 5; 3/day fire ray (30 ft., touch attack): 1d4+4 damage aginst evil creatures, heal 1d4+4 damage against good creatures (1/day/target)|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Celestial
Amulet of the Blooded (Destined)											TYPE:Magic.Wondrous.Amulet		COST:10000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Destined	SPROP:+2 luck bonus on all saves and AC during surprise rounds or when unaware of attack; 1/day reroll one attack roll, critical hit confirmation, or caster level check to overcome spell resistance|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Destined
Amulet of the Blooded (Draconic Acid)										TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Draconic	SPROP:gain acid resistance 5, +1 natural armor bonus to AC; 1/day breath weapon (4d6 acid damage, 60-ft. line, Reflex DC 13 half)|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Draconic
Amulet of the Blooded (Draconic Electricity)									TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Draconic	SPROP:gain electricity resistance 5, +1 natural armor bonus to AC; 1/day breath weapon (4d6 electricity damage, 60-ft. line, Reflex DC 13 half)|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Draconic
Amulet of the Blooded (Draconic Fire)										TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Draconic	SPROP:gain fire resistance 5, +1 natural armor bonus to AC; 1/day breath weapon (4d6 fire damage, 30-ft. cone, Reflex DC 13 half)|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Draconic
Amulet of the Blooded (Draconic Cold)										TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Draconic	SPROP:gain cold resistance 5, +1 natural armor bonus to AC; 1/day breath weapon (4d6 cold damage, 30-ft. cone, Reflex DC 13 half)|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Draconic
Amulet of the Blooded (Elemental Electricity)									TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Elemental	SPROP:gain electricity resistance 5; 1/day elemental burst (4d6 electricity damage, 20-ft. burst, Reflex DC 14 half), failed save gives vulnerability to electricity until wearer's next turn|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Elemental
Amulet of the Blooded (Elemental Acid)										TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Elemental	SPROP:gain acid resistance 5; 1/day elemental burst (4d6 acid damage, 20-ft. burst, Reflex DC 14 half), failed save gives vulnerability to acid until wearer's next turn|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Elemental
Amulet of the Blooded (Elemental Fire)										TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Elemental	SPROP:gain fire resistance 5; 1/day elemental burst (4d6 fire damage, 20-ft. burst, Reflex DC 14 half), failed save gives vulnerability to fire until wearer's next turn|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Elemental
Amulet of the Blooded (Elemental Cold)										TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Elemental	SPROP:gain cold resistance 5; 1/day elemental burst (4d6 cold damage, 20-ft. burst, Reflex DC 14 half), failed save gives vulnerability to cold until wearer's next turn|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Elemental
Amulet of the Blooded (Fey)												TYPE:Magic.Wondrous.Amulet		COST:10000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Fey	SPROP:9 rounds/day greater invisibility; 3/day cause debilitating laughter with a melee touch attack|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Fey
Amulet of the Blooded (Infernal)											TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Infernal	SPROP:gain fire resistance 5, +2 save vs. poison; 3/day shaken with melee touch attack|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Infernal
Amulet of the Blooded (Undead)											TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.222																																																																						SPROP:increase effective level of bloodline abilities by 2|PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Undead	SPROP:gain cold resistance 5 and DR 5/- vs. nonlethal damage; 3/day shaken with melee touch attack (if shaken and fewer than 8 Hit Dice, frightened for 1 round)|!PREABILITY:1,CATEGORY=Special Ability,Bloodline ~ Undead
Amulet of the Spirits (Battle)											TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.224																																																																						SPROP:increase effective level of mystery or spirit powers by 2|PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Battle,Spirit Bond ~ Battle	SPROP:1/day activate battle ward (+3 deflection bonus to AC, reduced by 1 each time attacked); 1/day curse creature within 30 ft. for 8 rounds to take additional bleed damage and only half hit points are healed|!PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Battle,Spirit Bond ~ Battle
Amulet of the Spirits (Bones)												TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.224																																																																						SPROP:increase effective level of mystery or spirit powers by 2|PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Bones,Spirit Bond ~ Bones	SPROP:1/day gain +2 deflection bonus to AC for 8 rounds; 1/day cause creature within 30 ft. to be frightened for 1 round (Will DC 13)|!PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Bones,Spirit Bond ~ Bones
Amulet of the Spirits (Flame)												TYPE:Magic.Wondrous.Amulet		COST:10000	WT:1														SOURCEPAGE:p.224																																																																						SPROP:increase effective level of mystery or spirit powers by 2|PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Flame,Spirit Bond ~ Flame	SPROP:2/day activate fire ward (next melee attacker takes 1d6+4 fire damage); 2/day cause creature within 30 ft. to be vulnerable to fire until end of wearer's next turn|!PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Flame,Spirit Bond ~ Flame
Amulet of the Spirits (Heavens)											TYPE:Magic.Wondrous.Amulet		COST:8000	WT:1														SOURCEPAGE:p.224																																																						BONUS:SKILL|TYPE.Charisma|max(0,WIS)|TYPE=WisdomBonus								SPROP:increase effective level of mystery or spirit powers by 2|PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Heavens,Spirit Bond ~ Heavens	SPROP:can determine precise location when open sky can be seen at night; add Wisdom modifier to Charisma modifer on all Charisma checks and Charisma-based skill checks; cause enemy within 30 ft. to treat light level as two steps lower for 8 rounds|!PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Heavens,Spirit Bond ~ Heavens
Amulet of the Spirits (Life)												TYPE:Magic.Wondrous.Amulet		COST:12000	WT:1														SOURCEPAGE:p.224																																																																						SPROP:increase effective level of mystery or spirit powers by 2|PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Life,Spirit Bond ~ Life	SPROP:regain 1d6 more hit points from any cure spell; 1/day cut off creature within 30 ft. from all forms of magical healing and effects that remove conditions for 1 minute (Will DC 13)|!PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Life,Spirit Bond ~ Life
Amulet of the Spirits (Stone)												TYPE:Magic.Wondrous.Amulet		COST:10000	WT:1														SOURCEPAGE:p.224																																																																						SPROP:increase effective level of mystery or spirit powers by 2|PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Stone,Spirit Bond ~ Stone	SPROP:1/day activate ward of stone (DR 5/adamantine against next 2 attacks); 1/day give creature within 30 ft. -4 penalty to AC against metal weapons for 2 rounds|!PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Stone,Spirit Bond ~ Stone
Amulet of the Spirits (Waves)												TYPE:Magic.Wondrous.Amulet		COST:10000	WT:1														SOURCEPAGE:p.224																																																																						SPROP:increase effective level of mystery or spirit powers by 2|PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Waves,Spirit Bond ~ Waves	SPROP:1/day activate ward of mist (blur until 2 attacks miss because of concealment); 1/day cause creature within 30 ft. to be etangled for 1 round by cold damage for 1 minute|!PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Waves,Spirit Bond ~ Waves
Amulet of the Spirits (Wind)												TYPE:Magic.Wondrous.Amulet		COST:8000	WT:1														SOURCEPAGE:p.224																																																																						SPROP:increase effective level of mystery or spirit powers by 2|PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Wind,Spirit Bond ~ Wind	SPROP:1/day activate ward of wind (ranged attacks get 20% miss chance) for 1 minute; 1/day cause creature within 30 ft. to emit light like a torch and take 5 electricity damage when hit with a metal weapon|!PREABILITY:1,CATEGORY=Special Ability,Mystery ~ Wind,Spirit Bond ~ Wind
Amulet of Uncanny Defense												TYPE:Magic.Wondrous.Amulet		COST:5000															SOURCEPAGE:p.225																																																																						SPROP:gain improved uncanny dodge|PREABILITY:1,CATEGORY=Special Ability,Uncanny Dodge	SPROP:treat class level as 4 higher for improved uncanny dodge|PREABILITY:1,CATEGORY=Special Ability,Improved Uncanny Dodge
#	SELECT:1	CHOOSE:USERINPUT|TITLE=Type of Animal
Aspect Mask															TYPE:Magic.Wondrous.Headgear		COST:6500	WT:2														SOURCEPAGE:p.225																																																																						SPROP:3/day gain aspect of animal attuned to mask, as if by hunter's animal focus class feature
Assassin's Dust														TYPE:Magic.Wondrous.Consumable	COST:750															SOURCEPAGE:p.226																																																																						SPROP:disintegrates dead flesh and bones
Banner of Restful Nights												TYPE:Magic.Wondrous			COST:5040	WT:7														SOURCEPAGE:p.226																																																																						SPROP:1/day endure elements, alarm, and calm magical weather in 20-ft. radius for 8 hours or until removed
Bell of Returning Spirits												TYPE:Magic.Wondrous.Instrument	COST:3000	WT:1														SOURCEPAGE:p.226																																																																						SPROP:1/day summon your familiar, if within 100 ft.; destroy to raise familiar from the dead
Belt of Superior Maneuvers +1												TYPE:Magic.Wondrous.Belt		COST:2000															SOURCEPAGE:p.226																																																																						SPROP:3/day +1 enhancement bonus on and against one combat maneuver	SPROP:one additional use of martial flexibility per day|PRECLASS:1,Brawler=1
Belt of Superior Maneuvers +2												TYPE:Magic.Wondrous.Belt		COST:8000															SOURCEPAGE:p.226																																																																						SPROP:3/day +2 enhancement bonus on and against one combat maneuver	SPROP:one additional use of martial flexibility per day|PRECLASS:1,Brawler=1
Belt of Superior Maneuvers +3												TYPE:Magic.Wondrous.Belt		COST:18000															SOURCEPAGE:p.226																																																																						SPROP:3/day +3 enhancement bonus on and against one combat maneuver	SPROP:one additional use of martial flexibility per day|PRECLASS:1,Brawler=1
Belt of Superior Maneuvers +4												TYPE:Magic.Wondrous.Belt		COST:32000															SOURCEPAGE:p.226																																																																						SPROP:3/day +4 enhancement bonus on and against one combat maneuver	SPROP:one additional use of martial flexibility per day|PRECLASS:1,Brawler=1
Belt of Superior Maneuvers +5												TYPE:Magic.Wondrous.Belt		COST:50000															SOURCEPAGE:p.226																																																																						SPROP:3/day +5 enhancement bonus on and against one combat maneuver	SPROP:one additional use of martial flexibility per day|PRECLASS:1,Brawler=1
Bloodstained Gloves													TYPE:Magic.Wondrous.Glove		COST:8000	WT:5														SOURCEPAGE:p.226																																																																						SPROP:if soaked in blood of recently killed creature, gain +1 insight bonus on attack and damage against that same type (or subtype for humanoids and outsiders) for 1 hour|!PRECLASS:1,Slayer=1	SPROP:if soaked in blood of recently killed creature, gain insight bonus equal to studied target bonus on attack and damage against that same type (or subtype for humanoids and outsiders) for 1 hour|PRECLASS:1,Slayer=1

Blouse of the Boastful Bastard											TYPE:Magic.Wondrous.Shirt		COST:8000															SOURCEPAGE:p.227																																																																						SPROP:Regain 1 panache point when taking damage from critical hit
Boots of Gusto														TYPE:Magic.Wondrous.Boot		COST:2000	WT:1		SLOTS:2											SOURCEPAGE:p.227																																																																						SPROP:3/day perform derring-do 1st-level swashbuckler deed
Boots of Swift Fury													TYPE:Magic.Wondrous.Boot		COST:7500	WT:2		SLOTS:2											SOURCEPAGE:p.227																																																																						SPROP:Increase base land speed; when in rage, +4 deflection bonus to AC against attacks of opportunity provoked by movement or casting a spell
Boots of the Battle Herald												TYPE:Magic.Wondrous.Boot		COST:30000	WT:2		SLOTS:2											SOURCEPAGE:p.227																																																																						SPROP:1/day gain greater heroism for 11 minutes
Boots of Vaulting														TYPE:Magic.Wondrous.Boot		COST:3500	WT:1		SLOTS:2											SOURCEPAGE:p.227																																																																						SPROP:Ignore additional 10 feet of falling distance with Acrobatics; 1/round gain +10 competence bonus to Acrobatics to jump, treated as running start; +10 to Acrobatics to afoid attacks of opportunity while jumping or to balance after landing; if used more than 1/minute, may reduce speed by half
Bottled Scream														TYPE:Magic.Wondrous.Consumable	COST:900	WT:0.5													SOURCEPAGE:p.227																																																																						SPROP:20-foot burst: end audible bard performance; spellcasters concentrating or casting as spell must make concentration check (DC 15+spell level); dispels silence; can be thrown as splash weapon

Brass Spider														TYPE:Magic.Wondrous			COST:2500	WT:2														SOURCEPAGE:p.228																																																																						SPROP:diminutive construct (hardness 5, 25 hp); 1/day Disable Device use out to 15 feet and unlimited use as masterwork thieve's tools, without additional range.
