# CVS $Revision$ $Author$ -- Thu Feb  5 15:53:35 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Dawnforge	SOURCESHORT:DF	SOURCEWEB:http://www.fantasyflightgames.com/dawnforge.html	SOURCEDATE:2003-10
# Original Entry by: Ratheof Blithwyn

###########################
##   Legendary Paths     ##
###########################

# Feat Name					Type				Visible	Required Stat	Required var. value			Special ABility											Define					Stat bonus						Modify VAR					Source Page
# Ability Name				Category of Ability		Type				Visible		Required Stat	Required Var. value			Special ABility											Define					Stat bonus						Modify VAR					Source Page
Path of the Mighty 1st Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,STR=18							SAB:Path of the Mighty (1st Circle)|PREVAREQ:LegendaryPathMighty,1		DEFINE:LegendaryPathMighty|0		BONUS:STAT|STR|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathMighty|1	SOURCEPAGE:p84
Deadeye V				CATEGORY:Special Ability	TYPE:LegendaryDeadeye.DawnArcherLPL5		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDeadeye		PRECLASS:1,Dawn Archer=5	SAB:Deadeye V (+5)																							SOURCEPAGE:p75
Unstoppable Arrows I		CATEGORY:Special Ability	TYPE:LegendaryUnstoppableArrows.DawnArcherLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppableArrows	PRECLASS:1,Dawn Archer=1	SAB:Unstoppable Arrows I (%CHOICE)		MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Adamantine|Chaotic|Cold Iron|Evil|Good|Lawful|Magic|Silver			SOURCEPAGE:p75
Unstoppable Arrows II		CATEGORY:Special Ability	TYPE:LegendaryUnstoppableArrows.DawnArcherLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppableArrows	PRECLASS:1,Dawn Archer=2	SAB:Unstoppable Arrows II (%CHOICE)		MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Adamantine|Chaotic|Cold Iron|Evil|Good|Lawful|Magic|Silver	SELECT:2	SOURCEPAGE:p75
Unstoppable Arrows III		CATEGORY:Special Ability	TYPE:LegendaryUnstoppableArrows.DawnArcherLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppableArrows	PRECLASS:1,Dawn Archer=3	SAB:Unstoppable Arrows III (%CHOICE)	MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Adamantine|Chaotic|Cold Iron|Evil|Good|Lawful|Magic|Silver	SELECT:3	SOURCEPAGE:p75
Unstoppable Arrows IV		CATEGORY:Special Ability	TYPE:LegendaryUnstoppableArrows.DawnArcherLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppableArrows	PRECLASS:1,Dawn Archer=4	SAB:Unstoppable Arrows IV (%CHOICE)		MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Adamantine|Chaotic|Cold Iron|Evil|Good|Lawful|Magic|Silver	SELECT:4	SOURCEPAGE:p75
Unstoppable Arrows V		CATEGORY:Special Ability	TYPE:LegendaryUnstoppableArrows.DawnArcherLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppableArrows	PRECLASS:1,Dawn Archer=5	SAB:Unstoppable Arrows V (%CHOICE)		MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Adamantine|Chaotic|Cold Iron|Evil|Good|Lawful|Magic|Silver	SELECT:5	SOURCEPAGE:p75
Enchanted Bow I			CATEGORY:Special Ability	TYPE:LegendaryEnchantedBow.DawnArcherLPL1		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnchantedBow		PRECLASS:1,Dawn Archer=1	SAB:Enchanted Bow I (+1)																						SOURCEPAGE:p76
Enchanted Bow II			CATEGORY:Special Ability	TYPE:LegendaryEnchantedBow.DawnArcherLPL2		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnchantedBow		PRECLASS:1,Dawn Archer=2	SAB:Enchanted Bow II (+2)																						SOURCEPAGE:p76
Enchanted Bow III			CATEGORY:Special Ability	TYPE:LegendaryEnchantedBow.DawnArcherLPL3		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnchantedBow		PRECLASS:1,Dawn Archer=3	SAB:Enchanted Bow III (+3)																						SOURCEPAGE:p76
Enchanted Bow IV			CATEGORY:Special Ability	TYPE:LegendaryEnchantedBow.DawnArcherLPL4		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnchantedBow		PRECLASS:1,Dawn Archer=4	SAB:Enchanted Bow IV (+4)																						SOURCEPAGE:p76
Enchanted Bow V			CATEGORY:Special Ability	TYPE:LegendaryEnchantedBow.DawnArcherLPL5		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnchantedBow		PRECLASS:1,Dawn Archer=5	SAB:Enchanted Bow V (+5)																						SOURCEPAGE:p76
Crippling Accuracy I		CATEGORY:Special Ability	TYPE:LegendaryCripplingAccuracy.DawnArcherLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCripplingAccuracy	PRECLASS:1,Dawn Archer=1	SAB:Crippling Accuracy I (1/day)																					SOURCEPAGE:p76
Crippling Accuracy II		CATEGORY:Special Ability	TYPE:LegendaryCripplingAccuracy.DawnArcherLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCripplingAccuracy	PRECLASS:1,Dawn Archer=2	SAB:Crippling Accuracy II (2/day)																					SOURCEPAGE:p76
Crippling Accuracy III		CATEGORY:Special Ability	TYPE:LegendaryCripplingAccuracy.DawnArcherLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCripplingAccuracy	PRECLASS:1,Dawn Archer=3	SAB:Crippling Accuracy III (3/day)																					SOURCEPAGE:p76
Crippling Accuracy IV		CATEGORY:Special Ability	TYPE:LegendaryCripplingAccuracy.DawnArcherLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCripplingAccuracy	PRECLASS:1,Dawn Archer=4	SAB:Crippling Accuracy IV (4/day)																					SOURCEPAGE:p76
Crippling Accuracy V		CATEGORY:Special Ability	TYPE:LegendaryCripplingAccuracy.DawnArcherLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCripplingAccuracy	PRECLASS:1,Dawn Archer=5	SAB:Crippling Accuracy V (5/day)																					SOURCEPAGE:p76

###Block:Fleetwind legendary abilities
# Feat Name			Type							Visible	Required Class		Prohibited Feat					Special ABility				Source Page
# Ability Name		Category of Ability		Type							Visible		Restricted Ability									Required Class		Special ABility				Source Page
Trailblazer I		CATEGORY:Special Ability	TYPE:LegendaryTrailblazer.FleetwindLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryTrailblazer		PRECLASS:1,Fleetwind=1	SAB:Trailblazer I (up to 2 hours)	SOURCEPAGE:p77
Trailblazer II		CATEGORY:Special Ability	TYPE:LegendaryTrailblazer.FleetwindLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryTrailblazer		PRECLASS:1,Fleetwind=2	SAB:Trailblazer II (up to 4 hours)	SOURCEPAGE:p77
Trailblazer III		CATEGORY:Special Ability	TYPE:LegendaryTrailblazer.FleetwindLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryTrailblazer		PRECLASS:1,Fleetwind=3	SAB:Trailblazer III (up to 6hours)	SOURCEPAGE:p77
Trailblazer IV		CATEGORY:Special Ability	TYPE:LegendaryTrailblazer.FleetwindLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryTrailblazer		PRECLASS:1,Fleetwind=4	SAB:Trailblazer IV (up to 8 hours)	SOURCEPAGE:p77
Trailblazer V		CATEGORY:Special Ability	TYPE:LegendaryTrailblazer.FleetwindLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryTrailblazer		PRECLASS:1,Fleetwind=5	SAB:Trailblazer V (up to 10 hours)	SOURCEPAGE:p77
Walk on Water I		CATEGORY:Special Ability	TYPE:LegendaryWalkWater.FleetwindLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkWater		PRECLASS:1,Fleetwind=1	SAB:Walk on Water I (1/day)		SOURCEPAGE:p77
Walk on Water II		CATEGORY:Special Ability	TYPE:LegendaryWalkWater.FleetwindLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkWater		PRECLASS:1,Fleetwind=2	SAB:Walk on Water II (2/day)		SOURCEPAGE:p77
Walk on Water III		CATEGORY:Special Ability	TYPE:LegendaryWalkWater.FleetwindLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkWater		PRECLASS:1,Fleetwind=3	SAB:Walk on Water III (3/day)		SOURCEPAGE:p77
Walk on Water IV		CATEGORY:Special Ability	TYPE:LegendaryWalkWater.FleetwindLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkWater		PRECLASS:1,Fleetwind=4	SAB:Walk on Water IV (4/day)		SOURCEPAGE:p77
Walk on Water V		CATEGORY:Special Ability	TYPE:LegendaryWalkWater.FleetwindLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkWater		PRECLASS:1,Fleetwind=5	SAB:Walk on Water V (5/day)		SOURCEPAGE:p77
Walk on Air I		CATEGORY:Special Ability	TYPE:LegendaryWalkAir.FleetwindLPL1		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkAir		PRECLASS:1,Fleetwind=1	SAB:Walk on Air I (1/day)		SOURCEPAGE:p78
Walk on Air II		CATEGORY:Special Ability	TYPE:LegendaryWalkAir.FleetwindLPL2		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkAir		PRECLASS:1,Fleetwind=2	SAB:Walk on Air II (2/day)		SOURCEPAGE:p78
Walk on Air III		CATEGORY:Special Ability	TYPE:LegendaryWalkAir.FleetwindLPL3		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkAir		PRECLASS:1,Fleetwind=3	SAB:Walk on Air III (3/day)		SOURCEPAGE:p78
Walk on Air IV		CATEGORY:Special Ability	TYPE:LegendaryWalkAir.FleetwindLPL4		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkAir		PRECLASS:1,Fleetwind=4	SAB:Walk on Air IV (4/day)		SOURCEPAGE:p78
Walk on Air V		CATEGORY:Special Ability	TYPE:LegendaryWalkAir.FleetwindLPL5		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWalkAir		PRECLASS:1,Fleetwind=5	SAB:Walk on Air V (5/day)		SOURCEPAGE:p78
Stunning Speed I		CATEGORY:Special Ability	TYPE:LegendaryStunningSpeed.FleetwindLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryStunningSpeed	PRECLASS:1,Fleetwind=1	SAB:Stunning Speed I (1/day)		SOURCEPAGE:p78
Stunning Speed II		CATEGORY:Special Ability	TYPE:LegendaryStunningSpeed.FleetwindLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryStunningSpeed	PRECLASS:1,Fleetwind=2	SAB:Stunning Speed II (2/day)		SOURCEPAGE:p78
Stunning Speed III	CATEGORY:Special Ability	TYPE:LegendaryStunningSpeed.FleetwindLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryStunningSpeed	PRECLASS:1,Fleetwind=3	SAB:Stunning Speed III (3/day)	SOURCEPAGE:p78
Stunning Speed IV		CATEGORY:Special Ability	TYPE:LegendaryStunningSpeed.FleetwindLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryStunningSpeed	PRECLASS:1,Fleetwind=4	SAB:Stunning Speed IV (4/day)		SOURCEPAGE:p78
Stunning Speed V		CATEGORY:Special Ability	TYPE:LegendaryStunningSpeed.FleetwindLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryStunningSpeed	PRECLASS:1,Fleetwind=5	SAB:Stunning Speed V (5/day)		SOURCEPAGE:p78
Wall Fighting I		CATEGORY:Special Ability	TYPE:LegendaryWallFighting.FleetwindLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWallFighting		PRECLASS:1,Fleetwind=1	SAB:Wall Fighting I (+1)		SOURCEPAGE:p78
Wall Fighting II		CATEGORY:Special Ability	TYPE:LegendaryWallFighting.FleetwindLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWallFighting		PRECLASS:1,Fleetwind=2	SAB:Wall Fighting II (+2)		SOURCEPAGE:p78
Wall Fighting III		CATEGORY:Special Ability	TYPE:LegendaryWallFighting.FleetwindLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWallFighting		PRECLASS:1,Fleetwind=3	SAB:Wall Fighting III (+3)		SOURCEPAGE:p78
Wall Fighting IV		CATEGORY:Special Ability	TYPE:LegendaryWallFighting.FleetwindLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWallFighting		PRECLASS:1,Fleetwind=4	SAB:Wall Fighting IV (+4)		SOURCEPAGE:p78
Wall Fighting V		CATEGORY:Special Ability	TYPE:LegendaryWallFighting.FleetwindLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryWallFighting		PRECLASS:1,Fleetwind=5	SAB:Wall Fighting V (+5)		SOURCEPAGE:p78

###Block:Epic General legendary abilities
# Feat Name			Type								Visible	Required Class			Prohibited Feat						Special ABility				Source Page
# Ability Name		Category of Ability		Type								Visible		Restricted Ability									Required Class			Special ABility				Source Page
Heroic Inspiration I	CATEGORY:Special Ability	TYPE:LegendaryHeroicInspiration.EpicGeneralLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryHeroicInspiration	PRECLASS:1,Epic General=1	SAB:Heroic Inspiration I (1/day)	SOURCEPAGE:p79
Heroic Inspiration II	CATEGORY:Special Ability	TYPE:LegendaryHeroicInspiration.EpicGeneralLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryHeroicInspiration	PRECLASS:1,Epic General=2	SAB:Heroic Inspiration II (2/day)	SOURCEPAGE:p79
Heroic Inspiration III	CATEGORY:Special Ability	TYPE:LegendaryHeroicInspiration.EpicGeneralLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryHeroicInspiration	PRECLASS:1,Epic General=3	SAB:Heroic Inspiration III (3/day)	SOURCEPAGE:p79
Heroic Inspiration IV	CATEGORY:Special Ability	TYPE:LegendaryHeroicInspiration.EpicGeneralLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryHeroicInspiration	PRECLASS:1,Epic General=4	SAB:Heroic Inspiration IV (4/day)	SOURCEPAGE:p79
Heroic Inspiration V	CATEGORY:Special Ability	TYPE:LegendaryHeroicInspiration.EpicGeneralLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryHeroicInspiration	PRECLASS:1,Epic General=5	SAB:Heroic Inspiration V (5/day)	SOURCEPAGE:p79
Shielded Mind I		CATEGORY:Special Ability	TYPE:LegendaryShieldedMind.EpicGeneralLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryShieldedMind		PRECLASS:1,Epic General=1	SAB:Shielded Mind I (+2)		SOURCEPAGE:p79
Shielded Mind II		CATEGORY:Special Ability	TYPE:LegendaryShieldedMind.EpicGeneralLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryShieldedMind		PRECLASS:1,Epic General=2	SAB:Shielded Mind II (+4)		SOURCEPAGE:p79
Shielded Mind III		CATEGORY:Special Ability	TYPE:LegendaryShieldedMind.EpicGeneralLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryShieldedMind		PRECLASS:1,Epic General=3	SAB:Shielded Mind III (+6)		SOURCEPAGE:p79
Shielded Mind IV		CATEGORY:Special Ability	TYPE:LegendaryShieldedMind.EpicGeneralLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryShieldedMind		PRECLASS:1,Epic General=4	SAB:Shielded Mind IV (+8)		SOURCEPAGE:p79
Shielded Mind V		CATEGORY:Special Ability	TYPE:LegendaryShieldedMind.EpicGeneralLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryShieldedMind		PRECLASS:1,Epic General=5	SAB:Shielded Mind V (+10)		SOURCEPAGE:p79
Combat Sense I		CATEGORY:Special Ability	TYPE:LegendaryCombatSense.EpicGeneralLPL1		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCombatSense		PRECLASS:1,Epic General=1	SAB:Combat Sense I (10 pct.)		SOURCEPAGE:p79
Combat Sense II		CATEGORY:Special Ability	TYPE:LegendaryCombatSense.EpicGeneralLPL2		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCombatSense		PRECLASS:1,Epic General=2	SAB:Combat Sense II (20 pct.)		SOURCEPAGE:p79
Combat Sense III		CATEGORY:Special Ability	TYPE:LegendaryCombatSense.EpicGeneralLPL3		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCombatSense		PRECLASS:1,Epic General=3	SAB:Combat Sense III (30 pct.)	SOURCEPAGE:p79
Combat Sense IV		CATEGORY:Special Ability	TYPE:LegendaryCombatSense.EpicGeneralLPL4		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCombatSense		PRECLASS:1,Epic General=4	SAB:Combat Sense IV (40 pct.)		SOURCEPAGE:p79
Combat Sense V		CATEGORY:Special Ability	TYPE:LegendaryCombatSense.EpicGeneralLPL5		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCombatSense		PRECLASS:1,Epic General=5	SAB:Combat Sense V (50 pct.)		SOURCEPAGE:p79
Fearful Presence I	CATEGORY:Special Ability	TYPE:LegendaryFearfulPresence.EpicGeneralLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryFearfulPresence	PRECLASS:1,Epic General=1	SAB:Fearful Presence I			SOURCEPAGE:p79
Fearful Presence II	CATEGORY:Special Ability	TYPE:LegendaryFearfulPresence.EpicGeneralLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryFearfulPresence	PRECLASS:1,Epic General=2	SAB:Fearful Presence II			SOURCEPAGE:p79
Fearful Presence III	CATEGORY:Special Ability	TYPE:LegendaryFearfulPresence.EpicGeneralLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryFearfulPresence	PRECLASS:1,Epic General=3	SAB:Fearful Presence III		SOURCEPAGE:p79
Fearful Presence IV	CATEGORY:Special Ability	TYPE:LegendaryFearfulPresence.EpicGeneralLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryFearfulPresence	PRECLASS:1,Epic General=4	SAB:Fearful Presence IV			SOURCEPAGE:p79
Fearful Presence V	CATEGORY:Special Ability	TYPE:LegendaryFearfulPresence.EpicGeneralLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryFearfulPresence	PRECLASS:1,Epic General=5	SAB:Fearful Presence V			SOURCEPAGE:p79
Summon Conscripts I	CATEGORY:Special Ability	TYPE:LegendarySummonConscripts.EpicGeneralLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySummonConscripts	PRECLASS:1,Epic General=1	SAB:Summon Conscripts I (1/week)	SOURCEPAGE:p80
Summon Conscripts II	CATEGORY:Special Ability	TYPE:LegendarySummonConscripts.EpicGeneralLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySummonConscripts	PRECLASS:1,Epic General=2	SAB:Summon Conscripts II (2/week)	SOURCEPAGE:p80
Summon Conscripts III	CATEGORY:Special Ability	TYPE:LegendarySummonConscripts.EpicGeneralLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySummonConscripts	PRECLASS:1,Epic General=3	SAB:Summon Conscripts III (3/week)	SOURCEPAGE:p80
Summon Conscripts IV	CATEGORY:Special Ability	TYPE:LegendarySummonConscripts.EpicGeneralLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySummonConscripts	PRECLASS:1,Epic General=4	SAB:Summon Conscripts IV (4/week)	SOURCEPAGE:p80
Summon Conscripts V	CATEGORY:Special Ability	TYPE:LegendarySummonConscripts.EpicGeneralLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySummonConscripts	PRECLASS:1,Epic General=5	SAB:Summon Conscripts V (5/week)	SOURCEPAGE:p80

###Block:Icon legendary abilities
# Feat Name			Type							Visible	Required Class	Prohibited Feat						Special ABility				Bonus to skill							Source Page
# Ability Name		Category of Ability		Type							Visible		Restricted Ability									Required Class	Special ABility				Bonus to skill							Source Page
Natural Leader I		CATEGORY:Special Ability	TYPE:LegendaryNaturalLeader.IconLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryNaturalLeader	PRECLASS:1,Icon=1	SAB:Natural Leader I (+1)											SOURCEPAGE:p81
Natural Leader II		CATEGORY:Special Ability	TYPE:LegendaryNaturalLeader.IconLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryNaturalLeader	PRECLASS:1,Icon=2	SAB:Natural Leader II (+2)											SOURCEPAGE:p81
Natural Leader III	CATEGORY:Special Ability	TYPE:LegendaryNaturalLeader.IconLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryNaturalLeader	PRECLASS:1,Icon=3	SAB:Natural Leader III (+3)											SOURCEPAGE:p81
Natural Leader IV		CATEGORY:Special Ability	TYPE:LegendaryNaturalLeader.IconLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryNaturalLeader	PRECLASS:1,Icon=4	SAB:Natural Leader IV (+4)											SOURCEPAGE:p81
Natural Leader V		CATEGORY:Special Ability	TYPE:LegendaryNaturalLeader.IconLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryNaturalLeader	PRECLASS:1,Icon=5	SAB:Natural Leader V (+5)											SOURCEPAGE:p81
Captivating Speach I	CATEGORY:Special Ability	TYPE:LegendaryCaptivatingSpeach.IconLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCaptivatingSpeach	PRECLASS:1,Icon=1	SAB:Captivating Speach I (1/day)										SOURCEPAGE:p81
Captivating Speach II	CATEGORY:Special Ability	TYPE:LegendaryCaptivatingSpeach.IconLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCaptivatingSpeach	PRECLASS:1,Icon=2	SAB:Captivating Speach II (2/day)										SOURCEPAGE:p81
Captivating Speach III	CATEGORY:Special Ability	TYPE:LegendaryCaptivatingSpeach.IconLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCaptivatingSpeach	PRECLASS:1,Icon=3	SAB:Captivating Speach III (3/day)										SOURCEPAGE:p81
Captivating Speach IV	CATEGORY:Special Ability	TYPE:LegendaryCaptivatingSpeach.IconLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCaptivatingSpeach	PRECLASS:1,Icon=4	SAB:Captivating Speach IV (4/day)										SOURCEPAGE:p81
Captivating Speach V	CATEGORY:Special Ability	TYPE:LegendaryCaptivatingSpeach.IconLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCaptivatingSpeach	PRECLASS:1,Icon=5	SAB:Captivating Speach V (5/day)										SOURCEPAGE:p81
Unexpected Aid I		CATEGORY:Special Ability	TYPE:LegendaryUnexpectedAid.IconLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnexpectedAid	PRECLASS:1,Icon=1	SAB:Unexpected Aid I (1/week)											SOURCEPAGE:p81
Unexpected Aid II		CATEGORY:Special Ability	TYPE:LegendaryUnexpectedAid.IconLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnexpectedAid	PRECLASS:1,Icon=2	SAB:Unexpected Aid II (2/week)										SOURCEPAGE:p81
Unexpected Aid III	CATEGORY:Special Ability	TYPE:LegendaryUnexpectedAid.IconLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnexpectedAid	PRECLASS:1,Icon=3	SAB:Unexpected Aid III (3/week)										SOURCEPAGE:p81
Unexpected Aid IV		CATEGORY:Special Ability	TYPE:LegendaryUnexpectedAid.IconLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnexpectedAid	PRECLASS:1,Icon=4	SAB:Unexpected Aid IV (4/week)										SOURCEPAGE:p81
Unexpected Aid V		CATEGORY:Special Ability	TYPE:LegendaryUnexpectedAid.IconLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnexpectedAid	PRECLASS:1,Icon=5	SAB:Unexpected Aid V (5/week)											SOURCEPAGE:p81
Cheat Death I		CATEGORY:Special Ability	TYPE:LegendaryCheatDeath.IconLPL1		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCheatDeath		PRECLASS:1,Icon=1	SAB:Cheat Death I (1/day)											SOURCEPAGE:p81
Cheat Death II		CATEGORY:Special Ability	TYPE:LegendaryCheatDeath.IconLPL2		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCheatDeath		PRECLASS:1,Icon=2	SAB:Cheat Death II (2/day)											SOURCEPAGE:p81
