# A creature's own attacks, as weapons. Kept out of the
# Purchase list by VISIBLE:EXPORT and given to the
# creature by AUTO:EQUIP.

Tentacle	KEY:Creature ~ Aboleth ~ Tentacle	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.258
Storm Blade	KEY:Creature ~ Djinni ~ Storm Blade	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.280
Storm Bolt	KEY:Creature ~ Djinni ~ Storm Bolt	TYPE:Weapon.Natural.Ranged.Thunder	DAMAGE:3d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	SOURCEPAGE:SRD 5.2.1, p.280
Slam	KEY:Creature ~ Doppelganger ~ Slam	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.280
Bite	KEY:Creature ~ Dragon Turtle ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:3d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|13	BONUS:WEAPON|DAMAGE|7	SOURCEPAGE:SRD 5.2.1, p.281
Tail	KEY:Creature ~ Dragon Turtle ~ Tail	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|13	BONUS:WEAPON|DAMAGE|7	SOURCEPAGE:SRD 5.2.1, p.281
Rend	KEY:Creature ~ Dretch ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	SOURCEPAGE:SRD 5.2.1, p.281
Foreleg	KEY:Creature ~ Drider ~ Foreleg	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.281
Poison Burst	KEY:Creature ~ Drider ~ Poison Burst	TYPE:Weapon.Natural.Ranged.Poison	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.281
Vine Staff	KEY:Creature ~ Druid ~ Vine Staff	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.282
Verdant Wisp	KEY:Creature ~ Druid ~ Verdant Wisp	TYPE:Weapon.Natural.Ranged.Radiant	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	SOURCEPAGE:SRD 5.2.1, p.282
Vine Lash	KEY:Creature ~ Dryad ~ Vine Lash	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.282
Thorn Burst	KEY:Creature ~ Dryad ~ Thorn Burst	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.282
Slam	KEY:Creature ~ Earth Elemental ~ Slam	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.282
Rock Launch	KEY:Creature ~ Earth Elemental ~ Rock Launch	TYPE:Weapon.Natural.Ranged.Bludgeoning	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.282
Heated Blade	KEY:Creature ~ Efreeti ~ Heated Blade	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|10	BONUS:WEAPON|DAMAGE|6	SOURCEPAGE:SRD 5.2.1, p.283
Hurl Flame	KEY:Creature ~ Efreeti ~ Hurl Flame	TYPE:Weapon.Natural.Ranged.Fire	DAMAGE:7d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	SOURCEPAGE:SRD 5.2.1, p.283
Withering Sword	KEY:Creature ~ Erinyes ~ Withering Sword	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.283
Bite	KEY:Creature ~ Ettercap ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.284
Claw	KEY:Creature ~ Ettercap ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.284
Battleaxe	KEY:Creature ~ Ettin ~ Battleaxe	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.284
Morningstar	KEY:Creature ~ Ettin ~ Morningstar	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.284
Burn	KEY:Creature ~ Fire Elemental ~ Burn	TYPE:Weapon.Natural.Melee.Fire	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.284
Flame Sword	KEY:Creature ~ Fire Giant ~ Flame Sword	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:4d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|11	BONUS:WEAPON|DAMAGE|7	SOURCEPAGE:SRD 5.2.1, p.285
Hammer Throw	KEY:Creature ~ Fire Giant ~ Hammer Throw	TYPE:Weapon.Natural.Ranged.Bludgeoning	DAMAGE:3d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|11	BONUS:WEAPON|DAMAGE|7	RANGE:60	FACT:ShortRange|60	FACT:LongRange|240	SOURCEPAGE:SRD 5.2.1, p.285
Slam	KEY:Creature ~ Flesh Golem ~ Slam	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.285
Frost Axe	KEY:Creature ~ Frost Giant ~ Frost Axe	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d12	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|6	SOURCEPAGE:SRD 5.2.1, p.285
Great Bow	KEY:Creature ~ Frost Giant ~ Great Bow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|6	RANGE:150	FACT:ShortRange|150	FACT:LongRange|600	SOURCEPAGE:SRD 5.2.1, p.285
Rotting Touch	KEY:Creature ~ Violet Fungus ~ Rotting Touch	TYPE:Weapon.Natural.Melee.Necrotic	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|2	SOURCEPAGE:SRD 5.2.1, p.286
Claw	KEY:Creature ~ Gargoyle ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.286
Pseudopod	KEY:Creature ~ Gelatinous Cube ~ Pseudopod	TYPE:Weapon.Natural.Melee.Acid	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.286
Bite	KEY:Creature ~ Ghast ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.287
Claw	KEY:Creature ~ Ghast ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.287
Withering Touch	KEY:Creature ~ Ghost ~ Withering Touch	TYPE:Weapon.Natural.Melee.Necrotic	DAMAGE:3d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.287
Bite	KEY:Creature ~ Ghoul ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.288
Claw	KEY:Creature ~ Ghoul ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.288
Bite	KEY:Creature ~ Gibbering Mouther ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|2	SOURCEPAGE:SRD 5.2.1, p.288
Pincer	KEY:Creature ~ Glabrezu ~ Pincer	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.289
Spear	KEY:Creature ~ Gladiator ~ Spear	TYPE:Weapon.Natural.Melee.Thrown.Ranged.Piercing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	SOURCEPAGE:SRD 5.2.1, p.289
Rend	KEY:Creature ~ Gnoll Warrior ~ Rend	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.289
Bone Bow	KEY:Creature ~ Gnoll Warrior ~ Bone Bow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	RANGE:150	FACT:ShortRange|150	FACT:LongRange|600	SOURCEPAGE:SRD 5.2.1, p.289
Dagger	KEY:Creature ~ Goblin Minion ~ Dagger	TYPE:Weapon.Natural.Melee.Thrown.Ranged.Piercing	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	SOURCEPAGE:SRD 5.2.1, p.290
Scimitar	KEY:Creature ~ Goblin Warrior ~ Scimitar	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.290
Shortbow	KEY:Creature ~ Goblin Warrior ~ Shortbow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	RANGE:80	FACT:ShortRange|80	FACT:LongRange|320	SOURCEPAGE:SRD 5.2.1, p.290
Scimitar	KEY:Creature ~ Goblin Boss ~ Scimitar	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.290
Shortbow	KEY:Creature ~ Goblin Boss ~ Shortbow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	RANGE:80	FACT:ShortRange|80	FACT:LongRange|320	SOURCEPAGE:SRD 5.2.1, p.290
Rend	KEY:Creature ~ Gold Dragon Wyrmling ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.290
Rend	KEY:Creature ~ Young Gold Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|10	BONUS:WEAPON|DAMAGE|6	SOURCEPAGE:SRD 5.2.1, p.291
Rend	KEY:Creature ~ Adult Gold Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|14	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.291
Rend	KEY:Creature ~ Ancient Gold Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|17	BONUS:WEAPON|DAMAGE|10	SOURCEPAGE:SRD 5.2.1, p.292
Gore	KEY:Creature ~ Gorgon ~ Gore	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d12	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.292
Pseudopod	KEY:Creature ~ Gray Ooze ~ Pseudopod	TYPE:Weapon.Natural.Melee.Acid	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	SOURCEPAGE:SRD 5.2.1, p.293
Rend	KEY:Creature ~ Green Dragon Wyrmling ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.293
Rend	KEY:Creature ~ Young Green Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.293
Rend	KEY:Creature ~ Adult Green Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|11	BONUS:WEAPON|DAMAGE|6	SOURCEPAGE:SRD 5.2.1, p.294
Rend	KEY:Creature ~ Ancient Green Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|15	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.294
Claw	KEY:Creature ~ Green Hag ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.295
Beak	KEY:Creature ~ Grick ~ Beak	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.295
Tentacles	KEY:Creature ~ Grick ~ Tentacles	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.295
Rend	KEY:Creature ~ Griffon ~ Rend	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.295
Bone Cudgel	KEY:Creature ~ Grimlock ~ Bone Cudgel	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.296
Bite	KEY:Creature ~ Guardian Naga ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d12	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.296
Spear	KEY:Creature ~ Guard ~ Spear	TYPE:Weapon.Natural.Melee.Thrown.Ranged.Piercing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	SOURCEPAGE:SRD 5.2.1, p.296
Javelin	KEY:Creature ~ Guard Captain ~ Javelin	TYPE:Weapon.Natural.Melee.Thrown.Ranged.Piercing	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	RANGE:30	FACT:ShortRange|30	FACT:LongRange|120	SOURCEPAGE:SRD 5.2.1, p.296
Longsword	KEY:Creature ~ Guard Captain ~ Longsword	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.296
Claw	KEY:Creature ~ Half-Dragon ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.297
Claw	KEY:Creature ~ Harpy ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	SOURCEPAGE:SRD 5.2.1, p.297
Bite	KEY:Creature ~ Hell Hound ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.297
Rend	KEY:Creature ~ Hezrou ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.298
Tree Club	KEY:Creature ~ Hill Giant ~ Tree Club	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:3d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.298
Trash Lob	KEY:Creature ~ Hill Giant ~ Trash Lob	TYPE:Weapon.Natural.Ranged.Bludgeoning	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|5	RANGE:60	FACT:ShortRange|60	FACT:LongRange|240	SOURCEPAGE:SRD 5.2.1, p.298
Rend	KEY:Creature ~ Hippogriff ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.298
Longsword	KEY:Creature ~ Hobgoblin Warrior ~ Longsword	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	SOURCEPAGE:SRD 5.2.1, p.298
Longbow	KEY:Creature ~ Hobgoblin Warrior ~ Longbow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	RANGE:150	FACT:ShortRange|150	FACT:LongRange|600	SOURCEPAGE:SRD 5.2.1, p.298
Greatsword	KEY:Creature ~ Hobgoblin Captain ~ Greatsword	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.299
Longbow	KEY:Creature ~ Hobgoblin Captain ~ Longbow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	RANGE:150	FACT:ShortRange|150	FACT:LongRange|600	SOURCEPAGE:SRD 5.2.1, p.299
