#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
SOURCELONG:Starfinder Core Rulebook	SOURCESHORT:SCR	SOURCEDATE:2017-09
# Original Entry by: Gwen T

###Magic Items###
# Equipment Name					Type								Contains					Cost		Weight	Requires Modification?	Source Page		Bonus Ability Pool				Caster level				Bonus to skill							Modify VAR			Quality and value														Special Property
Aeon Stone (Clear Spindle)			TYPE:Magic.Aeon.WornMagic										COST:245							SOURCEPAGE:p.222																											QUALITY:Level|1	QUALITY:Bulk|-
Aeon Stone (Dark Blue Rhomboid)		TYPE:Magic.Aeon.WornMagic										COST:18000							SOURCEPAGE:p.222														BONUS:SKILL|Perception,Sense Motive|2|TYPE=Insight					QUALITY:Level|10	QUALITY:Bulk|-
Aeon Stone (Iridescent Spindle)		TYPE:Magic.Aeon.WornMagic										COST:740							SOURCEPAGE:p.222																											QUALITY:Level|2	QUALITY:Bulk|-
Aeon Stone (Pearly White Spindle)		TYPE:Magic.Aeon.WornMagic										COST:25000							SOURCEPAGE:p.222								BONUS:CASTERLEVEL|TYPE.Spell|1														QUALITY:Level|11	QUALITY:Bulk|-
Spell Gem (Implant Data)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Inflict Pain)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Inject Nanobots)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Invisibility)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Knock)					TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Logic Bomb)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Make Whole)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Microbot Assault)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Mind Thrust (Level 2))		TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Mirror Image)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Mystic Cure (Level 2))		TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Recharge)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Remove Condition)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Restoration (Lesser))		TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Security Seal)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (See Invisibility)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Shield Other)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Spider Climb)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Status)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Zone of Truth)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Arcane Sight)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Arcing Surge)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Bestow Curse)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Charm Monster)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Clairaudience/Clairvoyance)	TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Deep Slumber)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Discharge)				TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Dispel Magic)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Displacement)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Entropic Grasp)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Explosive Blast)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Fear (Level 3))			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Flight (Level 3))			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Handy Junkbot)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Haste)					TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Healing Junkbot)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Hologram Memory)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Holographic Image (Level 3))	TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Instant Virus)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Irradiate)				TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Mind Thrust (Level 3))		TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Mystic Cure (Level 3))		TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Nondetection)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Probability Prediction)		TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Psychokinetic Strangulation)	TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Ray of Exhaustion)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Remove Affliction)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Resistant Armor (Lesser))	TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Slow)					TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Speak with Dead)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Suggestion)				TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Synaptic Pulse)			TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Tongues)				TYPE:Magic.SpellGem.Consumable									COST:1400	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Spell Gem (Animate Dead)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Arcane Eye)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Confusion)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Corrosive Haze)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Cosmic Eddy)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Creation (Level 4))		TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Death Ward)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Destruction Protocol)		TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Dimension Door)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Discern Lies)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Dismissal (Level 4))		TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Divination)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Enervation)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Fear (Level 4))			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Flight (Level 4))			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Hold Monster)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Holographic Image (Level 4))	TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Invisibility (Greater))		TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Mind Probe)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Mind Thrust (Level 4))		TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Mystic Cure (Level 4))		TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Overload Systems)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Planar Binding (Level 4))	TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Reincarnate)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Remove Radioactivity)		TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Resilient Sphere)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Resistant Armor)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Restoration)				TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Rewire Flesh)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Soothing Protocol)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Telepathic Bond)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Wall of Fire)			TYPE:Magic.SpellGem.Consumable									COST:3700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Bulk|L
Spell Gem (Break Enchantment)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Call Cosmos)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Command (Greater))			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Commune with Nature)		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Contact Other Plane)		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Control Machines)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Creation (Level 5))		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Crush Skull)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Dismissal (Level 5))		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Dispel Magic (Greater))		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Dominate Person)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Feeblemind)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Flight (Level 5))			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Heat Leech)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Holographic Image (Level 5))	TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Holographic Terrain)		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Mind Thrust (Level 5))		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Modify Memory)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Mislead)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Mystic Cure (Level 5))		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Mystic Cure (Mass)(Level 5))	TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Passwall)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Planar Binding (Level 5))	TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Private Sanctum)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Prying Eyes)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Raise Dead)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Rapid Repair)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Remove Condition (Greater))	TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Resistant Aegis)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Retrocognition)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Synapse Overload)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Synaptic Pulse (Greater))	TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Telekinesis)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Telepathy)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Teleport)				TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Unwilling Guardian)		TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Wall of Force)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Waves of Fatigue)			TYPE:Magic.SpellGem.Consumable									COST:10600	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Spell Gem (Battle Junkbot)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Chain Surge)				TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Control Gravity)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Control Undead)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
