# CVS $Revision$ $Author$ -- Mon Sep 15 21:55:54 2014 -- reformated by prettylst.pl v1.51 (build 25129)
SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd	SOURCEDATE:2002-01
Web									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Web (Ex)|PREVAREQ:WebEscapeDC,0	DDESC:Web (Ex) - Escape DC %1 Break DC %2 Hit Points %3|WebEscapeDC|WebBreakDC|WebHitPoints|PREVARGT:WebEscapeDC,0				DEFINE:WebEscapeDC|0	DEFINE:WebBreakDC|0	DEFINE:WebHitPoints|0
Web Cocoon								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Web Cocoon (Ex)
Wheels								CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Wheels
Wild Empathy							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Wild Empathy (Ex) (1d20+%1)|6+CHA
Whistle								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Whistle (Su)
Wolf Empathy							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Wolf Empathy (Ex)
Woodland Stride							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Woodland Stride (Ex)
Wounding								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Wounding (Ex)
Wounding Gaze							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Wounding Gaze (Su)
Wounding Weapon							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Wounding Weapon (Su)

###Block: Unnamed special abilities
# Ability Name				Output Name																																																		Category of Ability		Type						Visible	Special ABility																																																Define
Bonus on Bluff Checks			OUTPUTNAME:+5 species bonus on Bluff checks when attempting to pass itself off as its human host																																			CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+5 species bonus on Bluff checks when attempting to pass itself off as its human host
Bonus vs Enchantment			OUTPUTNAME:+2 species bonus against Enchantment spells or effects																																									CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+2 species bonus against Enchantment spells or effects
Bonus vs Illusions			OUTPUTNAME:+2 species bonus on saving throws against illusions																																									CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+2 species bonus on saving throws against illusions
Bonus vs Poisons Spells and SLA	OUTPUTNAME:+2 species bonus on saving throws against poisons, spells, and spell-like abilities.																																				CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+2 species bonus on saving throws against poisons, spells, and spell-like abilities.
Bonus vs Sleep and Paralysis		OUTPUTNAME:+4 species bonus on saves against sleep and paralysis																																									CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+4 species bonus on saves against sleep and paralysis
Bonus vs Spells and SPA			OUTPUTNAME:+2 species bonus on Will saves against spells and spell-like abilities																																						CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+2 species bonus on Will saves against spells and spell-like abilities
Cannot be Raised				OUTPUTNAME:Cannot be raised from dead																																													CATEGORY:Special Ability	TYPE:RacialTrait				DESC:Cannot be raised from dead
Cannot Heal					OUTPUTNAME:Cannot heal but can be reparied																																												CATEGORY:Special Ability	TYPE:RacialTrait				DESC:Cannot heal but can be reparied
Concussion Damage				OUTPUTNAME:Double damage from Sonic/Concussion damage																																											CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Double damage from Sonic/Concussion damage (Ex)
Dodge Giants				OUTPUTNAME:+4 dodge bonus to Defense against creatures of the giant type																																							CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+4 dodge bonus to Defense against creatures of the giant type
Dwarf Attacks				OUTPUTNAME:+1 species bonus on attack rolls against bugbears, goblins, orcs, and  other goblinoids.																																			CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+1 species bonus on attack rolls against bugbears, goblins, orcs, and  other goblinoids.
Gnome Attacks				OUTPUTNAME:+1 species bonus on attack rolls against bugbears, goblins (and other goblinoids), and kobolds																																		CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+1 species bonus on attack rolls against bugbears, goblins (and other goblinoids), and kobolds
Half Actions				OUTPUTNAME:Move or Attack Action Only																																													CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Move or Attack Action Only (Ex)
Hide in Forest				OUTPUTNAME:+16 to Hide in forested areas																																													CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+16 to Hide in forested areas
Hide in Lair				OUTPUTNAME:+8 species bonus to Hide in its lair																																												CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+8 species bonus to Hide in its lair
Hide in Snow				OUTPUTNAME:+15 species bonus on Hide in snowy conditions																																										CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+15 species bonus on Hide in snowy conditions
Hide in Stone				OUTPUTNAME:+8 to Hide in Stone background																																													CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:+8 to Hide in Stone background
Hide in Subterranean			OUTPUTNAME:+4 Hide in Rocky/subterranean areas																																												CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:+4 Hide in Rocky/subterranean areas
Hide in Undergrowth			OUTPUTNAME:+4 to hide in tall grass or heavy undergrowth																																										CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+4 to hide in tall grass or heavy undergrowth
Hide in Water				OUTPUTNAME:+10 to Hide while in water																																													CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+10 to Hide while in water
Hide when Submerged			OUTPUTNAME:+12 to Hide when Submerged																																													CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+12 to Hide when Submerged
Notice Secret Doors			OUTPUTNAME:Merely passing within 5 feet of a secret or concealed door entitles you to a Search check to notice it as if you were actively looking for it																										CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	DESC:An elf who merely passes within 5 feet of a secret or concealed door is entitled to a Search check to notice it as if she were actively looking for it.
Notice Unusual Stonework		OUTPUTNAME:+2 species bonus on Search checks to notice unusual stonework, new construction, unsafe surfaces, ceilings, and the like. A dwarf who merely passes within 10 feet of such exceptional construction can, as a free action, make a Search check (DC 15) as though he were actively searching for such.	CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+2 species bonus on Search checks to notice unusual stonework, new construction, unsafe surfaces, ceilings, and the like. A dwarf who merely passes within 10 feet of such exceptional construction can, as a free action, make a Search check (DC 15) as though he were actively searching for such.
Potent Venom				OUTPUTNAME:Potent Venom bonus to save																																													CATEGORY:Special Ability	TYPE:RacialTrait				DESC:Potent Venom bonus to save +DC %1|PotentVenom																																										DEFINE:PotentVenom|0
Quarter Damage				OUTPUTNAME:1/4 damage from ballistic, piercing or slashing																																										CATEGORY:Special Ability	TYPE:RacialTrait				DESC:1/4 damage from ballistic, piercing or slashing
Skills at Night				OUTPUTNAME:+4 on Intimidate and Sense Motive during the night																																									CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+4 on Intimidate and Sense Motive during the night
Spot in Darkness				OUTPUTNAME:+8 Spot in dusk/darkness																																														CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+8 Spot in dusk/darkness
Spot in Daylight				OUTPUTNAME:+8 species bonus on Spot checks during daylight																																										CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+8 species bonus on Spot checks during daylight
Sunlight Damage				OUTPUTNAME:Direct sunlight causes 50 points damage per round																																									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Direct sunlight causes 50 points damage per round (Ex)
Tracking by Scent				OUTPUTNAME:+4 Survival checks when Tracking by Scent																																											CATEGORY:Special Ability	TYPE:RacialTrait				DESC:+4 Survival checks when Tracking by Scent

###Block: Creature Type and Subtype Traits
# Ability Name			Category of Ability		Visible	Special ABility																																									Description
Aquatic Traits			CATEGORY:Special Ability	DESC:Can move in water without making Swim checks, and cannot drown in water
Incorporeal Traits		CATEGORY:Special Ability	DESC:Can be harmed only by other incorporeal creatures/+1 or better weapons/magic	DESC:&nl;50%% chance to ignore any damage from a corporeal source	DESC:&nl;Can pass through solid objects at will	DESC:&nl;Attacks pass through armor	DESC:&nl;Always moves silently
Aberration Traits			CATEGORY:Special Ability	DESC:Aberrations eat, sleeps, and breathes
Animal Traits			CATEGORY:Special Ability	DESC:Animals eat, sleeps, and breathes
Fey Traits				CATEGORY:Special Ability	DESC:Fey eat, sleeps, and breathes
Giant Traits			CATEGORY:Special Ability	DESC:Giants eat, sleeps, and breathes
Humanoid Traits			CATEGORY:Special Ability	DESC:Humanoids eat, sleeps, and breathes
Magical Beast Traits		CATEGORY:Special Ability	DESC:Magical Beasts eat, sleeps, and breathes
Monstrous Humanoid Traits	CATEGORY:Special Ability	DESC:Monstrous Humanoids eat, sleeps, and breathes
Swarm Traits			CATEGORY:Special Ability	DESC:Immune to any spell or effect that targets a specific number of creatures, unless the swarm is susceptible to mind-affecting effects	SAB:-10 penalty on saving throws against spells or effects that affect an area, or double damage if no save
Shadowkind				CATEGORY:Special Ability	DESC:Shadowkind	SAB:Can only be resurrected within 1d4 hours after death|PRETYPE:1,Humanoid,Dragon																											DESC:Can only be resurrected within 1d4 hours after death|PRETYPE:1,Humanoid,Dragon

###Block: Negative Levels
# Ability Name	Category of Ability		Visible	Special ABility																							Define			Combat bonus				Save bonus							Bonus to skill																		Source Page
Negative Levels	CATEGORY:Special Ability	DESC:%1 negative level(s) (-%1 effective level(s) and loses access to %1 spell(s) from the highest spell level castable)|NegLevels	DEFINE:NegLevels|0	BONUS:COMBAT|TOHIT|-1*NegLevels	BONUS:SAVE|Fortitude,Reflex,Will|-1*NegLevels	BONUS:SKILL|TYPE=Strength,TYPE=Dexterity,TYPE=Constitution,TYPE=Intelligence,TYPE=Wisdom,TYPE=Charisma|-1*NegLevels	SOURCEPAGE:msrdspecialabilities

###Block: Standard Immunities
# Ability Name		Category of Ability		Type								Visible	Special ABility				Description
Immunity To Acid		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Acid (Ex)		DESC:You never take Acid damage
Immunity To Cold		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Cold (Ex)		DESC:You never take Cold damage
Immunity To Fire		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Fire (Ex)		DESC:You never take Fire damage
Immunity To Electricity	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Electricity (Ex)	DESC:You never take Electricity damage
Immunity To Sonic		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Sonic (Ex)		DESC:You never take Sonic damage

###Block: Other Immunities
# Ability Name							Category of Ability		Type								Visible	Special ABility																Description
Immunity To Ability Damage					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Ability Damage (Ex)
Immunity To Affects that Require Fortitude Saves	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to any affect that requires a fortitude save unless it affects objects or is harmless (Ex)
Immunity To Ballistic						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Ballistic (Ex)													DESC:You never take ballistic damage
Immunity To Bludgeoning						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Bludgeoning (Ex)													DESC:You never take bludgeoning damage
Immunity To Critical Hits					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Critical Hits (Ex)
Immunity To Disease						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Disease (Ex)
Immunity To Energy Drain					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Energy Drain (Ex)
Immunity To Feat							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Feat (Ex)
Immunity To Flanking						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Flanking (Ex)
Immunity To Force Effects					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Force Effects (Ex)
Immunity To Gaze Attacks					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Gaze Attacks (Ex)
Immunity To Hold							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Hold (Ex)														DESC:You are never effected by Hold effects
Immunity To Magic							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Magic (Ex)														DESC:You are never effected by magic
Immunity To Massive Damage					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Massive Damage (Ex)
Immunity To Mind-Affecting					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Mind-Affecting (Ex)													DESC:You are never subject to mind-affecting effects
Immunity To Mind-Influencing Effects			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Mind-Influencing Effects (Ex)
Immunity To Necromantic Effects				CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Necromantic Effects (Ex)
Immunity To Nonlethal Damage					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Nonlethal Damage (Ex)
Immunity To Paralysis						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Paralysis (Ex)
Immunity To Piercing						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Piercing (Ex)														DESC:You never take piercing damage
Immunity To Petrification					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Petrification (Ex)
Immunity To Poison						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Poison (Ex)														DESC:You never take poison damage
Immunity To Radiation						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Radiation (Ex)
Immunity To Slashing						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Slashing (Ex)														DESC:You never take slashing damage
Immunity To Sleep							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Sleep (Ex)
Immunity To Stunning						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Stunning (Ex)
Immunity To Subdual Damage					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to Subdual Damage (Ex)
Immunity To Visual Illusions					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	DESC:Immunity to visual illusions, and other attacks that rely on sight (Ex)

###Block: Standard Resistances
# Ability Name			Category of Ability		Visible	Define					Ability
Resistance To Acid		CATEGORY:Special Ability	VISIBLE:NO	DEFINE:AcidResistanceBonus|0		ABILITY:Special Ability|VIRTUAL|Resistance To Acid Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Acid,Vulnerability To Acid
Resistance To Cold		CATEGORY:Special Ability	VISIBLE:NO	DEFINE:ColdResistanceBonus|0		ABILITY:Special Ability|VIRTUAL|Resistance To Cold Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Cold,Vulnerability To Cold
Resistance To Fire		CATEGORY:Special Ability	VISIBLE:NO	DEFINE:FireResistanceBonus|0		ABILITY:Special Ability|VIRTUAL|Resistance To Fire Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Fire,Vulnerability To Fire
Resistance To Electricity	CATEGORY:Special Ability	VISIBLE:NO	DEFINE:ElectricityResistanceBonus|0	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Electricity,Vulnerability To Electricity
Resistance To Sonic		CATEGORY:Special Ability	VISIBLE:NO	DEFINE:SonicResistanceBonus|0		ABILITY:Special Ability|VIRTUAL|Resistance To Sonic Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Sonic,Vulnerability To Sonic

###Block: Resistances Output
# Ability Name				Output Name						Category of Ability		Type								Visible	Special ABility								Description
Resistance To Acid Output		OUTPUTNAME:Resistance To Acid			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance To Acid %1|AcidResistanceBonus			DESC:You may ignore %1 points of Acid damage each time you take Acid damage|AcidResistanceBonus
Resistance To Cold Output		OUTPUTNAME:Resistance To Cold			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance To Cold %1|ColdResistanceBonus			DESC:You may ignore %1 points of Cold damage each time you take Cold damage|ColdResistanceBonus
Resistance To Fire Output		OUTPUTNAME:Resistance To Fire			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance To Fire %1|FireResistanceBonus			DESC:You may ignore %1 points of Fire damage each time you take Fire damage|FireResistanceBonus
Resistance To Electricity Output	OUTPUTNAME:Resistance To Electricity	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance To Electricity %1|ElectricityResistanceBonus	DESC:You may ignore %1 points of Electricity damage each time you take Electricity damage|ElectricityResistanceBonus
Resistance To Sonic Output		OUTPUTNAME:Resistance To Sonic		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance To Sonic %1|SonicResistanceBonus			DESC:You may ignore %1 points of Sonic damage each time you take Sonic damage|SonicResistanceBonus

###Block: Other Resistances
# Ability Name				Category of Ability		Type								Visible	Special ABility
Resistance To Massive Damage		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance to Massive Damage
Resistance To Blows			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance to Blows
Resistance To Ballistic Damage	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance to Ballistic Damage
Resistance To Piercing Damage		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance to Piercing Damage
Resistance To Slashing Damage		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance to Slashing Damage
Resistance To Radiation			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	DESC:Resistance to Radiation

###Block: Standard Vulnerabilities
# Ability Name			Category of Ability		Type								Visible	Special ABility				Description
Vulnerability To Acid		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	DESC:Vulnerability To Acid		DESC:You take half again as much (+50%%) damage as normal from Acid, regardless of whether a saving throw is allowed, or if the save is a success or failure
Vulnerability To Cold		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	DESC:Vulnerability To Cold		DESC:You take half again as much (+50%%) damage as normal from Cold, regardless of whether a saving throw is allowed, or if the save is a success or failure
Vulnerability To Fire		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	DESC:Vulnerability To Fire		DESC:You take half again as much (+50%%) damage as normal from Fire, regardless of whether a saving throw is allowed, or if the save is a success or failure
Vulnerability To Electricity	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	DESC:Vulnerability To Electricity	DESC:You take half again as much (+50%%) damage as normal from Electricity, regardless of whether a saving throw is allowed, or if the save is a success or failure
Vulnerability To Sonic		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	DESC:Vulnerability To Sonic		DESC:You take half again as much (+50%%) damage as normal from Sonic, regardless of whether a saving throw is allowed, or if the save is a success or failure

###Block: Other Vulnerabilities
# Ability Name			Category of Ability		Type								Visible	Special ABility
Vulnerability To Sunlight	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	DESC:Vulnerability To Sunlight (Ex)
Vulnerability To Fear		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	DESC:Vulnerability To Fear (Ex)

###Block: Dragon Abilities
# Ability Name					Category of Ability		Type						Visible	Special ABility																																			Define
Breath Weapon ~ Cone of Acid			CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Cone of Acid (%1 ft long, %2d%3 pts of damage, Ref save (DC %4) for half)|BreathWeaponRange|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC										DEFINE:BreathWeaponRange|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0
Breath Weapon ~ Cone of Cold			CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Cone of Cold (%1 ft long, %2d%3 pts of damage, Ref save (DC %4) for half)|BreathWeaponRange|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC										DEFINE:BreathWeaponRange|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0
Breath Weapon ~ Cone of Fire			CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Cone of Fire (%1 ft long, %2d%3 pts of damage, Ref save (DC %4) for half)|BreathWeaponRange|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC										DEFINE:BreathWeaponRange|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0
Breath Weapon ~ Cone of Paralysis Gas	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Cone of Paralysis Gas (%1 ft long, Fort save (DC %2) or be paralyzed for %3d%4+%5 rounds)|BreathWeaponGasRange|BreathWeaponGasDC|BreathWeaponGasDice|BreathWeaponGasDamageDie|BreathWeaponGasBonusDamage	DEFINE:BreathWeaponGasRange|0	DEFINE:BreathWeaponGasDice|0	DEFINE:BreathWeaponGasDamageDie|0	DEFINE:BreathWeaponGasDC|0	DEFINE:BreathWeaponGasBonusDamage|0
Breath Weapon ~ Cone of Repulsion Gas	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Cone of Repulsion Gas (%1 ft long, Will save (DC %2) or move away for %3d%4+%5 rounds)|BreathWeaponGasRange|BreathWeaponGasDC|BreathWeaponGasDice|BreathWeaponGasDamageDie|BreathWeaponGasBonusDamage	DEFINE:BreathWeaponGasRange|0	DEFINE:BreathWeaponGasDice|0	DEFINE:BreathWeaponGasDamageDie|0	DEFINE:BreathWeaponGasDC|0	DEFINE:BreathWeaponGasBonusDamage|0
Breath Weapon ~ Cone of Sleep Gas		CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Cone of Sleep Gas (%1 ft long, Will save (DC %2) or fall asleep for %3d%4+%5 rounds)|BreathWeaponGasRange|BreathWeaponGasDC|BreathWeaponGasDice|BreathWeaponGasDamageDie|BreathWeaponGasBonusDamage		DEFINE:BreathWeaponGasRange|0	DEFINE:BreathWeaponGasDice|0	DEFINE:BreathWeaponGasDamageDie|0	DEFINE:BreathWeaponGasDC|0	DEFINE:BreathWeaponGasBonusDamage|0
Breath Weapon ~ Cone of Slow Gas		CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Cone of Slow Gas (%1 ft long, Fort save (DC %2) or be slowed for %3d%4+%5 rounds)|BreathWeaponGasRange|BreathWeaponGasDC|BreathWeaponGasDice|BreathWeaponGasDamageDie|BreathWeaponGasBonusDamage		DEFINE:BreathWeaponGasRange|0	DEFINE:BreathWeaponGasDice|0	DEFINE:BreathWeaponGasDamageDie|0	DEFINE:BreathWeaponGasDC|0	DEFINE:BreathWeaponGasBonusDamage|0
Breath Weapon ~ Cone of Weakening Gas	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Cone of Weakening Gas (%1 ft long, Fort save (DC %2) or take %3 points of temporary Strength damage)|BreathWeaponGasRange|BreathWeaponGasDC|BreathWeaponStrengthDamage						DEFINE:BreathWeaponGasRange|0	DEFINE:BreathWeaponGasDC|0	DEFINE:BreathWeaponStrengthDamage|0
Breath Weapon ~ Line of Acid			CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Line of Acid (%1 ft long, %2d%3 pts of damage, Ref save (DC %4) for half)|BreathWeaponRange|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC										DEFINE:BreathWeaponRange|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0
Breath Weapon ~ Line of Electricity		CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Line of Electricity (%1 ft long, %2d%3 pts of damage, Ref save (DC %4) for half)|BreathWeaponRange|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC									DEFINE:BreathWeaponRange|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0

Tail Sweep						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Tail Sweep (Ex) (%1 ft radius, %2d%3+%4, Ref Save (DC %5) for half)|TailSweepRadius|TailSweepDice|TailSweepDamageDie|TailSweepBonusDamage|TailSweepDC													DEFINE:TailSweepRadius|0	DEFINE:TailSweepDice|0	DEFINE:TailSweepDamageDie|0	DEFINE:TailSweepBonusDamage|0	DEFINE:TailSweepDC|0
Fear Aura						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fear Aura %1 ft (Ex) (Will save DC %2)|FearAuraRange|FearAuraDC																											DEFINE:FearAuraRange|0	DEFINE:FearAuraDC|0
Crush							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Crush %1d%2+%3 (Ex) (Ref save DC %4)|CrushDice|CrushDamageDie|CrushBonusDamage|CrushDC																							DEFINE:CrushDice|0	DEFINE:CrushDamageDie|0	DEFINE:CrushBonusDamage|0	DEFINE:CrushDC|0

###Block: Specific Creature Abilities
# Ability Name				Output Name																			Category of Ability		Type						Visible	Special ABility																											Define							Modify VAR
Alien Probe Shock				OUTPUTNAME:Shock																		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Shock (Ex) - +2d6 points of electricity damage on successful ranged touch attack
Alien Probe Speed				OUTPUTNAME:Supersonic Speed																CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Supersonic Speed (Ex) - can fly at 4000 ft for up to 6 hours/day
Blood Fiend Breath Weapon		OUTPUTNAME:Breath Weapon																CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - every 1d4 rounds, 15 ft cone of fire, 2d6 points of fire damage, Ref save (DC %1) for half|10+HD/2+CON
Chemical Golem Breath Weapon		OUTPUTNAME:Breath Weapon																CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Ex) - every 1d4 rounds, 30 ft cone of acid and toxic fumes, 5d6 points of acid damage and 1d4 ponits of Con damage, Fort save (DC %1) negates|10+(HD/2)
Mothfolk Fear Aura			OUTPUTNAME:Fear Aura																	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Fear Aura (Su) - Will save (DC %1) or be affected by a fear spell|10+HD/2+CHA
