
###Block: 
Weapon Trick			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.8	DESC:Choose one weapon trick option (one-handed weapon, polearm, ranged, two-handed weapon, two-weapon, or weapon and shield). You can perform weapon tricks in combat when armed appropriately for that option.	PRETEXT:Prerequisite: Base attack bonus +1.	PRETOTALAB:1	BENEFIT: You can use any weapon tricks relating to the chosen weapon option if you meet the trick's prerequisites and are proficient with any weapon or shield that you use as part of the trick. Special: You can gain Weapon Trick multiple times. Each time you take the feat, it applies to a new weapon trick option.
Divine Fighting Technique	TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.10	DESC:You have trained in the fighting technique of a deity.	PRETEXT:Prerequisite: Same alignment as chosen deity.	BENEFIT: Select a deity. You can use that deity's fighting technique and receive any benefit for which you qualify, as described in the Divine Fighting Techniques section below. Special: You can gain this feat multiple times. Each time you take this feat, it applies to a new deity's divine fighting technique.
Marksman's Utility	TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.21		DESC:Your mastery of ranged weapons enables you to use them to perform deeds that you would normally need a firearm to accomplish.		PRETEXT:Prerequisites: Base attack bonus +6, weapon training class feature with a ranged weapon.		BENEFIT:You can perform the utility shotUC gunslinger deed with an appropriate ranged weapon with which you are proficient. If you have both the utility shot deed and this feat, you gain a +4 bonus on attack rolls made as part of a utility shot and you can use the utility shot deed while you have no grit points. Special: A gunslingerUC can ignore the weapon training class feature prerequisite of Marksman's Deed.
Ricochet Toss		TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.21		DESC:You are able to angle your thrown weapon attacks in such a way that the weapon ricochets and immediately returns to you.		PRETEXT:Prerequisites: Quick Draw, base attack bonus +6, weapon training class feature with a ranged weapon.		BENEFIT:When you make a ranged attack with an appropriate thrown weapon, the weapon returns to your hand immediately after the attack is resolved. This ability does not allow bullets, thrown ammunition such as darts or shuriken, or thrown splash weapons to return to you. Improvised thrown weapons don't return to you unless you have the Throw Anything feat.

###Block: Melee Weapon Mastery
Cut from the Air		TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.22		DESC:Your powerful and swift attacks can slice ranged attacks out of the air.		PRETEXT:Prerequisites: Str 13, Power Attack, base attack bonus +5, weapon training class feature with a melee weapon.		BENEFIT:When a ranged attack is made against you or a target adjacent to you, you can cut the weapon (or ammunition) out of the air, def lecting the attack so the target takes no damage. As an attack of opportunity, make a melee attack roll at your highest bonus. If the result is greater than the attack roll total of the ranged attack, the attack is def lected. You must be aware of the attack and not f lat-footed. Unusually massive ranged weapons (such as boulders or ballista bolts) and ranged attacks generated by spell effects cannot be def lected.
Devastating Assault	TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.22		DESC:You can hammer at a foe to smash through its defenses.		PRETEXT:Prerequisites: Base attack bonus +9, weapon training class feature with a melee weapon.		BENEFIT:As a full-round action, you can bat aside all of your foe's defenses to ensure you make a single, especially effective melee attack. You make a single melee attack using an appropriate weapon against a single target, but make as many attack rolls as you could in a full-attack action using that weapon. You make the attack rolls in order from highest bonus to lowest, as if you were making a full attack. If any of the attack rolls hit the target, your single attack is considered to have hit and you roll damage normally. If one or more rolls are critical threats, you confirm the critical hit only once using your highest base attack bonus. If you hit with two or more attacks, the target must succeed at a Fortitude save (DC = 10 + 1/2 your base attack bonus + your Strength modifier) or suffer a condition for 1d4 rounds. If at least two attacks hit, you can choose from deafened, entangled, or shaken. If at least three attacks hit, you can also choose from blinded or staggered. If at least four attacks hit, you can also choose the dazed condition. Once you have forced a foe to attempt a saving throw to avoid suffering a condition via this feat, you cannot attempt to inf lict that condition on it again with Devastating Assault for 24 hours.
Difficult Swings		TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.22		DESC:You can force foes to move cautiously when near you.		PRETEXT:Prerequisites: Base attack bonus +5, weapon training class feature with a melee weapon.		BENEFIT:When you make a full attack with an appropriate melee weapon, you can force creatures to treat squares adjacent to you as difficult terrain until the beginning of your next turn. You can choose to allow any creature you are aware of to ignore the difficult terrain you effectively create with this feat.
Retributive Kick		TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.22		DESC:You can use your weapon attacks to set up a foe for an unarmed strike.		PRETEXT:Prerequisites: Improved Unarmed Strike, base attack bonus +5, weapon training class feature with a melee weapon.		BENEFIT:When you make a full attack with an appropriate melee weapon and your first attack misses or is blocked, def lected, parried, or otherwise caused to not hit the target, you can immediately make an unarmed attack against the same target with the same attack bonus. You then cannot make any more attacks as part of that full attack.
Smash from the Air	TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.22		DESC:Your powerful and swift attacks can slice ranged attacks out of the air.		PRETEXT:Prerequisites: Str 13, Cut from the Air, Power Attack, base attack bonus +9, weapon training class feature with a melee weapon.		BENEFIT:You can use Cut from the Air against unusually massive ranged weapons (such as boulders or ballista bolts) and ranged attacks generated by spell effects. Spell effects that do not require attack rolls cannot be def lected.
Spellcut			TYPE:General			CATEGORY:FEAT	SOURCEPAGE:p.22		DESC:You can weaken waves of harmful magic energy with weapon blows.		PRETEXT:Prerequisites: Str 13, Cut from the Air, Power Attack, base attack bonus +9, Spellcraft 1 rank, weapon training class feature with a melee weapon.		BENEFIT:Once per round, you can use your base attack bonus in place of your total saving throw bonus for a spell, spell-like ability, or supernatural ability that either allows a Ref lex save or is not a melee attack and targets only you.
Targeted Blow		TYPE:General			CATEGORY:FEAT	SOURCEPAGE:p.22		DESC:You can inf lict special injuries on your foes by attacking specific areas.		PRETEXT:Prerequisites: Str 13, Power Attack, base attack bonus +9, weapon training class feature with a melee weapon.		BENEFIT:As a standard action, you can make a single melee attack with an appropriate weapon while targeting a specific body part of your foe. On a successful attack, you affect the target as if you had used the targetingUC gunslinger deed. You can use this ability two times per day, plus one additional time per day when your base attack bonus reaches +10, +15, and +20.
Weapon Material Mastery	TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.23		DESC:You can perform impressive deeds with weapons made from peculiar materials.		PRETEXT:Prerequisites: Base attack bonus +7, weapon training class feature with a melee weapon.		BENEFIT:While wielding an appropriate melee weapon, you gain the following special abilities, based on which special material the weapon is primarily constructed of (if any). Adamantine: Your critical hits ignore the target's DR. Alchemical Silver, Mithral, or Silversheen: When you successfully deal damage to a creature that is under the effects of an illusion or polymorph effect (such as disguise self or the change shape special ability), its wound fizzles and boils loudly, revealing the presence of such effects. If the effect is a racial ability, anyone that sees you attack the creature gains a +4 bonus on Knowledge checks to identify the creature. In addition, you immediately receive a Will save to disbelieve any illusion effect on the creature that allows disbelief. Cold Iron: When you score a critical hit against a target benefiting from spells that grant temporary hit points or bonuses to AC, ability scores, attack rolls, damage rolls, or saving throws, you must immediately attempt a special dispel check (1d20 + your base attack bonus) as a targeted dispel as per the dispel magic spell, but targeting only those spells. Once a creature has been the target of this effect, you can't affect it in this way again for 24 hours. Elysium BronzeUE: When you damage a magical beast or monstrous humanoid, the creature must succeed at a Fortitude save (DC = 10 + 1/2 your base attack bonus + your Strength modifier) or lose access to a randomly selected supernatural or spell-like ability (if any). Once a creature has been the target of this effect, you can't affect it in this way again for 24 hours. Fire-Forged SteelUE or Frost-Forged SteelUE: When your weapon is exposed to 10 points or more of energy damage (fire for fire-forged steel or cold for frost-forged steel), the weapon adds +1d6 points of energy damage to its attacks instead of +1d4 points of energy damage. Additionally, the duration of this effect increases by 1 round for every 5 points of the appropriate type of energy damage to which the weapon is exposed beyond 10. GreenwoodUE or Living SteelUE: When you score a critical hit, the target must succeed at a Fortitude save (DC = 10 + 1/2 your base attack bonus + your Strength modifier) or lose its fast healing and regeneration (if any) for 1d3 rounds. ViridiumUE: You add your Strength modifier and the weapon's enhancement bonus (if any) to the Fortitude DC to determine if a foe struck by the weapon contracts leprosy. WhipwoodUE: The weapon gains the trip special weapon feature, and you gain a +2 bonus on trip combat maneuvers made with it. WyrootUE: Once per turn, you can absorb life points from the weapon as a free action instead of a swift action. You can never absorb life points from wyroot weapons or equipment more than once per turn.
Weapon Style Mastery	TYPE:Style.Weapon Mastery	CATEGORY:FEAT	SOURCEPAGE:p.23		DESC:You can combine multiple fighting styles together.		PRETEXT:Prerequisites: Any two style feats from different styles, base attack bonus +6, weapon training class feature with a melee weapon.		BENEFIT:Choose one weapon style (a style feat that lists Weapon Focus as a prerequisite) that you have. You can have the chosen style and a second style active at once. Starting a stance provided by a style feat is still a swift action, but you can assume both the chosen weapon style's stance and another style's stance simultaneously using this action. This ability doesn't stack with other abilities that allow you to have multiple styles active at the same time. Normal: You can have only one style active at once.

###Block: Item Mastery Feats
Compulsion Mastery	TYPE:Item Mastery			CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can gain inf luence over the minds of others using enchantment magic items.		PRETEXT:Prerequisites: Use Magic Device 3 ranks, base Fortitude save bonus +6.		BENEFIT:You can cast suggestion as per the spell by using an item that has an enchantment spell of 3rd level or higher in its construction requirements. You can use this feat once per day, plus an additional time per day at base Fortitude save bonus +9 and +12.
Curse Mastery		TYPE:Item Mastery			CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can coax curses from necromantic magic items.		PRETEXT:Prerequisites: Use Magic Device 3 ranks, base Fortitude save bonus +6.		BENEFIT:You can cause an item that has a necromancy spell of 3rd level or higher in its construction requirements to cast bestow curse. You can use this feat once per day, plus an additional time per day at base Fortitude save bonus +9 and +12.
Dispel Mastery		TYPE:Item Mastery			CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can dispel magic with abjuration magic items.		PRETEXT:Prerequisites: Use Magic Device 3 ranks, base Fortitude save bonus +6.		BENEFIT:You can cause an item that has an abjuration spell of 2nd level or higher in its construction requirements to cast dispel magic, but only to perform a targeted dispel. You can use this feat once per day, plus an additional time per day at base Fortitude save bonus +9 and +12.
Energy Mastery		TYPE:Item Mastery			CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can project energy from evocation magic items.		PRETEXT:Prerequisites: Use Magic Device 1 rank, base Fortitude save bonus +4.		BENEFIT:You can cause an item that has a 1st level or higher evocation spell with the acid, cold, electricity, or fire descriptor in its construction requirements to cast burning hands. The spell has the energy descriptor from the appropriate requirement spell and deals that type of damage instead of fire damage. You can use this feat once per day, plus an additional time per day at base Fortitude save bonus +6, +8, +10, and +12. You can spend two daily uses of this feat to cast lighting bolt this way if the spell listed in the item's construction requirements is at least 3rd level (still dealing a type of energy damage appropriate to that spell).
Flight Mastery		TYPE:Item Mastery			CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can coax the magic of f light from transmutation magic items.		PRETEXT:Prerequisites: Use Magic Device 3 ranks, base Fortitude save bonus +6.		BENEFIT:You can cause an item that has a transmutation spell of 2nd level or higher listed in its construction requirements to cast f ly. If the item is a suit of armor you are wearing, you can use the item's enhancement bonus in place of your Dexterity modifier on Fly skill checks while the spell lasts. You can use this feat once per day, plus an additional time per day at base Fortitude save bonus +9 and +12.
Illusion Mastery		TYPE:Item Mastery			CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can weave figments with illusion magic items.		PRETEXT:Prerequisites: Use Magic Device 2 ranks, base Fortitude save bonus +4.		BENEFIT:You can cause an item that has an illusion spell of 1st level or higher in its construction requirements to cast minor image. You can use this feat once per day, plus an additional time per day at base Fortitude save bonus +6, +8, +10, and +12.
Telekinetic Mastery	TYPE:Combat.Item Mastery	CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can coax telekinesis from transmutation magic items.		PRETEXT:Prerequisites: Use Magic Device 5 ranks, base Fortitude save bonus +7.		BENEFIT:You can cause an item that has a transmutation spell of 4th level or higher in its construction requirements to cast telekinesis. You can use this feat once per day, plus an additional time per day at base Fortitude save bonus +9 and +11.
Teleportation Mastery	TYPE:Item Mastery			CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can coax teleportation from conjuration magic items.		PRETEXT:Prerequisites: Use Magic Device 4 ranks, base Fortitude save bonus +6.		BENEFIT:You can cause an item that has a conjuration spell of 3rd level or higher in its construction requirements to cast dimension door. You can use this ability once per day, plus an additional time per day at base Fortitude save bonus +9 and +12.
Vision Mastery		TYPE:Item Mastery			CATEGORY:FEAT	SOURCEPAGE:p.26		DESC:You can pierce invisibility with divination magic items.		PRETEXT:Prerequisites: Use Magic Device 2 ranks, base Fortitude save bonus +4.		BENEFIT:You can cause an item that has a divination spell of 1st level or higher in its construction requirements to cast either darkvision or see invisibility. You can use this feat once per day, plus an additional time per day at base Fortitude save bonus +6, +8, +10, and +12.


