#
# Current Ver: $Revision$
# Last Editor: $Author$
# Last Edited: $Date$
#
# Rules for migrating characters from old data to new.
#

# Examples
# SOURCE:JDTEST	NEWKEY:Paizo - Pathfinder Roleplaying Game Core Rulebook	MAXVER:6.0.0	MAXDEVVER:6.1.1
# EQUIPMENT:JDTEST	NEWKEY:Outfit (Explorer's)	MAXVER:6.0.01	MAXDEVVER:6.1.2
#EQUIPMENT:Kasari Gusoku		NEWKEY:Kusari Gusoku	MAXVER:6.1.8
#ABILITY:Archetype|Fighter Archetype ~ Aldori Sworldlord	NEWKEY:Fighter Archetype ~ Aldori Swordlord	MAXVER:6.00.01	MAXDEVVER:6.01.08

	
#ABILITY:Special Ability|Barbarian Fast Movement	NEWKEY:Barbarian ~ Fast Movement	MAXVER:6.4.0

#ABILITY:Special Ability|Barbarian DR	NEWKEY:Barbarian ~ Damage Reduction	MAXVER:6.4.0

#35e Game MODE




































### 6.0
ABILITY:Special Ability|Favored Bonus__Humanoid_Elf				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Elf)		
ABILITY:Special Ability|Favored Bonus__Humanoid_Goblinoid			MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Goblinoid)	
ABILITY:Special Ability|Favored Bonus__Humanoid_Gnoll				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Gnoll)	
ABILITY:Special Ability|Favored Bonus__Humanoid_Gnome				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Gnome)	
ABILITY:Special Ability|Favored Bonus__Humanoid_Halfling			MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Halfling)	
ABILITY:Special Ability|Favored Bonus__Humanoid_Human				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Human)	
ABILITY:Special Ability|Favored Bonus__Humanoid_Orc				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Orc)		
ABILITY:Special Ability|Favored Bonus__Humanoid_Reptilian			MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Reptilian)	
ABILITY:Special Ability|Favored Bonus__Magical Beast				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Magical Beast		
ABILITY:Special Ability|Favored Bonus__Monstrous Humanoid			MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Monstrous Humanoid	
ABILITY:Special Ability|Favored Bonus__Ooze					MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Ooze			
ABILITY:Special Ability|Favored Bonus__Outsider_Air				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Air)		
ABILITY:Special Ability|Favored Bonus__Outsider_Earth				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Earth)	
ABILITY:Special Ability|Favored Bonus__Outsider_Fire				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Fire)		
ABILITY:Special Ability|Favored Bonus__Outsider_Water				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Water)	
ABILITY:Special Ability|Favored Bonus__Outsider_Lawful			MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Lawful)	
ABILITY:Special Ability|Favored Bonus__Outsider_Chaotic			MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Chaotic)	
ABILITY:Special Ability|Favored Bonus__Outsider_Good				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Good)		
ABILITY:Special Ability|Favored Bonus__Outsider_Evil				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Evil)		
ABILITY:Special Ability|Favored Bonus__Outsider_Native			MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Outsider (Native)	
ABILITY:Special Ability|Favored Bonus__Plant					MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Plant			
ABILITY:Special Ability|Favored Bonus__Undead					MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Undead			
ABILITY:Special Ability|Favored Bonus__Vermin					MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Vermin			
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Rogue ~ Weapon and Armor Proficiency		
ABILITY:Special Ability|Sneak Attack			MAXVER:6.4.00	NEWKEY:Rogue ~ Sneak Attack				
ABILITY:Special Ability|Trapfinding				MAXVER:6.4.00	NEWKEY:Rogue ~ Trapfinding					
ABILITY:Special Ability|Evasion				MAXVER:6.4.00	NEWKEY:Rogue ~ Evasion					
ABILITY:Special Ability|Trap Sense				MAXVER:6.4.00	NEWKEY:Rogue ~ Trap Sense					
ABILITY:Special Ability|Uncanny Dodge			MAXVER:6.4.00	NEWKEY:Rogue ~ Uncanny Dodge				
ABILITY:Special Ability|Improved Uncanny Dodge		MAXVER:6.4.00	NEWKEY:Rogue ~ Improved Uncanny Dodge			
ABILITY:Special Ability|Special Abilities			MAXVER:6.4.00	NEWKEY:Rogue ~ Special Abilities				
ABILITY:Special Ability|Crippling Strike			MAXVER:6.4.00	NEWKEY:Rogue Special Ability ~ Crippling Strike	
ABILITY:Special Ability|Defensive Roll			MAXVER:6.4.00	NEWKEY:Rogue Special Ability ~ Defensive Roll	
ABILITY:Special Ability|Improved Evasion			MAXVER:6.4.00	NEWKEY:Rogue Special Ability ~ Improved Evasion	
ABILITY:Special Ability|Opportunist				MAXVER:6.4.00	NEWKEY:Rogue Special Ability ~ Opportunist		
ABILITY:Special Ability|Skill Mastery			MAXVER:6.4.00	NEWKEY:Rogue Special Ability ~ Skill Mastery		
ABILITY:Special Ability|Slippery Mind			MAXVER:6.4.00	NEWKEY:Rogue Special Ability ~ Slippery Mind		
ABILITY:Special Ability|Feat					MAXVER:6.4.00	NEWKEY:Rogue Special Ability ~ Feat			
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Sorcerer ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Spells				MAXVER:6.4.00	NEWKEY:Sorcerer ~ Spells					
ABILITY:Special Ability|Familiar				MAXVER:6.4.00	NEWKEY:Sorcerer ~ Familiar					
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Wizard ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Spells				MAXVER:6.4.00	NEWKEY:Wizard ~ Spells				
ABILITY:Special Ability|Bonus Languages			MAXVER:6.4.00	NEWKEY:Wizard ~ Bonus Languages			
ABILITY:Special Ability|Familiar				MAXVER:6.4.00	NEWKEY:Wizard ~ Familiar				
ABILITY:Special Ability|Scribe Scroll			MAXVER:6.4.00	NEWKEY:Wizard ~ Scribe Scroll			
ABILITY:Special Ability|Bonus Feats				MAXVER:6.4.00	NEWKEY:Wizard ~ Bonus Feats			
ABILITY:Special Ability|Spellbooks				MAXVER:6.4.00	NEWKEY:Wizard ~ Spellbooks				
ABILITY:Special Ability|Alertness					MAXVER:6.4.00	NEWKEY:Familiar ~ Alertness				
ABILITY:Special Ability|Improved Evasion				MAXVER:6.4.00	NEWKEY:Familiar ~ Improved Evasion			
ABILITY:Special Ability|Share Spells				MAXVER:6.4.00	NEWKEY:Familiar ~ Share Spells				
ABILITY:Special Ability|Empathic Link				MAXVER:6.4.00	NEWKEY:Familiar ~ Empathic Link				
ABILITY:Special Ability|Deliver Touch Spells			MAXVER:6.4.00	NEWKEY:Familiar ~ Deliver Touch Spells			
ABILITY:Special Ability|Speak with Master				MAXVER:6.4.00	NEWKEY:Familiar ~ Speak with Master			
ABILITY:Special Ability|Speak with Animals of Its Kind	MAXVER:6.4.00	NEWKEY:Familiar ~ Speak with Animals of Its Kind	
ABILITY:Special Ability|Spell Resistance				MAXVER:6.4.00	NEWKEY:Familiar ~ Spell Resistance			
ABILITY:Special Ability|Scry on Familiar				MAXVER:6.4.00	NEWKEY:Familiar ~ Scry on Familiar			
#ABILITY:Special Ability|Weapon and Armor Proficiency		MAXVER:6.4.00	NEWKEY:Adept ~ Weapon and Armor Proficiency		
ABILITY:Special Ability|Spells					MAXVER:6.4.00	NEWKEY:Adept ~ Spells					
ABILITY:Special Ability|Summon Familiar				MAXVER:6.4.00	NEWKEY:Adept ~ Summon Familiar				
#ABILITY:Special Ability|Weapon and Armor Proficiency		MAXVER:6.4.00	NEWKEY:Aristocrat ~ Weapon and Armor Proficiency	
#ABILITY:Special Ability|Weapon and Armor Proficiency		MAXVER:6.4.00	NEWKEY:Commoner ~ Weapon and Armor Proficiency	
#ABILITY:Special Ability|Weapon and Armor Proficiency		MAXVER:6.4.00	NEWKEY:Expert ~ Weapon and Armor Proficiency		
#ABILITY:Special Ability|Weapon and Armor Proficiency		MAXVER:6.4.00	NEWKEY:Warrior ~ Weapon and Armor Proficiency	
#ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Arcane Archer ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Enhance Arrow			MAXVER:6.4.00	NEWKEY:Arcane Archer ~ Enhance Arrow				
ABILITY:Special Ability|Imbue Arrow				MAXVER:6.4.00	NEWKEY:Arcane Archer ~ Imbue Arrow				
ABILITY:Special Ability|Seeker Arrow			MAXVER:6.4.00	NEWKEY:Arcane Archer ~ Seeker Arrow				
ABILITY:Special Ability|Phase Arrow				MAXVER:6.4.00	NEWKEY:Arcane Archer ~ Phase Arrow				
ABILITY:Special Ability|Hail of Arrows			MAXVER:6.4.00	NEWKEY:Arcane Archer ~ Hail of Arrows				
ABILITY:Special Ability|Arrow of Death			MAXVER:6.4.00	NEWKEY:Arcane Archer ~ Arrow of Death				
ABILITY:Special Ability|Arcane Fire				MAXVER:6.4.00	NEWKEY:High Arcana ~ Arcane Fire				
ABILITY:Special Ability|Arcane Reach			MAXVER:6.4.00	NEWKEY:High Arcana ~ Arcane Reach			
ABILITY:Special Ability|Mastery of Counterspelling	MAXVER:6.4.00	NEWKEY:High Arcana ~ Mastery of Counterspelling	
ABILITY:Special Ability|Mastery of Elements		MAXVER:6.4.00	NEWKEY:High Arcana ~ Mastery of Elements		
ABILITY:Special Ability|Mastery of Shaping		MAXVER:6.4.00	NEWKEY:High Arcana ~ Mastery of Shaping		
ABILITY:Special Ability|Spell Power				MAXVER:6.4.00	NEWKEY:High Arcana ~ Spell Power				
ABILITY:Special Ability|Spell-Like Ability		MAXVER:6.4.00	NEWKEY:High Arcana ~ Spell-Like Ability		
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Assassin ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Save Bonus against Poison	MAXVER:6.4.00	NEWKEY:Assassin ~ Save Bonus against Poison		
ABILITY:Special Ability|Hide in Plain Sight		MAXVER:6.4.00	NEWKEY:Assassin ~ Hide in Plain Sight			
ABILITY:Special Ability|Death Attack			MAXVER:6.4.00	NEWKEY:Assassin ~ Death Attack				
ABILITY:Special Ability|Poison Use				MAXVER:6.4.00	NEWKEY:Assassin ~ Poison Use				
ABILITY:Special Ability|Sneak Attack			MAXVER:6.4.00	NEWKEY:Assassin ~ Sneak Attack				
ABILITY:Special Ability|Spells				MAXVER:6.4.00	NEWKEY:Assassin ~ Spells					
ABILITY:Special Ability|Uncanny Dodge			MAXVER:6.4.00	NEWKEY:Assassin ~ Uncanny Dodge				
ABILITY:Special Ability|Improved Uncanny Dodge		MAXVER:6.4.00	NEWKEY:Assassin ~ Improved Uncanny Dodge		
ABILITY:Special Ability|Weapon and Armor Proficiency						MAXVER:6.4.00	NEWKEY:Blackguard ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Aura of Evil								MAXVER:6.4.00	NEWKEY:Blackguard ~ Aura of Evil				
ABILITY:Special Ability|Detect Good					MAXVER:6.4.00	NEWKEY:Blackguard ~ Detect Good				
ABILITY:Special Ability|Poison Use									MAXVER:6.4.00	NEWKEY:Blackguard ~ Poison Use				
ABILITY:Special Ability|Dark Blessing				MAXVER:6.4.00	NEWKEY:Blackguard ~ Dark Blessing			
ABILITY:Special Ability|Spells									MAXVER:6.4.00	NEWKEY:Blackguard ~ Spells					
ABILITY:Special Ability|Smite Good									MAXVER:6.4.00	NEWKEY:Blackguard ~ Smite Good				
ABILITY:Special Ability|Aura of Despair				MAXVER:6.4.00	NEWKEY:Blackguard ~ Aura of Despair			
ABILITY:Special Ability|Command Undead								MAXVER:6.4.00	NEWKEY:Blackguard ~ Command Undead			
ABILITY:Special Ability|Sneak Attack								MAXVER:6.4.00	NEWKEY:Blackguard ~ Sneak Attack				
ABILITY:Special Ability|Fiendish Summoning			MAXVER:6.4.00	NEWKEY:Blackguard ~ Fiendish Summoning			
ABILITY:Special Ability|Undead Companion								MAXVER:6.4.00	NEWKEY:Blackguard ~ Undead Companion			
ABILITY:Special Ability|Fiendish Servant								MAXVER:6.4.00	NEWKEY:Blackguard ~ Fiendish Servant			
ABILITY:Special Ability|Bonus Spell Level 1	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 1
ABILITY:Special Ability|Bonus Spell Level 2	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 2
ABILITY:Special Ability|Bonus Spell Level 3	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 3
ABILITY:Special Ability|Bonus Spell Level 4	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 4
ABILITY:Special Ability|Bonus Spell Level 5	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 5
ABILITY:Special Ability|Bonus Spell Level 6	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 6
ABILITY:Special Ability|Bonus Spell Level 7	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 7
ABILITY:Special Ability|Bonus Spell Level 8	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 8
ABILITY:Special Ability|Bonus Spell Level 9	MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spell LVL 9
ABILITY:Special Ability|Wings									MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Wings					
ABILITY:Special Ability|Natural Armor Increase						MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Natural Armor Increase		
ABILITY:Special Ability|Claws and Bite							MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Claws and Bite			
ABILITY:Special Ability|Blindsense								MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Blindsense				
ABILITY:Special Ability|Dragon Apotheosis							MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Dragon Apotheosis			
ABILITY:Special Ability|Weapon and Armor Proficiency					MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Bonus Spells							MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Bonus Spells				
ABILITY:Special Ability|Ability Boost							MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Ability Boost
ABILITY:Special Ability|Breath Weapon		MAXVER:6.4.00	NEWKEY:Dragon Disciple ~ Breath Weapon	
#ABILITY:Special Ability|DD~Line of Acid			MAXVER:6.4.00	NEWKEY:
#ABILITY:Special Ability|DD~Line of Lightning		MAXVER:6.4.00	NEWKEY:
#ABILITY:Special Ability|DD~Line of Fire			MAXVER:6.4.00	NEWKEY:
#ABILITY:Special Ability|DD~Cone of Gas			MAXVER:6.4.00	NEWKEY:
#ABILITY:Special Ability|DD~Cone of Fire			MAXVER:6.4.00	NEWKEY:
#ABILITY:Special Ability|DD~Cone of Cold			MAXVER:6.4.00	NEWKEY:
ABILITY:Special Ability|Weapon and Armor Proficiency				MAXVER:6.4.00	NEWKEY:Duelist ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Canny Defense	MAXVER:6.4.00	NEWKEY:Duelist ~ Canny Defense				
ABILITY:Special Ability|Improved Reaction	MAXVER:6.4.00	NEWKEY:Duelist ~ Improved Reaction			
ABILITY:Special Ability|Enhanced Mobility	MAXVER:6.4.00	NEWKEY:Duelist ~ Enhanced Mobility			
ABILITY:Special Ability|Grace			MAXVER:6.4.00	NEWKEY:Duelist ~ Grace					
ABILITY:Special Ability|Precise Strike	MAXVER:6.4.00	NEWKEY:Duelist ~ Precise Strike				
ABILITY:Special Ability|Acrobatic Charge	MAXVER:6.4.00	NEWKEY:Duelist ~ Acrobatic Charge			
ABILITY:Special Ability|Elaborate Parry	MAXVER:6.4.00	NEWKEY:Duelist ~ Elaborate Parry				
ABILITY:Special Ability|Deflect Arrows						MAXVER:6.4.00	NEWKEY:Duelist ~ Deflect Arrows				
ABILITY:Special Ability|AC Bonus		MAXVER:6.4.00	NEWKEY:Dwarven Defender ~ AC Bonus				
ABILITY:Special Ability|Defensive Stance	MAXVER:6.4.00	NEWKEY:Dwarven Defender ~ Defensive Stance			
ABILITY:Special Ability|Damage Reduction	MAXVER:6.4.00	NEWKEY:Dwarven Defender ~ Damage Reduction			
ABILITY:Special Ability|Mobile Defense	MAXVER:6.4.00	NEWKEY:Dwarven Defender ~ Mobile Defense			
ABILITY:Special Ability|Weapon and Armor Proficiency				MAXVER:6.4.00	NEWKEY:Dwarven Defender ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Uncanny Dodge						MAXVER:6.4.00	NEWKEY:Dwarven Defender ~ Uncanny Dodge			
ABILITY:Special Ability|Trap Sense							MAXVER:6.4.00	NEWKEY:Dwarven Defender ~ Trap Sense				
ABILITY:Special Ability|Improved Uncanny Dodge					MAXVER:6.4.00	NEWKEY:Dwarven Defender ~ Improved Uncanny Dodge		
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Eldritch Knight ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Bonus Feat				MAXVER:6.4.00	NEWKEY:Eldritch Knight ~ Bonus Feat				
ABILITY:Special Ability|Spells per Day			MAXVER:6.4.00	NEWKEY:Eldritch Knight ~ Spells per Day			
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Hierophant ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Spells and Caster Level		MAXVER:6.4.00	NEWKEY:Hierophant ~ Spells and Caster Level		
ABILITY:Special Ability|Special Ability		MAXVER:6.4.00	NEWKEY:Hierophant ~ Special Ability			
ABILITY:Special Ability|Blast Infidel		MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Blast Infidel
ABILITY:Special Ability|Divine Reach		MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Divine Reach
ABILITY:Special Ability|Faith Healing		MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Faith Healing
ABILITY:Special Ability|Gift of the Divine	MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Gift of the Divine	
ABILITY:Special Ability|Mastery of Energy		MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Mastery of Energy	
ABILITY:Special Ability|Power of Nature		MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Power of Nature	
ABILITY:Special Ability|Spell Power			MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Spell Power
ABILITY:Special Ability|Spell-Like Ability	MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Spell-Like Ability	
ABILITY:Special Ability|Metamagic Feat		MAXVER:6.4.00	NEWKEY:Hierophant Special Ability ~ Metamagic Feat

#ABILITY:Special Ability|Enslave ~ Aboleth				
#ABILITY:Special Ability|Psionics ~ Aboleth				
#ABILITY:Special Ability|Slime ~ Aboleth				
#ABILITY:Special Ability|Mucus Cloud ~ Aboleth			
#ABILITY:Special Ability|Skills ~ Aboleth				
#ABILITY:Special Ability|Natural Weapons ~ Achairai		
#ABILITY:Special Ability|Black Cloud ~ Achairai			
#ABILITY:Special Ability|Babble ~ Allip				
#ABILITY:Special Ability|Madness ~ Allip				
#ABILITY:Special Ability|Wisdom Drain ~ Allip			
#ABILITY:Special Ability|Natural Weapons ~ Astral Daeva		
#ABILITY:Special Ability|Spell-Like Abilities ~ Astral Daeva	
#ABILITY:Special Ability|Change Shape ~ Astral Daeva		
#ABILITY:Special Ability|Stun ~ Astral Daeva				
#ABILITY:Special Ability|Uncanny Dodge ~ Astral Daeva		
#ABILITY:Special Ability|Natural Weapons ~ Planetar		
#ABILITY:Special Ability|Regeneration ~ Planetar			
#ABILITY:Special Ability|Spell-Like Abilities ~ Planetar		
#ABILITY:Special Ability|Spells ~ Planetar				
#ABILITY:Special Ability|Natural Weapons ~ Solar			
#ABILITY:Special Ability|Regeneration ~ Solar			
#ABILITY:Special Ability|Spell-Like Abilities ~ Solar		
#ABILITY:Special Ability|Spells ~ Solar				
#ABILITY:Special Ability|Blind ~ Animated Object			
#ABILITY:Special Ability|Constrict ~ Animated Object		
#ABILITY:Special Ability|Hardness ~ Animated Object		
#ABILITY:Special Ability|Improved Speed ~ Animated Object	
#ABILITY:Special Ability|Trample ~ Animated Object			
#ABILITY:Special Ability|Improved Grab ~ Ankheg			
#ABILITY:Special Ability|Spit Acid ~ Ankheg				
#ABILITY:Special Ability|Poison ~ Aranea				
#ABILITY:Special Ability|Spells ~ Aranea				
#ABILITY:Special Ability|Web ~ Aranea					
#ABILITY:Special Ability|Change Shape ~ Aranea			
#ABILITY:Special Ability|Skills ~ Aranea				
#ABILITY:Special Ability|Aura of Menace ~ Archon			
#ABILITY:Special Ability|Magic Circle against Evil ~ Archon	
#ABILITY:Special Ability|Teleport ~ Archon				
#ABILITY:Special Ability|Tongues ~ Archon				
#ABILITY:Special Ability|Aura of Menace ~ Lantern Archon		
#ABILITY:Special Ability|Light Ray ~ Lantern Archon		
#ABILITY:Special Ability|Spell-Like Abilities ~ Lantern Archon	
#ABILITY:Special Ability|Spell-Like Abilities ~ Hound Archon	
#ABILITY:Special Ability|Aura of Menace ~ Hound Archon		
#ABILITY:Special Ability|Change Shape ~ Hound Archon		
#ABILITY:Special Ability|Skills ~ Hound Archon			
#ABILITY:Special Ability|Spell-Like Abilities ~ Trumpet Archon	
#ABILITY:Special Ability|Aura of Menace ~ Trumpet Archon		
#ABILITY:Special Ability|Spells ~ Trumpet Archon			
#ABILITY:Special Ability|Trumpet ~ Trumpet Archon			
#ABILITY:Special Ability|Electricity Ray ~ Arrowhawk		
#ABILITY:Special Ability|Constrict ~ Assassin Vine			
#ABILITY:Special Ability|Entangle ~ Assassin Vine			
#ABILITY:Special Ability|Improved Grab ~ Assassin Vine		
#ABILITY:Special Ability|Blindsight ~ Assassin Vine		
#ABILITY:Special Ability|Camouflage ~ Assassin Vine		
#ABILITY:Special Ability|Poison ~ Athach				
#ABILITY:Special Ability|Natural Weapons ~ Avoral			
#ABILITY:Special Ability|Spell-Like Abilities ~ Avoral		
#ABILITY:Special Ability|Fear Aura ~ Avoral				
#ABILITY:Special Ability|Lay on Hands ~ Avoral			
#ABILITY:Special Ability|Speak with Animals ~ Avoral		
#ABILITY:Special Ability|True Seeing ~ Avoral			
#ABILITY:Special Ability|Skills ~ Avoral				
#ABILITY:Special Ability|Heat ~ Azer					
#ABILITY:Special Ability|Natural Weapons ~ Barghest			
#ABILITY:Special Ability|Spell-Like Abilities ~ Barghest			
#ABILITY:Special Ability|Feed ~ Barghest					
#ABILITY:Special Ability|Change Shape ~ Barghest				
#ABILITY:Special Ability|Pass Without Trace ~ Barghest			
#ABILITY:Special Ability|Skills ~ Barghest					
#ABILITY:Special Ability|Spell-Like Abilities ~ Greater Barghest	
#ABILITY:Special Ability|Petrifying Gaze ~ Basilisk			
#ABILITY:Special Ability|Skills ~ Basilisk					
#ABILITY:Special Ability|Natural Weapons ~ Abyssal Greater Basilisk	
#ABILITY:Special Ability|Breath Weapon ~ Behir				
#ABILITY:Special Ability|Constrict ~ Behir					
#ABILITY:Special Ability|Improved Grab ~ Behir				
#ABILITY:Special Ability|Rake ~ Behir						
#ABILITY:Special Ability|Swallow Whole ~ Behir				
#ABILITY:Special Ability|Skills ~ Behir					
#ABILITY:Special Ability|Smoke Claws ~ Belker				
#ABILITY:Special Ability|Smoke Form ~ Belker					
#ABILITY:Special Ability|Skills ~ Belker					
#ABILITY:Special Ability|Blink ~ Blink Dog					
#ABILITY:Special Ability|Dimension Door ~ Blink Dog			
#ABILITY:Special Ability|Death Gaze ~ Bodak					
#ABILITY:Special Ability|Vulnerability to Sunlight ~ Bodak		
#ABILITY:Special Ability|Natural Weapons ~ Bralani				
#ABILITY:Special Ability|Spell-Like Abilities ~ Bralani			
#ABILITY:Special Ability|Whirlwind Blast ~ Bralani				
#ABILITY:Special Ability|Alternate Form ~ Bralani				
#ABILITY:Special Ability|Tongues ~ Bralani					
#ABILITY:Special Ability|Skills ~ Bugbear					
#ABILITY:Special Ability|Leap ~ Bulette					
#ABILITY:Special Ability|Natural Weapons ~ Chaos Beast			
#ABILITY:Special Ability|Corporeal Instability ~ Chaos Beast		
#ABILITY:Special Ability|Immunity to Transformation ~ Chaos Beast	
#ABILITY:Special Ability|Breath Weapon ~ Chimera				
#ABILITY:Special Ability|Skills ~ Chimera					
#ABILITY:Special Ability|Constrict ~ Choker					
#ABILITY:Special Ability|Improved Grab ~ Choker				
#ABILITY:Special Ability|Quickness ~ Choker					
#ABILITY:Special Ability|Skills ~ Choker					
#ABILITY:Special Ability|Constrict ~ Chuul					
#ABILITY:Special Ability|Improved Grab ~ Chuul				
#ABILITY:Special Ability|Paralytic Tentacles ~ Chuul			
#ABILITY:Special Ability|Amphibious ~ Chuul					
#ABILITY:Special Ability|Skills ~ Chuul					
#ABILITY:Special Ability|Moan ~ Cloaker					
#ABILITY:Special Ability|Engulf ~ Cloaker					
#ABILITY:Special Ability|Shadow Shift ~ Cloaker				
#ABILITY:Special Ability|Petrification ~ Cockatrice			
#ABILITY:Special Ability|Constrict ~ Couatl					
#ABILITY:Special Ability|Improved Grab ~ Couatl				
#ABILITY:Special Ability|Poison ~ Couatl					
#ABILITY:Special Ability|Psionics ~ Couatl					
#ABILITY:Special Ability|Spells ~ Couatl					
#ABILITY:Special Ability|Ethereal Jaunt ~ Couatl				
#ABILITY:Special Ability|Telepathy ~ Couatl					
#ABILITY:Special Ability|Darkness ~ Darkmantle				
#ABILITY:Special Ability|Improved Grab ~ Darkmantle			
#ABILITY:Special Ability|Constrict ~ Darkmantle				
#ABILITY:Special Ability|Blindsight ~ Darkmantle				
#ABILITY:Special Ability|Skills ~ Darkmantle					
#ABILITY:Special Ability|Corrosive Slime ~ Delver				
#ABILITY:Special Ability|Stone Shape ~ Delver				
#ABILITY:Special Ability|Natural Weapons ~ Babau				
#ABILITY:Special Ability|Sneak Attack ~ Babau				
#ABILITY:Special Ability|Spell-Like Abilities ~ Babau			
#ABILITY:Special Ability|Protective Slime ~ Babau				
#ABILITY:Special Ability|Summon Demon ~ Babau				
#ABILITY:Special Ability|Skills ~ Babau					
#ABILITY:Special Ability|Natural Weapons ~ Balor				
#ABILITY:Special Ability|Death Throes ~ Balor				
#ABILITY:Special Ability|Entangle ~ Balor					
#ABILITY:Special Ability|Spell-Like Abilities ~ Balor			
#ABILITY:Special Ability|Vorpal Sword ~ Balor				
#ABILITY:Special Ability|Summon Demon ~ Balor				
#ABILITY:Special Ability|Flaming Body ~ Balor				
#ABILITY:Special Ability|True Seeing ~ Balor					
#ABILITY:Special Ability|Skills ~ Balor					
#ABILITY:Special Ability|Natural Weapons ~ Bebilith			
#ABILITY:Special Ability|Poison ~ Bebilith					
#ABILITY:Special Ability|Rend Armor ~ Bebilith				
#ABILITY:Special Ability|Web ~ Bebilith					
