# Mon Mar 30 11:44:41 2020 -- reformatted by PCGen TidyLst v1.04.00


# Class Name	Type		Source Page		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Alchemist	TYPE:Class	SOURCEPAGE:p.71	ABILITY:CLASS|AUTOMATIC|Alchemist	DEFINE:AlchemistCL|0	BONUS:HP|CURRENTMAX|8*AlchemistCL	BONUS:VAR|AlchemistCL|classlevel()	DESC:The alchemist throws alchemical bombs and drinks concoctions of his own making during combat. Intelligence, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Alchemist	PREMULT:1,[PRECLASS:1,Alchemist=1],[!PRECLASS:1,TYPE=Class]
CLASS:Rogue		TYPE:Class	ABILITY:CLASS|AUTOMATIC|Rogue	DEFINE:RogueCL|0	BONUS:HP|CURRENTMAX|8*RogueCL	BONUS:VAR|RogueCL|classlevel()	DESC:The rogue is a multitalented master of skullduggery who strikes when enemies least expect it. Dexterity, 2nd Charisma, Constitution

# Class Name	Multiple Requirements
CLASS:Rogue		PREMULT:1,[PRECLASS:1,Rogue=1],[!PRECLASS:1,TYPE=Class]
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Initial Proficiencies
1	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Rogue's Racket
1	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Sneak Attack
1	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Surprise Attack
1	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Rogue Feats
3	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Deny Advantage
5	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Weapon Tricks
7	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Evasion
7	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Vigilant Senses
7	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Weapon Specialization
9	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Debilitating Strike
9	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Great Fortitude
11	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Rogue Expertise
13	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Improved Evasion
13	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Incredible Senses
13	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Light Armor Expertise
13	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Master Tricks
15	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Double Debilitation
15	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Greater Weapon Specialization
17	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Slippery Mind
19	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Light Armor Mastery
19	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue Class Feature ~ Master Strike


# Class Name	Spell Type			Type		Base class as subclass?	Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Sorcerer	FACT:SpellType|Arcane	TYPE:Class	ALLOWBASECLASS:NO		ABILITY:CLASS|AUTOMATIC|Sorcerer	DEFINE:SorcererCL|0	BONUS:HP|CURRENTMAX|6*SorcererCL	BONUS:VAR|SorcererCL|classlevel()	DESC:The sorcerer's magical might flows through her blood and manifests as fantastic spells and abilities. Charisma, 2nd Dexterity, Constitution

# Class Name	Multiple Requirements
CLASS:Sorcerer	PREMULT:1,[PRECLASS:1,Sorcerer=1],[!PRECLASS:1,TYPE=Class]

# Class Name	Spell Stat		Memorize	Caster level
CLASS:Sorcerer	SPELLSTAT:CHA	MEMORIZE:NO	BONUS:CASTERLEVEL|Sorcerer|classlevel()
# Bloodlines
SUBCLASS:Aberrant	COST:0	CHOICE:SCHOOL|Aberrant	SPELLLIST:1|Occult
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Aberrant
SUBCLASS:Angelic	COST:0	CHOICE:SCHOOL|Angelic	SPELLLIST:1|Divine
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Angelic
SUBCLASS:Demonic	COST:0	CHOICE:SCHOOL|Demonic	SPELLLIST:1|Divine
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Demonic
SUBCLASS:Diabolic	COST:0	CHOICE:SCHOOL|Diabolic	SPELLLIST:1|Divine
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Diabolic
SUBCLASS:Draconic	COST:0	CHOICE:SCHOOL|Draconic	SPELLLIST:1|Arcane
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Draconic
SUBCLASS:Elemental	COST:0	CHOICE:SCHOOL|Elemental	SPELLLIST:1|Primal
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Elemental
SUBCLASS:Fey	COST:0	CHOICE:SCHOOL|Fey	SPELLLIST:1|Primal
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Fey
SUBCLASS:Hag	COST:0	CHOICE:SCHOOL|Hag	SPELLLIST:1|Occult
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Hag
SUBCLASS:Imperial	COST:0	CHOICE:SCHOOL|Imperial	SPELLLIST:1|Arcane
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Imperial
SUBCLASS:Undead	COST:0	CHOICE:SCHOOL|Undead	SPELLLIST:1|Divine
SUBCLASSLEVEL:1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Bloodline ~ Undead
###Block:
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Cast Progression
1	CAST:5,3
2	CAST:5,4
3	CAST:5,4,3
4	CAST:5,4,4
5	CAST:5,4,4,3
6	CAST:5,4,4,4
7	CAST:5,4,4,4,3
8	CAST:5,4,4,4,4
9	CAST:5,4,4,4,4,3
10	CAST:5,4,4,4,4,4
11	CAST:5,4,4,4,4,4,3
12	CAST:5,4,4,4,4,4,4
13	CAST:5,4,4,4,4,4,4,3
14	CAST:5,4,4,4,4,4,4,4
15	CAST:5,4,4,4,4,4,4,4,3
16	CAST:5,4,4,4,4,4,4,4,4
17	CAST:5,4,4,4,4,4,4,4,4,3
18	CAST:5,4,4,4,4,4,4,4,4,4
19	CAST:5,4,4,4,4,4,4,4,4,4,1
20	CAST:5,4,4,4,4,4,4,4,4,4,1
###Block: Known Progression
1	KNOWN:5,3
2	KNOWN:5,4
3	KNOWN:5,4,3
4	KNOWN:5,4,4
5	KNOWN:5,4,4,3
6	KNOWN:5,4,4,4
7	KNOWN:5,4,4,4,3
8	KNOWN:5,4,4,4,4
9	KNOWN:5,4,4,4,4,3
10	KNOWN:5,4,4,4,4,4
11	KNOWN:5,4,4,4,4,4,3
12	KNOWN:5,4,4,4,4,4,4
13	KNOWN:5,4,4,4,4,4,4,3
14	KNOWN:5,4,4,4,4,4,4,4
15	KNOWN:5,4,4,4,4,4,4,4,3
16	KNOWN:5,4,4,4,4,4,4,4,4
17	KNOWN:5,4,4,4,4,4,4,4,4,3
18	KNOWN:5,4,4,4,4,4,4,4,4,4
19	KNOWN:5,4,4,4,4,4,4,4,4,4,1
20	KNOWN:5,4,4,4,4,4,4,4,4,4,1
###Block: Class Progression
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Initial Proficiencies
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Bloodline
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Sorcerer Spellcasting
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Heightening Spells
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Cantrips
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Spell Repertoire
2	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Sorcerer Feats
3	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Signature Spells
5	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Magical Fortitude
7	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Expert Spellcaster
9	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Lightning Reflexes
11	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Alertness
11	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Simple Weapon Expertise
13	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Defensive Robes
13	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Weapon Specialization
15	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Master Spellcaster
19	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Bloodline Paragon
19	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Legendary Spellcaster


# Class Name	Spell Type			Type		Base class as subclass?	Ability					Define		Bonus to HP					Modify VAR					Description
CLASS:Wizard	FACT:SpellType|Arcane	TYPE:Class	ALLOWBASECLASS:NO		ABILITY:CLASS|AUTOMATIC|Wizard	DEFINE:WizardCL|0	BONUS:HP|CURRENTMAX|6*WizardCL	BONUS:VAR|WizardCL|classlevel()	DESC:The wizard is an eminent scholar whose reservoirs of arcane knowledge power his wondrous spells and abilities. Intelligence, 2nd Dexterity, Constitution

# Class Name	Multiple Requirements
CLASS:Wizard	PREMULT:1,[PRECLASS:1,Wizard=1],[!PRECLASS:1,TYPE=Class]

# Class Name	Spell Stat		Memorize		Use Spell List
CLASS:Wizard	SPELLSTAT:WIS	MEMORIZE:YES	SPELLLIST:1|Arcane
# Specialization Choice
SUBCLASS:Abjurer	COST:0	CHOICE:SCHOOL|Abjuration
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Abjuration
SUBCLASS:Conjurer	COST:0	CHOICE:SCHOOL|Conjuration
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Conjuration
SUBCLASS:Diviner	COST:0	CHOICE:SCHOOL|Divination
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Divination
SUBCLASS:Enchanter	COST:0	CHOICE:SCHOOL|Enchantment
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Enchantment
SUBCLASS:Evoker	COST:0	CHOICE:SCHOOL|Evocation
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Evocation
SUBCLASS:Illusionist	COST:0	CHOICE:SCHOOL|Illusion
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Illusion
SUBCLASS:Necromancer	COST:0	CHOICE:SCHOOL|Necromancy
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Necromancy
SUBCLASS:Transmuter	COST:0	CHOICE:SCHOOL|Transmutation
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Transmutation
SUBCLASS:Universalist	COST:0
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Universalist
###Block:
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Cast Progression
1	CAST:99,2
2	CAST:99,3
3	CAST:99,3,2
4	CAST:99,3,3
5	CAST:99,3,3,2
6	CAST:99,3,3,3
7	CAST:99,3,3,3,2
8	CAST:99,3,3,3,3
9	CAST:99,3,3,3,3,2
10	CAST:99,3,3,3,3,3
11	CAST:99,3,3,3,3,3,2
12	CAST:99,3,3,3,3,3,3
13	CAST:99,3,3,3,3,3,3,2
14	CAST:99,3,3,3,3,3,3,3
15	CAST:99,3,3,3,3,3,3,3,2
16	CAST:99,3,3,3,3,3,3,3,3
17	CAST:99,3,3,3,3,3,3,3,3,2
18	CAST:99,3,3,3,3,3,3,3,3,3
19	CAST:99,3,3,3,3,3,3,3,3,3
20	CAST:99,3,3,3,3,3,3,3,3,3
###Block: Class Progression
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Initial Proficiencies
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Arcane Spellcasting
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Arcane School
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Arcane Bond
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Arcane Thesis
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Wizard Feats
5	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Lightning Reflexes
7	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Expert Spellcaster
9	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Magical Fortitude
11	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Alertness
11	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Wizard Weapon Expertise
13	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Defensive Robes
13	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Weapon Specialization
15	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Master Spellcaster
17	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Resolve
19	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Archwizard's Spellcraft
19	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Legendary Spellcaster


# Class Name	Spell Type			Visible	Caster level
CLASS:Arcane	FACT:SpellType|Arcane	VISIBLE:NO	BONUS:CASTERLEVEL|Arcane|classlevel()

# Class Name	Spell Type			Visible	Caster level
CLASS:Divine	FACT:SpellType|Divine	VISIBLE:NO	BONUS:CASTERLEVEL|Divine|classlevel()

# Class Name	Spell Type			Visible	Caster level
CLASS:Primal	FACT:SpellType|Primal	VISIBLE:NO	BONUS:CASTERLEVEL|Primal|classlevel()

# Class Name	Spell Type			Visible	Caster level
CLASS:Occult	FACT:SpellType|Occult	VISIBLE:NO	BONUS:CASTERLEVEL|Occult|classlevel()

# Class Name	Spell Type			Visible	Caster level
CLASS:Alchemy	FACT:SpellType|Alchemy	VISIBLE:NO	BONUS:CASTERLEVEL|Alchemy|classlevel()
1:REPEATLEVEL:1	CAST:0,AlchemyInfusedReagents*2
