# CVS $Revision: $ $Author: $ -- Fri Jul 12 13:36:10 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Blood of Fiends	SOURCESHORT:BOF	SOURCEWEB:http://paizo.com/products/btpy8qzz?Pathfinder-Player-Companion-Blood-of-Fiends	SOURCEDATE:2012-04

# Ability Name								Type
Daemon-Spawn Skilled	KEY:Daemon-SpawnSkilled ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.DaemonSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Daemon-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]		DESC:Daemon-Spawn tieflings have a +2 racial bonus on Disable Device and Sleight of Hand checks.	BONUS:SKILL|Disable Device,Sleight of Hand|2|TYPE=Racial	SOURCEPAGE:p.19
Demodand-Spawn Skilled	KEY:Demodand-SpawnSkilled ~ Tiefling	CATEGORY:Special Ability	TYPE:RacialTraits.DemodandSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Demodand-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]	DESC:Demodand-Spawn tieflings have a +2 racial bonus on Intimidate and Knowledge (religion) checks.	BONUS:SKILL|Intimidate,Knowledge (religion)|2|TYPE=Racial	SOURCEPAGE:p.20
Demon-Spawn Skilled	KEY:Demon-SpawnSkilled ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.DemonSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Demon-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]		DESC:Demon-Spawn tieflings have a +2 racial bonus on Disable Device and Perception checks.		BONUS:SKILL|Disable Device,Perception|2|TYPE=Racial		SOURCEPAGE:p.20
Devil-Spawn Skilled	KEY:Devil-SpawnSkilled ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.DevilSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Devil-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]		DESC:Devil-Spawn tieflings have a +2 racial bonus on Diplomacy and Sense Motive checks.			BONUS:SKILL|Diplomacy,Sense Motive|2|TYPE=Racial		SOURCEPAGE:p.21
Div-Spawn Skilled		KEY:Div-SpawnSkilled ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.DivSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Div-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]		DESC:Div-Spawn tieflings have a +2 racial bonus on Diplomacy and Linguistics checks.			BONUS:SKILL|Diplomacy,Linguistics|2|TYPE=Racial			SOURCEPAGE:p.21
Kyton-Spawn Skilled	KEY:Kyton-SpawnSkilled ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.KytonSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Kyton-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]		DESC:Kyton-Spawn tieflings have a +2 racial bonus on Escape Artist and Intimidate checks.			BONUS:SKILL|Escape Artist,Intimidate|2|TYPE=Racial		SOURCEPAGE:p.22
Oni-Spawn Skilled		KEY:Oni-SpawnSkilled ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.OniSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Oni-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]		DESC:Oni-Spawn tieflings have a +2 racial bonus on Disguise and Intimidate checks.				BONUS:SKILL|Disguise,Intimidate|2|TYPE=Racial			SOURCEPAGE:p.22
Qlippoth-Spawn Skilled	KEY:Qlippoth-SpawnSkilled ~ Tiefling	CATEGORY:Special Ability	TYPE:RacialTraits.QlippothSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Qlippoth-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]	DESC:Qlippoth-Spawn tieflings have a +2 racial bonus on Escape Artist and Survival checks.		BONUS:SKILL|Escape Artist,Survival|2|TYPE=Racial		SOURCEPAGE:p.23
Rakshasa-Spawn Skilled	KEY:Rakshasa-SpawnSkilled ~ Tiefling	CATEGORY:Special Ability	TYPE:RacialTraits.RakshasaSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Rakshasa-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]	DESC:Rakshasa-Spawn tieflings have a +2 racial bonus on Disguise and Sense Motive checks.			BONUS:SKILL|Disguise,Sense Motive|2|TYPE=Racial			SOURCEPAGE:p.23


###Block: Adopted Trait Race Selection
# Ability Name			Unique Key							Category of Ability		Type			Bonus to Ability Pool
Tiefling				KEY:Adoptive Race ~ Tiefling				CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Tiefling Race Trait|1
Tiefling (Asura-Spawn)		KEY:Adoptive Race ~ Tiefling Asura-Spawn		CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Asura Spawn Race Trait|1
Tiefling (Daemon-Spawn)		KEY:Adoptive Race ~ Tiefling Daemon-Spawn		CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Daemon Spawn Race Trait|1
Tiefling (Demodand-Spawn)	KEY:Adoptive Race ~ Tiefling Demodand-Spawn	CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Demodand Spawn Race Trait|1
Tiefling (Demon-Spawn)		KEY:Adoptive Race ~ Tiefling Demon-Spawn		CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Demon Spawn Race Trait|1
Tiefling (Devil-Spawn)		KEY:Adoptive Race ~ Tiefling Devil-Spawn		CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Devil Spawn Race Trait|1
Tiefling (Div-Spawn)		KEY:Adoptive Race ~ Tiefling Div-Spawn		CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Div Spawn Race Trait|1
Tiefling (Kyton-Spawn)		KEY:Adoptive Race ~ Tiefling Kyton-Spawn		CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Kyton Spawn Race Trait|1
Tiefling (Oni-Spawn)		KEY:Adoptive Race ~ Tiefling Oni-Spawn		CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Oni Spawn Race Trait|1
Tiefling (Qlippoth-Spawn)	KEY:Adoptive Race ~ Tiefling Qlippoth-Spawn	CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Qlippoth Spawn Race Trait|1
Tiefling (Rakshasa-Spawn)	KEY:Adoptive Race ~ Tiefling Rakshasa-Spawn	CATEGORY:Special Ability	TYPE:AdoptiveRace	BONUS:ABILITYPOOL|Rakshasa Spawn Race Trait|1

#
# End
#
