# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)

#.MOD	PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30

# Skill Name		Type				Var. Max. Value												Define
Background (Lost Love).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Lost Love)"),MaxRankBackground_Lost_Love				DEFINE:MaxRankBackground_Lost_Love|var("MaxRank")-30
Background (Mistaken Identity).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Mistaken Identity)"),MaxRankBackground_Mistaken_Identity	DEFINE:MaxRankBackground_Mistaken_Identity|var("MaxRank")-30
Background (Nemesis).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Nemesis)"),MaxRankBackground_Nemesis					DEFINE:MaxRankBackground_Nemesis|var("MaxRank")-30
Background (Obligation).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Obligation)"),MaxRankBackground_Obligation				DEFINE:MaxRankBackground_Obligation|var("MaxRank")-30
Background (Romance).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Romance)"),MaxRankBackground_Romance					DEFINE:MaxRankBackground_Romance|var("MaxRank")-30
Background (Stolen Object).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Stolen Object)"),MaxRankBackground_Stolen_Object			DEFINE:MaxRankBackground_Stolen_Object|var("MaxRank")-30
Background (True Identity).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (True Identity)"),MaxRankBackground_True_Identity			DEFINE:MaxRankBackground_True_Identity|var("MaxRank")-30
Background (Vendetta).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Vendetta)"),MaxRankBackground_Vendetta				DEFINE:MaxRankBackground_Vendetta|var("MaxRank")-30
Background (Vow).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Vow)"),MaxRankBackground_Vow						DEFINE:MaxRankBackground_Vow|var("MaxRank")-30
Resolved Background Points.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Resolved Background Points"),MaxRankBackground_Resolved_Background_Points	DEFINE:MaxRankBackground_Resolved_Background_Points|var("MaxRank")-30
