# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:d20 Weapons Locker	SOURCESHORT:d20WL	SOURCEWEB:http://www.wizards.com/d20modern	SOURCEDATE:2004-01
# Original Entry by: Terrence FitzSimons * 14 May 2006

# WEAPONCATEGORY:Simple
# WEAPONCATEGORY:PersonalFirearm
# WEAPONCATEGORY:Archaic
# WEAPONCATEGORY:Exotic
# WEAPONCATEGORY:ExoticFirearms
# WEAPONCATEGORY:Natural
# WEAPONCATEGORY:HMG
# WEAPONCATEGORY:RocketLauncher
# WEAPONCATEGORY:GrenadeLauncher
# WEAPONCATEGORY:Mecha
# WEAPONCATEGORY:Starship

# Exotic Firearms
# Weapon Name					Type				Nb Hands
Norinco Model 85 Bayonet Pistol		TYPE:ExoticFirearms
AK-103 w/GP-30 GL					TYPE:PersonalFirearm	HANDS:2
AK-104 w/GP-30 GL					TYPE:PersonalFirearm	HANDS:2
AK-105 w/GP-30 GL					TYPE:PersonalFirearm	HANDS:2
AK-105 w/Romarm AG-40 M80 GL			TYPE:PersonalFirearm	HANDS:2
AK-107 w/GP-30 GL					TYPE:PersonalFirearm	HANDS:2
AK-108 w/GP-30 GL					TYPE:PersonalFirearm	HANDS:2
AK-108 w/Romarm AG-40 M80 GL			TYPE:PersonalFirearm	HANDS:2
AN-94 w/GP-25 GL					TYPE:PersonalFirearm	HANDS:2
CZ 58P w/CIS 40GL					TYPE:PersonalFirearm	HANDS:2
CZ 58V w/CIS 40GL					TYPE:PersonalFirearm	HANDS:2
F2000 w/F2000 GL					TYPE:PersonalFirearm	HANDS:2
FN FAL w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
FN FAL w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
FN FAL w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
FN FALS w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
FN FALS w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
FN FALS w/M-203 GL				TYPE:PersonalFirearm	HANDS:2
FN FAL Para w/HK AG36 GL			TYPE:PersonalFirearm	HANDS:2
FN FAL Para w/ISTEC ISL 275 GL		TYPE:PersonalFirearm	HANDS:2
FN FAL Para w/M-203 GL				TYPE:PersonalFirearm	HANDS:2
Galil ARM w/RGB-1 GL				TYPE:PersonalFirearm	HANDS:2
Galil ARMC w/RGB-1 GL				TYPE:PersonalFirearm	HANDS:2
Galil SAR w/RGB-1 GL				TYPE:PersonalFirearm	HANDS:2
Galil SARC w/RGB-1 GL				TYPE:PersonalFirearm	HANDS:2
HK G3A3 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
HK G3A3 w/HK HK79 GL				TYPE:PersonalFirearm	HANDS:2
HK G3A3 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
HK G3A3 w/M-203 GL				TYPE:PersonalFirearm	HANDS:2
HK G3A4 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
HK G3A4 w/HK HK79 GL				TYPE:PersonalFirearm	HANDS:2
HK G3A4 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
HK G3A4 w/M-203 GL				TYPE:PersonalFirearm	HANDS:2
HK 53A3 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK 53K w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK 53Z w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK 53A3 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK 53K w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK 53Z w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK G36 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
HK G36C w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
HK G36E w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
HK G36K w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
Imbel Model L w/HK AG36 GL			TYPE:PersonalFirearm	HANDS:2
Imbel Model L w/M-203 GL			TYPE:PersonalFirearm	HANDS:2
Imbel Model L w/ISTEC ISL 275 GL		TYPE:PersonalFirearm	HANDS:2
Imbel Model LC w/HK AG36 GL			TYPE:PersonalFirearm	HANDS:2
Imbel Model LC w/M-203 GL			TYPE:PersonalFirearm	HANDS:2
Imbel Model LC w/ISTEC ISL 275 GL		TYPE:PersonalFirearm	HANDS:2
L85A1 IW w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
L85A1 IW w/HK SA-80 GL				TYPE:PersonalFirearm	HANDS:2
L85A1 IWRW w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
L85A1 IWRW w/HK SA-80 GL			TYPE:PersonalFirearm	HANDS:2
M16A1 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
M16A1 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
M16A1 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
M16A2 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
M16A2 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
M16A2 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
M16A3 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
M16A3 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
M16A3 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
M16A4 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
M16A4 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
M16A4 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
M4 Carbine w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
M4 Carbine w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
M4 Carbine w/M-203 GL				TYPE:PersonalFirearm	HANDS:2
M4A1 Carbine w/HK AG36 GL			TYPE:PersonalFirearm	HANDS:2
M4A1 Carbine w/ISTEC ISL 275 GL		TYPE:PersonalFirearm	HANDS:2
M4A1 Carbine w/M-203 GL				TYPE:PersonalFirearm	HANDS:2
M4 CQB w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
M4 CQB w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
M4 CQB w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
Norinco QBZ Type 95 Carbine w/GP-30 GL	TYPE:PersonalFirearm	HANDS:2
Norinco QBZ Type 95 Rifle w/GP-30 GL	TYPE:PersonalFirearm	HANDS:2
Objective Individual Combat Weapon		TYPE:PersonalFirearm	HANDS:2
OTs-14-4A Groza w/GP-30 GL			TYPE:PersonalFirearm	HANDS:2
OTs-14-4A-02 Groza w/GP-30 GL			TYPE:PersonalFirearm	HANDS:2
OTs-14-4A-03 Groza w/GP-30 GL			TYPE:PersonalFirearm	HANDS:2
R4 w/Milkor UBGL GL				TYPE:PersonalFirearm	HANDS:2
R4S w/Milkor UBGL GL				TYPE:PersonalFirearm	HANDS:2
R5 w/Milkor UBGL GL				TYPE:PersonalFirearm	HANDS:2
R5S w/Milkor UBGL GL				TYPE:PersonalFirearm	HANDS:2
Sako M95 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
Sako M95 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
Sako M95 w/M-203 GL				TYPE:PersonalFirearm	HANDS:2
SAR 21 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
SAR 21 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
SAR 21 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
SA88 w/HK AG36 GL					TYPE:PersonalFirearm	HANDS:2
SA88 w/ISTEC ISL 275 GL				TYPE:PersonalFirearm	HANDS:2
SA88 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
SA88B w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
SA88B w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
SA88B w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
SIG 550 w/SIG GL5040 GL				TYPE:PersonalFirearm	HANDS:2
SIG 550B w/SIG GL5040 GL			TYPE:PersonalFirearm	HANDS:2
SIG 551 w/SIG GL5140 GL				TYPE:PersonalFirearm	HANDS:2
SIG 551B w/SIG GL5140 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle w/HK AG36 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle w/M-203 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle w/ISTEC ISL 274 GL		TYPE:PersonalFirearm	HANDS:2
Steyr AUG RifleB w/HK AG36 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG RifleB w/M-203 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG RifleB w/ISTEC ISL 274 GL		TYPE:PersonalFirearm	HANDS:2
Steyr AUG Carbine w/HK AG36 GL		TYPE:PersonalFirearm	HANDS:2
Steyr AUG Carbine w/M-203 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG Carbine w/ISTEC ISL 274 GL	TYPE:PersonalFirearm	HANDS:2
Steyr AUG CarbineB w/HK AG36 GL		TYPE:PersonalFirearm	HANDS:2
Steyr AUG CarbineB w/M-203 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG CarbineB w/ISTEC ISL 274 GL	TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle S w/HK AG36 GL		TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle S w/M-203 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle S w/ISTEC ISL 274 GL	TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle SB w/HK AG36 GL		TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle SB w/M-203 GL			TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle SB w/ISTEC ISL 274 GL	TYPE:PersonalFirearm	HANDS:2
TAR-21 Tavor Series w/HK AG36 GL		TYPE:PersonalFirearm	HANDS:2
TAR-21 Tavor Series w/ISTEC ISL 275 GL	TYPE:PersonalFirearm	HANDS:2
TAR-21 Tavor Series w/M-203 GL		TYPE:PersonalFirearm	HANDS:2
CTAR-21 Tavor Series w/HK AG36 GL		TYPE:PersonalFirearm	HANDS:2
CTAR-21 Tavor Series w/ISTEC ISL 275 GL	TYPE:PersonalFirearm	HANDS:2
CTAR-21 Tavor Series w/M-203 GL		TYPE:PersonalFirearm	HANDS:2
Vektor CR 21 w/Milkor UBGL GL			TYPE:PersonalFirearm	HANDS:2

# Assault Rifles w/Bayonets attached	Type				Nb Hands
Norinco Type 68 Rifle				TYPE:PersonalFirearm	HANDS:2
Simonov SKS						TYPE:PersonalFirearm	HANDS:2

# Two=Part Rifles					Type				Nb Hands
M6 Scout Rifle					TYPE:PersonalFirearm	HANDS:2

#Melee						Type
Pistol Bayonet					TYPE:Archaic
Rifle Bayonet					TYPE:Archaic

# Bolt-Action Sniper Rifles			Type				Nb Hands
Armalon Model BGR					TYPE:PersonalFirearm	HANDS:2
Armalon Model PR					TYPE:PersonalFirearm	HANDS:2
Arnold Arms Mark II Neutralizer		TYPE:PersonalFirearm	HANDS:2
AW							TYPE:PersonalFirearm	HANDS:2
AWP							TYPE:PersonalFirearm	HANDS:2
AWS							TYPE:PersonalFirearm	HANDS:2
AW Covert						TYPE:PersonalFirearm	HANDS:2
AWM Super Magnum					TYPE:PersonalFirearm	HANDS:2
Beretta Sniper					TYPE:PersonalFirearm	HANDS:2
Blaster R-93					TYPE:PersonalFirearm	HANDS:2
Blaster R-93 Tactical				TYPE:PersonalFirearm	HANDS:2
CZ 700						TYPE:PersonalFirearm	HANDS:2
CZ 700 Suppressed					TYPE:PersonalFirearm	HANDS:2
De Lisle Mark 4					TYPE:PersonalFirearm	HANDS:2
Enfield L39A1					TYPE:PersonalFirearm	HANDS:2
Enfield L42A1					TYPE:PersonalFirearm	HANDS:2
Erma SR 100						TYPE:PersonalFirearm	HANDS:2
FN 30-11						TYPE:PersonalFirearm	HANDS:2
FR-F2							TYPE:PersonalFirearm	HANDS:2
Harris M-86						TYPE:PersonalFirearm	HANDS:2
Harris M-89						TYPE:PersonalFirearm	HANDS:2
Hellenic KEFEFS-M					TYPE:PersonalFirearm	HANDS:2
Hellenic KEFEFS-P					TYPE:PersonalFirearm	HANDS:2
Howa M-1500						TYPE:PersonalFirearm	HANDS:2
H-S Precision Pro Series 2000			TYPE:PersonalFirearm	HANDS:2
H-S Precision Tactical Take-Down		TYPE:PersonalFirearm	HANDS:2
K-11							TYPE:PersonalFirearm	HANDS:2
M24 Sniping System				TYPE:PersonalFirearm	HANDS:2
M40A1							TYPE:PersonalFirearm	HANDS:2
M40A1 PIP						TYPE:PersonalFirearm	HANDS:2
Mauser Nodel 86 Sniper				TYPE:PersonalFirearm	HANDS:2
Mauser Nodel 86SR Sniper			TYPE:PersonalFirearm	HANDS:2
Mauser Model SP66					TYPE:PersonalFirearm	HANDS:2
Mauser Model SR93 Professional		TYPE:PersonalFirearm	HANDS:2
Mauser Model SR93 Sniper			TYPE:PersonalFirearm	HANDS:2
Mauser Model SR94 Professional		TYPE:PersonalFirearm	HANDS:2
Mauser Model SR94 Sniper			TYPE:PersonalFirearm	HANDS:2
Mauser Model SR97 Sniper			TYPE:PersonalFirearm	HANDS:2
Milcam						TYPE:PersonalFirearm	HANDS:2
Comcam						TYPE:PersonalFirearm	HANDS:2
Milcam HB						TYPE:PersonalFirearm	HANDS:2
Snicam						TYPE:PersonalFirearm	HANDS:2
NM149S						TYPE:PersonalFirearm	HANDS:2
Parker-Hale Model 82				TYPE:PersonalFirearm	HANDS:2
Parker-Hale Model 83				TYPE:PersonalFirearm	HANDS:2
Parker-Hale Model 85				TYPE:PersonalFirearm	HANDS:2
Parker-Hale Model 98				TYPE:PersonalFirearm	HANDS:2
PGM Model UR Intervention			TYPE:PersonalFirearm	HANDS:2
PGM Model UR Commando II			TYPE:PersonalFirearm	HANDS:2
PGM Model UR Silencer				TYPE:PersonalFirearm	HANDS:2
PM L96A1						TYPE:PersonalFirearm	HANDS:2
RAD M91						TYPE:PersonalFirearm	HANDS:2
RAI Model 300					TYPE:PersonalFirearm	HANDS:2
Remington Model 300				TYPE:PersonalFirearm	HANDS:2
Police Special					TYPE:PersonalFirearm	HANDS:2
M700P LTR						TYPE:PersonalFirearm	HANDS:2
Robar SR60						TYPE:PersonalFirearm	HANDS:2
Robar SR90						TYPE:PersonalFirearm	HANDS:2
Romarm PL						TYPE:PersonalFirearm	HANDS:2
Ruger M77						TYPE:PersonalFirearm	HANDS:2
Sako TRG-21						TYPE:PersonalFirearm	HANDS:2
Sako TRG-41						TYPE:PersonalFirearm	HANDS:2
Sako/Vaime SSR Mark I				TYPE:PersonalFirearm	HANDS:2
Sako/Vaime SSR Mark III				TYPE:PersonalFirearm	HANDS:2
Santa Barbara C-75				TYPE:PersonalFirearm	HANDS:2
Savage Model 110 Tactical			TYPE:PersonalFirearm	HANDS:2
Savage Model 111					TYPE:PersonalFirearm	HANDS:2
SIG SSG 2000					TYPE:PersonalFirearm	HANDS:2
SIG SSG 3000					TYPE:PersonalFirearm	HANDS:2
Steyr Scout						TYPE:PersonalFirearm	HANDS:2
Steyr SSG-69					TYPE:PersonalFirearm	HANDS:2
Steyr SSG-P						TYPE:PersonalFirearm	HANDS:2
SV-98							TYPE:PersonalFirearm	HANDS:2
SV-99							TYPE:PersonalFirearm	HANDS:2
SV-99 Pistol					TYPE:PersonalFirearm
Truvello Armory SG1				TYPE:PersonalFirearm	HANDS:2
VS 94 PS						TYPE:PersonalFirearm	HANDS:2
Winchester Model 70 Sharpshooter		TYPE:PersonalFirearm	HANDS:2

# Autoloader Sniper Rifles			Type				Nb Hands
Arms Tech Super Mach Interdection		TYPE:PersonalFirearm	HANDS:2
Barrett M98						TYPE:PersonalFirearm	HANDS:2
Dragunov SVD					TYPE:PersonalFirearm	HANDS:2
Dragunov SVDS					TYPE:PersonalFirearm	HANDS:2
Dragunov SVDK					TYPE:PersonalFirearm	HANDS:2
Galil Marksman					TYPE:PersonalFirearm	HANDS:2
Galil Sniper					TYPE:PersonalFirearm	HANDS:2
HK G3-SG1						TYPE:PersonalFirearm	HANDS:2
HK 33-SG1						TYPE:PersonalFirearm	HANDS:2
HK MSG 90						TYPE:PersonalFirearm	HANDS:2
HK MSG 90A1						TYPE:PersonalFirearm	HANDS:2
HK MSG 3						TYPE:PersonalFirearm	HANDS:2
HK SL8						TYPE:PersonalFirearm	HANDS:2
HK SL8-1						TYPE:PersonalFirearm	HANDS:2
HK SL9-SD						TYPE:PersonalFirearm	HANDS:2
M16 Squad Designated Marksman			TYPE:PersonalFirearm	HANDS:2
M21							TYPE:PersonalFirearm	HANDS:2
M21 Tactical					TYPE:PersonalFirearm	HANDS:2
QBZ Type 95						TYPE:PersonalFirearm	HANDS:2
RND 800						TYPE:PersonalFirearm	HANDS:2
Springfield M1A					TYPE:PersonalFirearm	HANDS:2
SIG SSG 550						TYPE:PersonalFirearm	HANDS:2
STAR-21 Tavor					TYPE:PersonalFirearm	HANDS:2
Stoner SR-25					TYPE:PersonalFirearm	HANDS:2
Stoner SR-25 Match				TYPE:PersonalFirearm	HANDS:2
Stoner SR-25 Carbine				TYPE:PersonalFirearm	HANDS:2
Stoner SR-25 Sporter				TYPE:PersonalFirearm	HANDS:2
Stoner SR-25 Suppressed				TYPE:PersonalFirearm	HANDS:2
United States Marine Corps DMA		TYPE:PersonalFirearm	HANDS:2
VSS Thread Cutter					TYPE:PersonalFirearm	HANDS:2
WA2000						TYPE:PersonalFirearm	HANDS:2
OTs-O3AS Dragunov SVU				TYPE:PersonalFirearm	HANDS:2

# Bolt-Action Anti-Material Rifles		Type				Nb Hands
Accuracy International AW50F			TYPE:PersonalFirearm	HANDS:2
Accuracy International AW50FT			TYPE:PersonalFirearm	HANDS:2
Alpimex APK 20					TYPE:PersonalFirearm	HANDS:2
Armalite AR-50					TYPE:PersonalFirearm	HANDS:2
ATAS .50 BG						TYPE:PersonalFirearm	HANDS:2
ATAS .50 BG Marine				TYPE:PersonalFirearm	HANDS:2
AWT M93 Black Arrow				TYPE:PersonalFirearm	HANDS:2
Barrett M95						TYPE:PersonalFirearm	HANDS:2
Barrett M90						TYPE:PersonalFirearm	HANDS:2
Barrett XM107					TYPE:PersonalFirearm	HANDS:2
Barrett M99						TYPE:PersonalFirearm	HANDS:2
Falcon OP 96					TYPE:PersonalFirearm	HANDS:2
Falcon OP 97					TYPE:PersonalFirearm	HANDS:2
Gepard M1						TYPE:PersonalFirearm	HANDS:2
Gepard M1A1						TYPE:PersonalFirearm	HANDS:2
Harris M-92						TYPE:PersonalFirearm	HANDS:2
Harris M-87						TYPE:PersonalFirearm	HANDS:2
Harris M-88						TYPE:PersonalFirearm	HANDS:2
Harris M-93						TYPE:PersonalFirearm	HANDS:2
Harris M-95						TYPE:PersonalFirearm	HANDS:2
Helenius APH AK99					TYPE:PersonalFirearm	HANDS:2
LAR Grizzly 50					TYPE:PersonalFirearm	HANDS:2
MACS-M2A						TYPE:PersonalFirearm	HANDS:2
MACS-M3A						TYPE:PersonalFirearm	HANDS:2
Mechem NTW-20					TYPE:PersonalFirearm	HANDS:2
PGM Model UR Hecate II				TYPE:PersonalFirearm	HANDS:2
RAD M600 SLAMA					TYPE:PersonalFirearm	HANDS:2
RAD M650 SLAMA					TYPE:PersonalFirearm	HANDS:2
RT20							TYPE:PersonalFirearm	HANDS:2
Robar AC-50						TYPE:PersonalFirearm	HANDS:2
Truvello Armory Mega Sniper			TYPE:PersonalFirearm	HANDS:2
Truvello Armory Mega Sniper Single		TYPE:PersonalFirearm	HANDS:2

# Autoloader Anti-Material Rifles		Type				Nb Hands
Barrett M82A1					TYPE:PersonalFirearm	HANDS:2
Barrett M82A2					TYPE:PersonalFirearm	HANDS:2
Gepard M2						TYPE:PersonalFirearm	HANDS:2
Gepard M2a						TYPE:PersonalFirearm	HANDS:2
Gepard M2A1						TYPE:PersonalFirearm	HANDS:2
Gepard M2A1a					TYPE:PersonalFirearm	HANDS:2
Gepard M3						TYPE:PersonalFirearm	HANDS:2
Gepard M4 SA1					TYPE:PersonalFirearm	HANDS:2
Gepard M4 SA2					TYPE:PersonalFirearm	HANDS:2
Harris M-96						TYPE:PersonalFirearm	HANDS:2
DSV-96						TYPE:PersonalFirearm	HANDS:2
Steyr IWS 2000					TYPE:PersonalFirearm	HANDS:2
Stoner SR-50					TYPE:PersonalFirearm	HANDS:2

# Submachine Guns					Type				Nb Hands
A-9							TYPE:PersonalFirearm	HANDS:2
A-7.62						TYPE:PersonalFirearm	HANDS:2
ACK-919 Kashtan					TYPE:PersonalFirearm	HANDS:2
ACK-919K Kashtan					TYPE:PersonalFirearm	HANDS:2
Benelli CB-M2					TYPE:PersonalFirearm	HANDS:2
Beretta Model 12					TYPE:PersonalFirearm	HANDS:2
Beretta Model 12F					TYPE:PersonalFirearm	HANDS:2
Beretta Model 125					TYPE:PersonalFirearm	HANDS:2
Bizon-1						TYPE:PersonalFirearm	HANDS:2
Bizon-2						TYPE:PersonalFirearm	HANDS:2
Bizon-3						TYPE:PersonalFirearm	HANDS:2
BXP							TYPE:PersonalFirearm	HANDS:2
BXP Carbine						TYPE:PersonalFirearm	HANDS:2
Calico Liberty 50					TYPE:PersonalFirearm	HANDS:2
Calico Liberty 50-1				TYPE:PersonalFirearm	HANDS:2
Calico Liberty 100				TYPE:PersonalFirearm	HANDS:2
Calico Liberty 100-1				TYPE:PersonalFirearm	HANDS:2
Calico M900						TYPE:PersonalFirearm	HANDS:2
Calico M900-S					TYPE:PersonalFirearm	HANDS:2
Calico M951						TYPE:PersonalFirearm	HANDS:2
Calico M951-S					TYPE:PersonalFirearm	HANDS:2
Calico M951-A					TYPE:PersonalFirearm	HANDS:2
Calico M951-AS					TYPE:PersonalFirearm	HANDS:2
Carl Gustav M45E					TYPE:PersonalFirearm	HANDS:2
Carl Gustav M45S					TYPE:PersonalFirearm	HANDS:2
Colt Model 635					TYPE:PersonalFirearm	HANDS:2
Colt Model 635A					TYPE:PersonalFirearm	HANDS:2
Colt Model 635B					TYPE:PersonalFirearm	HANDS:2
Colt Model 635C					TYPE:PersonalFirearm	HANDS:2
LaFrance M16K					TYPE:PersonalFirearm	HANDS:2
LaFrance M16KA					TYPE:PersonalFirearm	HANDS:2
LaFrance M16KB					TYPE:PersonalFirearm	HANDS:2
LaFrance M16KC					TYPE:PersonalFirearm	HANDS:2
CZ 23							TYPE:PersonalFirearm	HANDS:2
CZ 25							TYPE:PersonalFirearm	HANDS:2
CZ 24							TYPE:PersonalFirearm	HANDS:2
CZ 26							TYPE:PersonalFirearm	HANDS:2
FAMAE SAF						TYPE:PersonalFirearm	HANDS:2
FAMAE SAF Silencada				TYPE:PersonalFirearm	HANDS:2
FeG KGP-9						TYPE:PersonalFirearm	HANDS:2
Floro MK-9						TYPE:PersonalFirearm	HANDS:2
FMK-3 Mod 2						TYPE:PersonalFirearm	HANDS:2
FMK-5							TYPE:PersonalFirearm	HANDS:2
Gepard						TYPE:PersonalFirearm	HANDS:2
GG-95							TYPE:PersonalFirearm	HANDS:2
HK MP5A1						TYPE:PersonalFirearm	HANDS:2
HK MP5A2						TYPE:PersonalFirearm	HANDS:2
HK MP5A3						TYPE:PersonalFirearm	HANDS:2
HK MP5A4						TYPE:PersonalFirearm	HANDS:2
HK MP5A5						TYPE:PersonalFirearm	HANDS:2
HK MP5 Navy						TYPE:PersonalFirearm	HANDS:2
HK MP5 R15						TYPE:PersonalFirearm	HANDS:2
HK MP55D1						TYPE:PersonalFirearm	HANDS:2
HK MP55D2						TYPE:PersonalFirearm	HANDS:2
HK MP55D3						TYPE:PersonalFirearm	HANDS:2
HK MP55D4						TYPE:PersonalFirearm	HANDS:2
HK MP55D5						TYPE:PersonalFirearm	HANDS:2
HK MP55D6						TYPE:PersonalFirearm	HANDS:2
HK MP5 PDW						TYPE:PersonalFirearm	HANDS:2
HK MP5/10						TYPE:PersonalFirearm	HANDS:2
HK MP5/40						TYPE:PersonalFirearm	HANDS:2
HK UMP 45						TYPE:PersonalFirearm	HANDS:2
HK USC						TYPE:PersonalFirearm	HANDS:2
IMI Mini-Uzi					TYPE:PersonalFirearm	HANDS:2
IMI Uzi						TYPE:PersonalFirearm	HANDS:2
IMI Uzi Carbine					TYPE:PersonalFirearm	HANDS:2
Lusa A2						TYPE:PersonalFirearm	HANDS:2
M-4							TYPE:PersonalFirearm	HANDS:2
Mekanika Uru					TYPE:PersonalFirearm	HANDS:2
Mekanika Uru Carbine				TYPE:PersonalFirearm	HANDS:2
Norinco Type 64					TYPE:PersonalFirearm	HANDS:2
Norinco Type 79					TYPE:PersonalFirearm	HANDS:2
Norinco Type 85					TYPE:PersonalFirearm	HANDS:2
OTs-02 Kiparis					TYPE:PersonalFirearm	HANDS:2
Parker-Hale IDW Carbine				TYPE:PersonalFirearm	HANDS:2
PDW PS-200						TYPE:PersonalFirearm	HANDS:2
PM-84 Glaubeyrl					TYPE:PersonalFirearm	HANDS:2
PM-84P Glaubeyrl					TYPE:PersonalFirearm	HANDS:2
PM-98							TYPE:PersonalFirearm	HANDS:2
PM-98S						TYPE:PersonalFirearm	HANDS:2
PP-90MI						TYPE:PersonalFirearm	HANDS:2
PP-91 Kedr						TYPE:PersonalFirearm	HANDS:2
PP-91 Kiln						TYPE:PersonalFirearm	HANDS:2
Romarm BORD						TYPE:PersonalFirearm	HANDS:2
Romarm Model 96					TYPE:PersonalFirearm	HANDS:2
Ruger MP-9						TYPE:PersonalFirearm	HANDS:2
Sa 58/98 Bulldog					TYPE:PersonalFirearm	HANDS:2
Sa 58/98 S Bulldog				TYPE:PersonalFirearm	HANDS:2
Saab-Bofors CBJ MS				TYPE:PersonalFirearm	HANDS:2
SCH-21 Gorda					TYPE:PersonalFirearm	HANDS:2
Spectre M-4						TYPE:PersonalFirearm	HANDS:2
SR-2							TYPE:PersonalFirearm	HANDS:2
Star Z-70B						TYPE:PersonalFirearm	HANDS:2
Star Z-84						TYPE:PersonalFirearm	HANDS:2
Sterling L2A1					TYPE:PersonalFirearm	HANDS:2
Sterling L2A2					TYPE:PersonalFirearm	HANDS:2
Sterling L2A3					TYPE:PersonalFirearm	HANDS:2
Sterling L34A1					TYPE:PersonalFirearm	HANDS:2
Steyr AUG-9						TYPE:PersonalFirearm	HANDS:2
Steyr MPi69						TYPE:PersonalFirearm	HANDS:2
Steyr MPi81						TYPE:PersonalFirearm	HANDS:2
Walther MPK						TYPE:PersonalFirearm	HANDS:2
Walther MPL						TYPE:PersonalFirearm	HANDS:2

# Full Automatic Capability Only		Type				Nb Hands
Arsenal Shipka					TYPE:PersonalFirearm	HANDS:2
Carl Gustav M45					TYPE:PersonalFirearm	HANDS:2
Carl Gustav M45C					TYPE:PersonalFirearm	HANDS:2
F1A1							TYPE:PersonalFirearm	HANDS:2
Madsen M53						TYPE:PersonalFirearm	HANDS:2
MAT-49						TYPE:PersonalFirearm	HANDS:2
Mendoza HM-3					TYPE:PersonalFirearm	HANDS:2
Port Said						TYPE:PersonalFirearm	HANDS:2
PP-90							TYPE:PersonalFirearm	HANDS:2
Socimi Type 821					TYPE:PersonalFirearm	HANDS:2
Vigneron M2						TYPE:PersonalFirearm	HANDS:2
WZ-63							TYPE:PersonalFirearm	HANDS:2

# Machine Pistols or One-hand capable	Type
Agram 2000						TYPE:PersonalFirearm
Cobray M-11						TYPE:PersonalFirearm
