# CVS $Revision: 14380 $ $Author: amaitland $ -- Thu Apr  7 17:44:03 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03
# Original Entry by: Stefan Radermacher

###Block: Core Deities
# Deity Name	Product Identity?	Domains												Desciption of Deity/Title					Deity Weapon				Alignment	Pantheon					Source Page
# elro - Commenting out as these duplicate with content in PFCR (which this set depends on)
#Abadar		NAMEISPI:YES	DOMAINS:Earth,Law,Nobility,Protection,Travel|PREALIGN:LG,LN,NG,TN			DESC:God of cities, wealth, merchants, law		DEITYWEAP:Crossbow (Light)		ALIGN:LN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.218
#Asmodeus		NAMEISPI:YES	DOMAINS:Evil,Fire,Law,Magic,Trickery|PREALIGN:LN,LE,NE				DESC:God of tyranny, slavery, pride, contracts		DEITYWEAP:Mace (Heavy)|Mace (Light)	ALIGN:LE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.218
#Calistria		NAMEISPI:YES	DOMAINS:Chaos,Charm,Knowledge,Luck,Trickery|PREALIGN:CG,TN,CN,CE			DESC:Goddess of trickery, lust, revenge			DEITYWEAP:Whip				ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.219
#Cayden Cailean	NAMEISPI:YES	DOMAINS:Chaos,Charm,Good,Strength,Travel|PREALIGN:NG,CG,CN				DESC:God of freedom, wine, bravery				DEITYWEAP:Rapier				ALIGN:CG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.219
#Desna			NAMEISPI:YES	DOMAINS:Chaos,Good,Liberation,Luck,Travel|PREALIGN:NG,CG,CN				DESC:Goddess of dreams, stars, travelers, luck		DEITYWEAP:Starknife			ALIGN:CG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.220
#Erastil		NAMEISPI:YES	DOMAINS:Animal,Community,Good,Law,Plant|PREALIGN:LG,LN,NG				DESC:God of farming, hunting, trade, family		DEITYWEAP:Longbow				ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.220
#Gorum			NAMEISPI:YES	DOMAINS:Chaos,Destruction,Glory,Strength,War|PREALIGN:CG,TN,CN,CE			DESC:God of strength, battle, weapons			DEITYWEAP:Greatsword			ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.221
#Gozreh		NAMEISPI:YES	DOMAINS:Air,Animal,Plant,Water,Weather|PREALIGN:LN,NG,TN,NE,CN			DESC:God of nature, weather, the sea			DEITYWEAP:Trident				ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.221
#Iomedae		NAMEISPI:YES	DOMAINS:Glory,Good,Law,Sun,War|PREALIGN:LG,LN,NG					DESC:Goddess of valor, rulership, justice, honor	DEITYWEAP:Longsword			ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.222
#Irori			NAMEISPI:YES	DOMAINS:Healing,Knowledge,Law,Rune,Strength|PREALIGN:LG,LN,TN,NG			DESC:God of history, knowledge, self-perfection		DEITYWEAP:Unarmed Strike		ALIGN:LN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.222
#Lamashtu		NAMEISPI:YES	DOMAINS:Chaos,Evil,Madness,Strength,Trickery|PREALIGN:NE,CN,CE			DESC:Goddess of madness, monsters, nightmares		DEITYWEAP:Falchion			ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.223
#Nethys		NAMEISPI:YES	DOMAINS:Destruction,Knowledge,Magic,Protection,Rune|PREALIGN:LN,NG,TN,NE,CN	DESC:God of magic							DEITYWEAP:Quarterstaff			ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.223
#Norgorber		NAMEISPI:YES	DOMAINS:Charm,Death,Evil,Knowledge,Trickery|PREALIGN:TN,LE,NE,CE			DESC:God of greed, secrets, poison, murder		DEITYWEAP:Sword (Short)			ALIGN:NE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.224
#Pharasma		NAMEISPI:YES	DOMAINS:Death,Healing,Knowledge,Repose,Water|PREALIGN:LN,NG,TN,NE,CN		DESC:Goddess of fate, death, prophecy, birth		DEITYWEAP:Dagger				ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.224
#Rovagug		NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,War,Weather|PREALIGN:NE,CN,CE			DESC:God of wrath, disaster, destruction			DEITYWEAP:Greataxe			ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.225
#Sarenrae		NAMEISPI:YES	DOMAINS:Fire,Glory,Good,Healing,Sun|PREALIGN:LG,NG,CG,TN				DESC:Goddess of the sun, redemption, honesty, healing	DEITYWEAP:Scimitar			ALIGN:NG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.225
#Shelyn		NAMEISPI:YES	DOMAINS:Air,Charm,Good,Luck,Protection|PREALIGN:LG,NG,CG,TN				DESC:Goddess of beauty, art, love, music			DEITYWEAP:Glaive				ALIGN:NG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.226
#Torag			NAMEISPI:YES	DOMAINS:Artifice,Earth,Good,Law,Protection|PREALIGN:LG,LN,NG			DESC:God of the forge, protection, strategy		DEITYWEAP:Warhammer			ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.226
#Urgathoa		NAMEISPI:YES	DOMAINS:Death,Evil,Magic,Strength,War|PREALIGN:TN,LE,NE,CE				DESC:Goddess of gluttony, disease, undeath		DEITYWEAP:Scythe				ALIGN:NE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.227
#Zon-Kuthon		NAMEISPI:YES	DOMAINS:Darkness,Death,Destruction,Evil,Law|PREALIGN:LN,LE,NE			DESC:God of envy, pain, darkness, loss			DEITYWEAP:Chain (Spiked)		ALIGN:LE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.227

###Block: Other Deities
# Deity Name	Product Identity?	Domains											Desciption of Deity/Title																																	Deity Weapon			Alignment	Pantheon					Source Page
Charon		NAMEISPI:YES	DOMAINS:Death,Evil,Knowledge,Water|PREALIGN:TN,LE,NE,CE	DESC:Horsemen of Death		DEITYWEAP:Quarterstaff		ALIGN:NE	PANTHEON:Horsemen	SOURCEPAGE:p.234
Szuriel		NAMEISPI:YES	DOMAINS:Evil,Fire,Strength,War|PREALIGN:TN,LE,NE,CE		DESC:Horsemen of War		DEITYWEAP:Greatsword		ALIGN:NE	PANTHEON:Horsemen	SOURCEPAGE:p.234
Trelmarixian	NAMEISPI:YES	DOMAINS:Earth,Evil,Madness,Weather|PREALIGN:TN,LE,NE,CE	DESC:Horsemen of Famine		DEITYWEAP:Gauntlet (Spiked)	ALIGN:NE	PANTHEON:Horsemen	SOURCEPAGE:p.234

###Block: Fallen, False, and Forgotten Gods
# Deity Name		Product Identity?	Domains										Deity Weapon	Alignment	Pantheon			Source Page
Aroden			NAMEISPI:YES																	PANTHEON:Dead Gods	SOURCEPAGE:p.235
Great Old Ones		NAMEISPI:YES	DOMAINS:Chaos,Knowledge,Madness,Rune,Void|PREALIGN:CG,TN,CN,CE	DEITYWEAP:Dagger	ALIGN:CN	PANTHEON:Forgotten Gods	SOURCEPAGE:p.235
Lissala			NAMEISPI:YES	DOMAINS:Evil,Knowledge,Law,Nobility,Rune|PREALIGN:LN,LE,NE		DEITYWEAP:Whip	ALIGN:LE	PANTHEON:Forgotten Gods	SOURCEPAGE:p.235
The Peacock Spirit	NAMEISPI:YES																	PANTHEON:Dead Gods	SOURCEPAGE:p.235
Razmir			NAMEISPI:YES																	PANTHEON:False Gods	SOURCEPAGE:p.235
Ydersius			NAMEISPI:YES	DOMAINS:Chaos,Evil,Nobility,Scalykind,War|PREALIGN:NE,CN,CE		DEITYWEAP:Dagger	ALIGN:CE	PANTHEON:Forgotten Gods	SOURCEPAGE:p.235

#
# End
#
