# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Relics and Rituals	SOURCESHORT:RelicRitual	SOURCEWEB:http://www.swordsorcery.com	SOURCEDATE:2001-01
#Price correction & alphabetical organizing: Paul Grosse

# Equipment Name					Product Identity?	Type								Cost		Weight	Source Page
Scroll (Smother)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.114
Scroll (Sneeze)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.114
Scroll (Song of Champions)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:2400	WT:0.01	SOURCEPAGE:p.114
Scroll (Song of the Gods)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1000	WT:0.01	SOURCEPAGE:p.114-115
Scroll (Song of Heroes)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:200	WT:0.01	SOURCEPAGE:p.115
Scroll (Soul of Mercy)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.115
Scroll (Soulstrike)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:2275	WT:0.01	SOURCEPAGE:p.115-116
Scroll (Spark)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.116
Scroll (Steal Sleep)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.116-117
Scroll (Strength of Kadum)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:3000	WT:0.01	SOURCEPAGE:p.117
Scroll (Sunspear)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.117
Scroll (Swift Water)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.117-118
Scroll (Taldock's Spell Inhibitor)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.118
Scroll (Tanil's Purging)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.118
Scroll (Tanil's Touch)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.118
Scroll (Tattoo Item)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:700	WT:0.01	SOURCEPAGE:p.118-119
Scroll (Terole's Translator)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:525	WT:0.01	SOURCEPAGE:p.119
Scroll (Tevikk's Creeping Eye)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.119
Scroll (Thorn Throw)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.119-120
Scroll (Time Skip)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.120
Scroll (Touch of the Eel)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:375	WT:0.01	SOURCEPAGE:p.121
Scroll (Transmute Flesh to Shadow)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:2275	WT:0.01	SOURCEPAGE:p.121
Scroll (Trigger Rune)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.121
Scroll (Two Minds)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3825	WT:0.01	SOURCEPAGE:p.121-122
Scroll (Unbuckle)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.122
Scroll (Unholy Channel)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.122
Scroll (Vangal's Touch)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.122-123
Scroll (Vangal's Wounding)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.123-124
Scroll (Verminplague)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.124
Scroll (Wall of Hornets)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.124
Scroll (Water's Embrace)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:700	WT:0.01	SOURCEPAGE:p.124-125
Scroll (Widdershins)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.125
Scroll (Wolf's Cry)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.125-126
Scroll (Yaral's Totemic Transformation)	NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:375	WT:0.01	SOURCEPAGE:p.126
Scroll (Zombie Form)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.126
