# CVS $Revision$ $Author$ -- Wed Jan 28 22:41:02 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Pathfinder RPG (Beta Playtest Edition)	SOURCESHORT:PFRPGB	SOURCEWEB:http://paizo.com/store/downloads/pathfinderRPG/v5748btpy84o0	SOURCEDATE:2008-08
# Original Entry by: Stefan Radermacher

###Block: Barbarian abilities
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Favored Enemy (Elemental).MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against elementals. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredElemental
CATEGORY=Special Ability|Favored Enemy (Fey).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against humans. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredFey
CATEGORY=Special Ability|Favored Enemy (Giant).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against fey. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredGiant
CATEGORY=Special Ability|Favored Enemy (Humanoid (Aquatic)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against aquatic humanoids. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidAquatic
CATEGORY=Special Ability|Favored Enemy (Humanoid (Dwarf)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against dwarves. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidDwarf
CATEGORY=Special Ability|Favored Enemy (Humanoid (Elf)).MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against elves. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidElf
CATEGORY=Special Ability|Favored Enemy (Humanoid (Goblinoid)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against goblinoids. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidGoblinoid
CATEGORY=Special Ability|Favored Enemy (Humanoid (Gnoll)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against gnolls. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidGnoll
CATEGORY=Special Ability|Favored Enemy (Humanoid (Gnome)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against gnomes. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidGnome
CATEGORY=Special Ability|Favored Enemy (Humanoid (Halfling)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against halflings. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidHalfling
CATEGORY=Special Ability|Favored Enemy (Humanoid (Human)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against humans. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidHuman
CATEGORY=Special Ability|Favored Enemy (Humanoid (Orc)).MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against orcs. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidOrc
CATEGORY=Special Ability|Favored Enemy (Humanoid (Reptilian)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against reptilian humanoids. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredHumanoidReptilian
CATEGORY=Special Ability|Favored Enemy (Magical Beast).MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against magical beasts. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredMagicalBeast
CATEGORY=Special Ability|Favored Enemy (Monstrous Humanoid).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against monstrous humanoids. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredMonstrousHumanoid
CATEGORY=Special Ability|Favored Enemy (Ooze).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against oozes. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOoze
CATEGORY=Special Ability|Favored Enemy (Outsider (Air)).MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against outsiders with the air subtype. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderAir
CATEGORY=Special Ability|Favored Enemy (Outsider (Earth)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against outsiders with the earth subtype. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderEarth
CATEGORY=Special Ability|Favored Enemy (Outsider (Fire)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against outsiders with the fire subtype. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderFire
CATEGORY=Special Ability|Favored Enemy (Outsider (Water)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against outsiders with the water subtype. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderWater
CATEGORY=Special Ability|Favored Enemy (Outsider (Lawful)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against lawful outsiders. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderLawful
CATEGORY=Special Ability|Favored Enemy (Outsider (Chaotic)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against chaotic outsiders. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderChaotic
CATEGORY=Special Ability|Favored Enemy (Outsider (Good)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against good outsiders. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderGood
CATEGORY=Special Ability|Favored Enemy (Outsider (Evil)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against evil outsiders. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderEvil
CATEGORY=Special Ability|Favored Enemy (Outsider (Native)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against native outsiders. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredOutsiderNative
CATEGORY=Special Ability|Favored Enemy (Plant).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against plant creatures. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredPlant
CATEGORY=Special Ability|Favored Enemy (Undead).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against undead. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredUndead
CATEGORY=Special Ability|Favored Enemy (Vermin).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against vermin. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredVermin

###Block: Favored Terrain ------------------------------------------------------------------------------------------------------
# Ability Name										Clear Description	Description
CATEGORY=Special Ability|Favored Terrain (Cold).MOD				DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in cold terrain (ice, glaciers, snow, and tundra). Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainCold
CATEGORY=Special Ability|Favored Terrain (Desert).MOD				DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in desert terrain (sand and wastelands). Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainDesertt
CATEGORY=Special Ability|Favored Terrain (Forest).MOD				DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in forest terrain (coniferous and deciduous). Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainForest
CATEGORY=Special Ability|Favored Terrain (Jungle).MOD				DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in jungle terrain . Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainJungle
CATEGORY=Special Ability|Favored Terrain (Mountain).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in mountain terrain (including hills). Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainMountains
CATEGORY=Special Ability|Favored Terrain (Plains).MOD				DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in plains terrain. Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainPlains
CATEGORY=Special Ability|Favored Terrain (Swamp).MOD				DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in swamp terrain. Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainSwamp
CATEGORY=Special Ability|Favored Terrain (Underground (Caves)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in caves. Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainCaves
CATEGORY=Special Ability|Favored Terrain (Underground (Dungeons)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in dungeons. Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainDungeons
CATEGORY=Special Ability|Favored Terrain (Urban).MOD				DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills in urban terrain (buildings, streets, and sewers). Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainUrban
CATEGORY=Special Ability|Favored Terrain (Water (Ships)).MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills on a craft on water. Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainWaterShips
CATEGORY=Special Ability|Favored Terrain (Water (Below Surface)).MOD	DESC:.CLEAR		DESC:You gain a +%1 bonus on Knowledge (Geography), Perception, Stealth, and Survival checks when using these skills below the water surface. Likewise, you get a +%1 bonus on initiative checks when in this terrain.|FavoredTerrainWaterBwlow

###Block: Rogue Abilities
# Ability Name					Clear Description	Description
CATEGORY=Special Ability|Evasion.MOD	DESC:.CLEAR		DESC:You can avoid even magical and unusual attacks with great agility. If you make a successful Reflex save against an attack that normally deals half damage on a successful save, you instead take no damage. Evasion can only be used if you are wearing light armor or no armor. If you are helpless, you do not gain the benefit of evasion.
CATEGORY=Special Ability|Sneak Attack.MOD	DESC:.CLEAR		DESC:If you can catch an opponent when he is unable to defend himself effectively from your attack, you can strike a vital spot for extra damage. Your attack deals an extra %1d%2 points of damage any time your target would be denied a Dexterity bonus to AC, or when you flanks your target. Should you score a critical hit with a sneak attack, this extra damage is not multiplied. Ranged attacks can count as sneak attacks only if the target is within 30 feet.|SneakAttack|SneakAttackDie
CATEGORY=Special Ability|Trap Sense.MOD	DESC:.CLEAR		DESC:You gain an intuitive sense that alerts you to danger from traps, giving you a +%1 bonus on Reflex saves made to avoid traps, and a +%1 dodge bonus to AC against attacks made by traps.|Trapsense
CATEGORY=Special Ability|Trapfinding.MOD	DESC:.CLEAR		DESC:You can use the Perception skill to locate traps when the task has a DC higher than 20. You can use the Disable Device skill to disarm magical traps.

###Block: Rogue Talents
# Ability Name							Clear Description	Description
CATEGORY=Special Ability|Bleeding Attack.MOD		DESC:.CLEAR		DESC:You can cause living opponents to bleed when hitting them with a sneak attack. This attack causes the target to take %1 additional points of damage each round at the start of its turn. The bleeding can be stopped by a DC 15 Heal check or the application of any effect that heals hit point damage. Bleeding damage from this ability does not stack with itself.|SneakAttack
CATEGORY=Special Ability|Combat Trick.MOD			DESC:.CLEAR		DESC:You gain a combat feat that you qualify for instead of a rogue talent.
CATEGORY=Special Ability|Finesse Rogue.MOD		DESC:.CLEAR		DESC:You gain the Wepon Finesse feat.
CATEGORY=Special Ability|Stand Up.MOD			DESC:.CLEAR		DESC:You can stand up from a prone position as a free action. This still provokes attacks of opportunity for standing up while threatened by a foe.
CATEGORY=Special Ability|Weapon Training Rogue.MOD	DESC:.CLEAR		DESC:You gain the Weapon Focus feat.

###Block: Sorcerer Abilities
# Ability Name							Clear Description	Description
CATEGORY=Special Ability|Cantrips ~ Sorcerer.MOD	DESC:.CLEAR		DESC:Sorcerers know a number of cantrips. They can cast these spells at will as a spell-like ability.

###Block: Sorcerer Bloodlines
# Ability Name							Clear Description	Description
CATEGORY=Special Ability|Aberrant Bloodline.MOD		DESC:.CLEAR		DESC:There is a taint in your blood, one that is alien and bizarre. You tend to think in odd ways, approaching problems from an angle that most would not expect. Over time, this taint manifests itself in your physical form.
CATEGORY=Special Ability|Abyssal Bloodline.MOD		DESC:.CLEAR		DESC:Some time ago, a demon spread its filth into your heritage. While it does not manifest in all of your kin, for you it is  particularly strong, calling on you to bring ruin to those around you.
CATEGORY=Special Ability|Arcane Bloodline.MOD		DESC:.CLEAR		DESC:Your family has always been skilled in the art of magic. While many of your relatives were accomplished wizards, your powers developed without the need for study and practice.
CATEGORY=Special Ability|Celestial Bloodline.MOD	DESC:.CLEAR		DESC:Your bloodline is blessed by a celestial power, either through having a celestial relative or through divine intervention. Although this power drives you along the path of good, your fate is your own to determine.
CATEGORY=Special Ability|Destined Bloodline.MOD		DESC:.CLEAR		DESC:Your family is destined for greatness in some way. Your birth could have been foretold in prophecy, or perhaps it occurred during an especially auspicious event, such as a solar eclipse. Regardless of its origin, you have a great future ahead of you.
CATEGORY=Special Ability|Draconic Bloodline.MOD		DESC:.CLEAR		DESC:At some point in your family's history, a dragon interbred with your bloodline, and now its ancient power flows through your veins.
CATEGORY=Special Ability|Elemental Bloodline.MOD	DESC:.CLEAR		DESC:The power of the elements resides in you, and at times you can hardly control its fury. This influence comes from an elemental outsider in your family history or a time when you or your relatives were exposed to a powerful elemental force.
CATEGORY=Special Ability|Fey Bloodline.MOD		DESC:.CLEAR		DESC:The capricious nature of the fey runs in your family due to some intermingling of fey blood or magic. This tends to make you more emotional than most, prone to bouts of extreme joy and rage.
CATEGORY=Special Ability|Infernal Bloodline.MOD		DESC:.CLEAR		DESC:Somewhere in your family's history, a relative made a deal with a devil, and that pact has influenced the line ever since. Now it manifests in direct and obvious ways, granting you powers and abilities. While your fate is still your own, you can't help but wonder if your ultimate reward is bound to the Pit.
CATEGORY=Special Ability|Undead Bloodline.MOD		DESC:.CLEAR		DESC:The touch of the grave runs through your family. Perhaps one of your ancestors became a powerful lich or vampire, or maybe you were born dead before suddenly returning to life. Either way, the forces of death move through you and touch your every action.

###Block: Sorcerer Aberrant Bloodline Abilties
# Ability Name						Clear Description	Description
CATEGORY=Special Ability|Acidic Ray.MOD		DESC:.CLEAR		DESC:You can fire an acidic ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6 points of acid damage|PREVAREQ:AcidicRayDamage,0	DESC:You can fire an acidic ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 points of acid damage|AcidicRayDamage|PREVARGT:AcidicRayDamage,0
CATEGORY=Special Ability|Long Limbs.MOD		DESC:.CLEAR		DESC:Your reach increases to %1 feet whenever you make a melee touch attack. This ability does not increase your threatened area.|LongLimbsReach
CATEGORY=Special Ability|Unusual Anatomy.MOD	DESC:.CLEAR		DESC:Your anatomy changes, giving you a %1%% chance of ignoring any critical hit or sneak attack scored against you.|UnusualAnatomy
CATEGORY=Special Ability|Alien Resistance.MOD	DESC:.CLEAR		DESC:You gain spell resistance %1.|AlienResistance
CATEGORY=Special Ability|Aberrant Form.MOD	DESC:.CLEAR		DESC:Your body becomes truly unnatural. You are immune to critical hits and sneak attacks. In addition, you gain blindsight with a range of 60 feet and damage reduction 5/-.

###Block: Sorcerer Abyssal Bloodline Abilties
# Ability Name							Clear Description	Description
CATEGORY=Special Ability|Demon Resistances.MOD		DESC:.CLEAR		DESC:You gain Electricity Resistance %1 and a +%2 bonus on saving throws made against poison.|DemonResistance|DemonResistanceSave
CATEGORY=Special Ability|Strength of the Abyss.MOD	DESC:.CLEAR		DESC:You gain a +%1 inherent bonus to your Strength.|StrengthOfTheAbyss*2
CATEGORY=Special Ability|Added Summonings.MOD		DESC:.CLEAR		DESC:Whenever you summon a creature with the demon subtype or the fiendish template using a Summon Monster spell, you summon one additional creature.
CATEGORY=Special Ability|Demonic Might.MOD		DESC:.CLEAR		DESC:The power of the Abyss flows through you. You gain immunity to electricity and poison. You also gain resistance to acid 10, cold 10, fire 10, and gein telepathy with a range of 60 feet.

###Block: Sorcerer Draconic Bloodline Abilties
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Dragon Resistances (Black).MOD	DESC:.CLEAR		DESC:You gain Acid Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (Blue).MOD	DESC:.CLEAR		DESC:You gain Electricity Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (Green).MOD	DESC:.CLEAR		DESC:You gain Acid Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (Red).MOD		DESC:.CLEAR		DESC:You gain Fire Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (White).MOD	DESC:.CLEAR		DESC:You gain Cold Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (Brass).MOD	DESC:.CLEAR		DESC:You gain Fire Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (Bronze).MOD	DESC:.CLEAR		DESC:You gain Electricity Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (Copper).MOD	DESC:.CLEAR		DESC:You gain Acid Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (Gold).MOD	DESC:.CLEAR		DESC:You gain Fire Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Dragon Resistances (Silver).MOD	DESC:.CLEAR		DESC:You gain Cold Resistance %1 and a +%2 natural armor bonus |DragonResistance|DragonResistanceAC
CATEGORY=Special Ability|Breath Weapon (Black).MOD		DESC:.CLEAR		DESC:You gain the use of a 60-ft.-line breath weapon %1/day that deals %2d6 points of acid damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (Blue).MOD		DESC:.CLEAR		DESC:You gain the use of a 60-ft.-line breath weapon %1/day that deals %2d6 points of electricity damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (Green).MOD		DESC:.CLEAR		DESC:You gain the use of a 30-ft.-cone breath weapon %1/day that deals %2d6 points of acid damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (Red).MOD		DESC:.CLEAR		DESC:You gain the use of a 30-ft.-cone breath weapon %1/day that deals %2d6 points of fire damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (White).MOD		DESC:.CLEAR		DESC:You gain the use of a 30-ft.-cone breath weapon %1/day that deals %2d6 points of cold damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (Brass).MOD		DESC:.CLEAR		DESC:You gain the use of a 60-ft.-line breath weapon %1/day that deals %2d6 points of fire damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (Bronze).MOD		DESC:.CLEAR		DESC:You gain the use of a 60-ft.-line breath weapon %1/day that deals %2d6 points of electricity damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (Copper).MOD		DESC:.CLEAR		DESC:You gain the use of a 60-ft.-line breath weapon %1/day that deals %2d6 points of acid damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (Gold).MOD		DESC:.CLEAR		DESC:You gain the use of a 30-ft.-cone breath weapon %1/day that deals %2d6 points of fire damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Breath Weapon (Silver).MOD		DESC:.CLEAR		DESC:You gain the use of a 30-ft.-cone breath weapon %1/day that deals %2d6 points of cold damage. Those caught in the breath receive a Reflex save for half damage (DC %3).|BreathWeaponTimes|BreathWeaponDice|BreathWeaponDC
CATEGORY=Special Ability|Wings.MOD					DESC:.CLEAR		DESC:As a standard action, leathery wings grow from your back, giving you a fly speed of 60 feet with average maneuverability. You can dismiss the wings as a free action.
CATEGORY=Special Ability|Power of Wyrms (Black).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and acid damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (Blue).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and electricity damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (Green).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and acid damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (Red).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and fire damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (White).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and cold damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (Brass).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and fire damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (Bronze).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and electricity damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (Copper).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and acid damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (Gold).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and fire damage. You also gain blindsense 60 feet
CATEGORY=Special Ability|Power of Wyrms (Silver).MOD		DESC:.CLEAR		DESC:Your draconic heritage becomes manifest. You gain immunity to paralysis, sleep, and cold damage. You also gain blindsense 60 feet

###Block: Sorcerer Elemental Bloodline Abilties
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Elemental Ray (Air).MOD		DESC:.CLEAR		DESC:You can unleash an elemental ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 electricity damage|ElementalRayDamage|PREVARGT:ElementalRayDamage,0	DESC:You can unleash an elemental ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 electricity damage|ElementalRayDamage|PREVARGT:ElementalRayDamage,0
CATEGORY=Special Ability|Elemental Ray (Earth).MOD		DESC:.CLEAR		DESC:You can unleash an elemental ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 acid damage|ElementalRayDamage|PREVARGT:ElementalRayDamage,0	DESC:You can unleash an elemental ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 acid damage|ElementalRayDamage|PREVARGT:ElementalRayDamage,0
CATEGORY=Special Ability|Elemental Ray (Fire).MOD		DESC:.CLEAR		DESC:You can unleash an elemental ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 fire damage|ElementalRayDamage|PREVARGT:ElementalRayDamage,0	DESC:You can unleash an elemental ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 fire damage|ElementalRayDamage|PREVARGT:ElementalRayDamage,0
CATEGORY=Special Ability|Elemental Ray (Water).MOD		DESC:.CLEAR		DESC:You can unleash an elemental ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 cold damage|ElementalRayDamage|PREVARGT:ElementalRayDamage,0	DESC:You can unleash an elemental ray as a standard action, targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6+%1 cold damage|ElementalRayDamage|PREVARGT:ElementalRayDamage,0
CATEGORY=Special Ability|Elemental Resistance (Air).MOD	DESC:.CLEAR		DESC:You gain Electricity Resistance %1|ElementalResistance
CATEGORY=Special Ability|Elemental Resistance (Earth).MOD	DESC:.CLEAR		DESC:You gain Acid Resistance %1|ElementalResistance
CATEGORY=Special Ability|Elemental Resistance (Fire).MOD	DESC:.CLEAR		DESC:You gain Fire Resistance %1|ElementalResistance
CATEGORY=Special Ability|Elemental Resistance (Water).MOD	DESC:.CLEAR		DESC:You gain Cold Resistance %1|ElementalResistance
CATEGORY=Special Ability|Elemental Blast (Air).MOD		DESC:.CLEAR		DESC:You can unleash a blast of elemental power %1/day. This burst deals %2d6 points of electricity damage. Those caught in the area receive a Reflex save for half damage (DC %3). Creatures that fail their save gain Electricity Vulnerability for 1 rounds. This power has a range of 60 feet.|ElementalBlastTimes|ElementalBlastDice|ElementalBlastDC
