# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
#SOURCELONG:Ultimate Magic	SOURCESHORT:UM	SOURCEWEB:http://paizo.com/pathfinderRPG/v5748btpy8g7s	SOURCEDATE:2011-05
# CVS $Revision: 21421 $ $Author: evilmynex $ -- Wed Sep 18 14:31:37 2013 -- reformated by prettylst.pl v1.50 (build 21406)

# ORIGINAL ENTRY: Stefan Radermacher, Eric Smith (Maredudd), and Douglas Limmer
# ORIGINAL ENTRY DATE: Unknown

###Block: Words of Power base category
# Ability Category			Visible	Editable?		Change Pool?	Fractional values?	Category of Object
ABILITYCATEGORY:Words of Power	VISIBLE:NO	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power

###Block: Words of Power categories
#Block: Alchemist Words
# Ability Category				Visible		Editable?		Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:7th-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch7.MetaLevel7		PLURAL:7th-Level Witch Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:8th-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch8.MetaLevel8		PLURAL:8th-Level Witch Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:9th-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch9.MetaLevel9		PLURAL:9th-Level Witch Words		DISPLAYLOCATION:Class Abilities

#Block: Wizard Words
ABILITYCATEGORY:0-Level Wizard Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard0.MetaLevel0		PLURAL:0-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard1.MetaLevel1		PLURAL:1st-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard2.MetaLevel2		PLURAL:2nd-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard3.MetaLevel3		PLURAL:3rd-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard4.MetaLevel4		PLURAL:4th-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard5.MetaLevel5		PLURAL:5th-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard6.MetaLevel6		PLURAL:6th-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:7th-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard7.MetaLevel7		PLURAL:7th-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:8th-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard8.MetaLevel8		PLURAL:8th-Level Wizard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:9th-Level Wizard Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Wizard9.MetaLevel9		PLURAL:9th-Level Wizard Words		DISPLAYLOCATION:Class Abilities

#Block: Extra Words from feats
ABILITYCATEGORY:Extra Word			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:ExtraWord			PLURAL:Extra Words			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Meta Word			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Meta Word			PLURAL:Meta Words				DISPLAYLOCATION:Class Abilities

#
# End
#
